entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2025-10-15 11:17:00-04:00,2025-10-15 11:28:00-04:00,4,2,0.4323285415205088,40-60%,0.0018789922857186446,0.5905795032829003,40-60%,-1.0,-20.0,stop,11,-0.0015294672049293676,0.5434450640478576,-0.19602156649185035,0.11949475744334567,0.0,1.0,-0.8139826951681195,0.06637434459083197
2025-10-15 11:30:00-04:00,2025-10-15 11:34:00-04:00,4,2,0.5529024609102107,40-60%,0.0021105461317048476,0.6690309405125278,60-80%,1.3,26.0,target,4,-0.0018552881017462875,0.8369039070053678,-0.20889919280779598,0.20561851920063057,0.0,1.0,-0.879055934327117,0.1690874174348442
2025-10-15 11:35:00-04:00,2025-10-15 11:36:00-04:00,4,2,1.0,80-100%,0.002169927290476259,0.6877270032280024,60-80%,1.3,26.0,target,1,-0.003052200890819083,1.0,-0.34012066796182133,1.0,0.0,1.0,-1.4065913195410256,1.0
2025-10-15 12:56:00-04:00,2025-10-15 13:01:00-04:00,4,2,0.8198900772430184,80-100%,0.0019439202247454824,0.6134873405213114,60-80%,1.3,26.0,target,5,-0.0030152471243433724,1.0,-0.3533322041757897,1.0,0.08169934640522876,0.2795603089720737,-1.5511167001403872,1.0
2025-10-15 15:40:00-04:00,2025-10-15 15:44:00-04:00,4,2,0.4037969718232645,40-60%,0.001578815630007742,0.4716001668899185,40-60%,-1.0,-20.0,stop,4,-0.0013016630332356868,0.3382674670943832,-0.20716429415131749,0.1940157598956355,0.0,1.0,-0.8244553755965184,0.0829046603030392
2025-10-15 15:51:00-04:00,2025-10-15 15:55:00-04:00,4,2,0.9229819141127704,80-100%,0.001852114729983045,0.5810667779266123,40-60%,1.3,26.0,target,4,-0.0023738470928669764,1.0,-0.3108281118632123,0.8873048584009171,0.0,1.0,-1.2816954881022449,0.8046227980501649
2025-10-15 15:56:00-04:00,2025-10-15 15:57:00-04:00,4,2,1.0,80-100%,0.0020510164993532585,0.6499000856408792,60-80%,-1.0,-20.0,stop,1,-0.00354837639170694,1.0,-0.4053752398919561,1.0,0.0,1.0,-1.730057458253427,1.0
2025-10-16 11:27:00-04:00,2025-10-16 11:29:00-04:00,4,2,0.9522124680222823,80-100%,0.00224930264873498,0.7094095171171962,60-80%,1.3,26.0,target,2,-0.002998502996256594,1.0,-0.31618317315382494,0.9231187585307342,0.0,1.0,-1.3330811653749521,0.885731113558395
2025-10-16 11:30:00-04:00,2025-10-16 11:31:00-04:00,4,2,0.7158110478541584,60-80%,0.002202236060468284,0.6970201365862227,60-80%,1.3,26.0,target,1,-0.0026846713586113013,1.0,-0.2830046572209801,0.7012254894177472,0.06166219839142091,0.45625152327565194,-1.2190661150287552,0.7057671787232344
2025-10-17 15:56:00-04:00,2025-10-17 16:06:00-04:00,4,2,0.2672751065351178,20-40%,0.001696589903068452,0.5205823579788752,40-60%,-1.0,-20.0,stop,10,-0.001583124229880065,0.5917726225697463,-0.20667621630205607,0.19075156357734752,0.10975609756097561,0.03215077605321507,-0.933121331806129,0.2544254639401625
