model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,12.5,1.2,12,0.6,4,89,0.5258620689655172,0.5170071214392804,0.1568965517241379,0.1374156671664168,1.3384615384615384,1.3620879120879121,3.3999999999999995,-9.999999999999998,7
xgboost,15.000000000000002,1.35,15,0.6,4,57,0.4913793103448276,0.4609674329501916,0.15474137931034487,0.08327346743295022,1.3050000000000002,1.2953571428571429,8.800000000000002,-5.65,4
baseline,9.999999999999998,1.35,10,0.0,4,515,0.4930555555555556,0.48779453853995136,0.1539930555555556,0.13414411069944332,1.3494775573263944,1.319301750633255,57.67500000000002,-19.8875,6
xgboost,12.5,1.25,12,0.56,4,120,0.5125,0.503707627118644,0.153125,0.13334216101694915,1.3157894736842106,1.326297514619883,6.0,-16.25,7
xgboost,9.999999999999998,1.2,10,0.56,4,118,0.52361673414305,0.4734808409391208,0.15195681511470982,0.04165785006606569,1.3214285714285716,1.164047619047619,16.199999999999996,-6.199999999999998,5
baseline,9.999999999999998,1.3,12,0.0,4,517,0.5171210750742989,0.5115692055968972,0.1509929279064216,0.14637993657689646,1.3674042748492,1.3449672839340274,66.92500000000001,-20.61249999999999,6
xgboost,12.5,1.3,12,0.58,4,66,0.5,0.4847222222222222,0.15000000000000002,0.11486111111111112,1.3,1.254040404040404,3.0,-9.0,9
xgboost,12.5,1.3,12,0.6,4,51,0.5,0.46499999999999997,0.15000000000000002,0.06950000000000002,1.3,1.1578125000000001,-0.39999999999999947,-7.100000000000001,7
xgboost,12.5,1.3,15,0.6,4,54,0.5,0.48863636363636365,0.15000000000000002,0.12386363636363638,1.3,1.2458333333333336,5.800000000000002,-4.1000000000000005,4
xgboost,17.500000000000004,1.3,15,0.52,4,188,0.5,0.48426573426573427,0.15000000000000002,0.11381118881118885,1.2999999999999998,1.291503267973856,23.600000000000005,-8.700000000000001,8
xgboost,9.999999999999998,1.3,15,0.6,4,61,0.5,0.5204545454545455,0.15,0.19704545454545458,1.3000000000000003,1.5630952380952383,17.200000000000003,-4.1000000000000005,3
xgboost,17.500000000000004,1.3,12,0.54,4,155,0.4998513232233125,0.48603677272276735,0.14965804341361882,0.11788457726236497,1.2999999999999996,1.3232142857142857,19.800000000000004,-8.399999999999999,8
xgboost,12.5,1.25,12,0.52,4,166,0.5108695652173914,0.5011137949543747,0.14945652173913043,0.127506038647343,1.3068181818181817,1.315909090909091,11.75,-15.75,7
baseline,9.999999999999998,1.35,12,0.0,4,510,0.5128340134263525,0.5011488074794598,0.14906659786304033,0.14034069876710342,1.3528426829268292,1.3257677933395486,59.80000000000001,-20.4625,6
xgboost,17.500000000000004,1.35,15,0.5,4,199,0.4880952380952381,0.47847164414847065,0.14702380952380953,0.12440836374890611,1.288636363636364,1.2678165584415584,38.35,-6.65,5
xgboost,9.999999999999998,1.35,15,0.5,4,135,0.4879781420765027,0.5086211780616627,0.14674863387978146,0.19525976844490753,1.3074579831932773,1.562166491596639,31.850000000000012,-10.6,9
baseline,9.999999999999998,1.3,15,0.0,4,514,0.4971821756225426,0.49509754348754276,0.14574507389162564,0.13596596097496955,1.3296180738015995,1.3078151221541081,60.10000000000001,-22.19999999999999,7
baseline,9.999999999999998,1.3,10,0.0,4,522,0.4976010101010101,0.49621485540603183,0.14364898989898991,0.13776260096113038,1.3307132144341445,1.3317358878488175,63.150000000000006,-20.03749999999999,6
xgboost,15.000000000000002,1.25,15,0.58,4,101,0.5081521739130435,0.5024527103331451,0.14334239130434784,0.1305185982495765,1.443452380952381,1.4422123015873016,9.25,-11.75,6
xgboost,15.000000000000002,1.35,12,0.54,4,120,0.48636363636363633,0.4542112299465241,0.1429545454545455,0.06739639037433157,1.2801724137931036,1.193211206896552,13.950000000000001,-6.300000000000001,6
xgboost,19.999999999999996,1.2,15,0.6,4,101,0.5192307692307692,0.5248129530044423,0.14230769230769227,0.1545884966097732,1.3,1.3375,11.199999999999998,-4.8,4
baseline,15.000000000000002,1.35,12,0.0,4,815,0.4901797022705997,0.4841114884127511,0.14204624717781167,0.1050197108195047,1.2957573044364235,1.2394900588446456,95.66250000000002,-15.5375,7
xgboost,12.5,1.35,12,0.58,4,61,0.4857142857142857,0.5056776556776557,0.1414285714285715,0.1883424908424909,1.3499999999999999,1.5609374999999999,9.500000000000004,-5.949999999999999,5
baseline,9.999999999999998,1.2,10,0.0,4,535,0.5133939248983497,0.5157978396421573,0.14117734991628797,0.14263363109849486,1.3290838023308937,1.347102691439003,69.225,-14.262500000000014,6
xgboost,9.999999999999998,1.3,10,0.54,4,96,0.49613152804642163,0.4834824306898775,0.14110251450676986,0.11200959058671828,1.3050000000000002,1.2725000000000002,12.100000000000001,-6.0,6
xgboost,12.5,1.2,15,0.54,4,167,0.5186335403726708,0.5295031055900621,0.14099378881987573,0.1649068322981366,1.3833333333333335,1.4791666666666665,19.999999999999993,-12.200000000000001,6
xgboost,17.500000000000004,1.3,10,0.5,4,205,0.49603174603174605,0.46511264720942136,0.14087301587301587,0.06975908858166924,1.2796874999999996,1.1874277836134453,22.700000000000003,-7.200000000000001,5
baseline,9.999999999999998,1.35,15,0.0,4,506,0.49448621553884714,0.48389818275312274,0.14043389724310779,0.13286311249897184,1.3052258206409997,1.2965107719889675,54.66250000000001,-22.05,7
xgboost,9.999999999999998,1.2,12,0.58,4,114,0.5180102915951972,0.48258238156995636,0.13962264150943393,0.06168123945390395,1.2977777777777777,1.182222222222222,13.599999999999998,-6.0,6
xgboost,19.999999999999996,1.35,10,0.52,4,149,0.48444444444444446,0.41267676767676764,0.13844444444444448,-0.030209595959595943,1.2687290969899667,1.0468645484949834,15.500000000000004,-7.65,7
baseline,15.000000000000002,1.3,12,0.0,4,827,0.5001518724985706,0.49064665585226297,0.13839198435972627,0.10573823335064206,1.3020618614482775,1.2396395672244944,96.625,-12.024999999999999,7
baseline,15.000000000000002,1.35,15,0.0,4,803,0.48510732299988957,0.47706733861978456,0.13537919719450686,0.10506258457877453,1.2775023335558267,1.2268449974470392,91.70000000000002,-14.799999999999997,9
xgboost,17.500000000000004,1.3,15,0.5,4,230,0.4934744548782429,0.45885843956033356,0.13499124621995862,0.055374410988767206,1.2665322580645157,1.141078629032258,20.700000000000003,-10.9,5
xgboost,19.999999999999996,1.25,15,0.56,4,141,0.5043859649122807,0.48688686000716075,0.13486842105263158,0.09549543501611171,1.2723214285714286,1.1960565476190477,16.5,-8.0,8
