hypothesis,direction,barrier,horizon,windows,total_trades,mean_WR,median_R,mean_PF,median_PF,total_R,worst_DD
S1_LONG_CONTINUATION,long,0.50R,10,4,1183,0.6227795930741713,-0.015760165108289394,0.9482428174978514,0.9524911052611607,-19.825,-18.449999999999996
S1_SHORT_CONTINUATION_15,short,1.00R,5,4,1484,0.4866039386390856,-0.01696975582960529,0.9965580907963114,0.9549297366297763,2.5000000000000036,-27.6375
S1_LONG_CONTINUATION,long,0.75R,5,4,1132,0.5262147521572789,-0.017036667651694253,0.9295377835541119,0.9431610326483182,-27.000000000000007,-23.2125
S1_LONG_CONTINUATION,long,0.50R,15,4,1177,0.6408390802491578,-0.017261198945981552,0.9538928851322335,0.9450612321028194,-18.612499999999997,-18.112500000000004
S2_SHORT_CONTINUATION,short,0.50R,5,4,1715,0.6232083604147574,-0.020416013746710992,0.9883282556328314,0.9355111558317954,-2.924999999999997,-28.375000000000004
S1_LONG_CONTINUATION,long,0.67R,5,4,1150,0.5438854217421146,-0.020984834627318667,0.9362998068130555,0.9323872366276097,-23.634999999999998,-21.345000000000002
S2_SHORT_CONTINUATION,short,1.00R,5,4,1468,0.4863549829462293,-0.021105654702492642,0.9924573032012334,0.9433035799700631,3.1250000000000036,-20.225000000000005
S2_SHORT_CONTINUATION,short,0.75R,15,4,1474,0.5616258577268272,-0.022447836768269634,0.9996696428910263,0.9472180745826295,-7.874999999999997,-40.8625
S1_SHORT_CONTINUATION,short,0.75R,5,4,1527,0.5249925556443575,-0.022653772504384547,0.9293171606633217,0.928333094775417,-41.262499999999996,-31.537499999999987
S2_LONG_CONTINUATION,long,0.67R,10,4,1356,0.5600473849248031,-0.023346668683503317,0.9803771999099175,0.9326298492661169,-3.382499999999996,-22.620000000000008
S1_LONG_CONTINUATION,long,1.00R,15,4,1006,0.49032740849100115,-0.024095429764034417,0.9290459025300579,0.9475245861264029,-35.55,-32.525000000000006
S1_SHORT_CONTINUATION,short,0.75R,10,4,1454,0.5378720059752067,-0.02435838654880619,0.9565179915374391,0.9451595429904049,-30.512500000000006,-36.8375
S1_SHORT_CONTINUATION,short,0.67R,5,4,1551,0.5374424976700058,-0.025843463454417206,0.9157816054707271,0.921120991432568,-53.557500000000005,-38.16999999999988
S2_SHORT_CONTINUATION,short,0.67R,5,4,1588,0.5542883052310974,-0.02653109350346436,0.9627895055191014,0.9234692551089215,-15.979999999999999,-27.33999999999987
S1_LONG_CONTINUATION,long,1.00R,5,4,1087,0.490070490214251,-0.028822425083635847,0.9150201808130877,0.9180314644905565,-33.837500000000006,-27.587500000000006
S2_SHORT_CONTINUATION,short,0.75R,5,4,1556,0.5285397679812295,-0.029627148299078664,0.9701650146556924,0.9196415968129379,-15.424999999999997,-32.787499999999994
S2_LONG_CONTINUATION,long,0.75R,10,4,1319,0.5361770345011925,-0.029779942279942285,0.9789496552602428,0.9228282495397953,-7.200000000000001,-24.7
S1_SHORT_CONTINUATION,short,0.67R,10,4,1487,0.5548929699872343,-0.030183537012015628,0.9276723773351219,0.9200304258177403,-48.38499999999999,-34.87749999999993
