dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.7,3,-0.3,95,35,0.3684210526315789,0.4,,,-0.3005714285714286,
DEVELOPMENT,0.7,3,-0.2,95,27,0.28421052631578947,0.4444444444444444,,,-0.18518518518518517,
DEVELOPMENT,0.7,3,-0.1,95,22,0.23157894736842105,0.45454545454545453,,,-0.14318181818181822,
DEVELOPMENT,0.7,3,0.0,95,17,0.17894736842105263,0.5882352941176471,,,0.035294117647058795,
DEVELOPMENT,0.7,3,0.1,95,12,0.12631578947368421,0.5833333333333334,,,0.3374999999999999,
DEVELOPMENT,0.7,3,0.2,95,8,0.08421052631578947,0.625,,,0.41875,
DEVELOPMENT,0.7,3,0.3,95,6,0.06315789473684211,0.5,,,-0.14333333333333334,
DEVELOPMENT,0.7,3,0.4,95,4,0.042105263157894736,0.25,,,-0.7450000000000001,
DEVELOPMENT,0.7,4,-0.5,95,55,0.5789473684210527,0.34545454545454546,,,-0.27945454545454546,
DEVELOPMENT,0.7,4,-0.4,95,47,0.49473684210526314,0.3404255319148936,,,-0.3012765957446809,
DEVELOPMENT,0.7,4,-0.3,95,36,0.37894736842105264,0.3888888888888889,,,-0.29805555555555563,
DEVELOPMENT,0.7,4,-0.2,95,32,0.3368421052631579,0.4375,,,-0.17093750000000002,
DEVELOPMENT,0.7,4,-0.1,95,27,0.28421052631578947,0.48148148148148145,,,-0.09259259259259263,
DEVELOPMENT,0.7,4,0.0,95,22,0.23157894736842105,0.5454545454545454,,,0.023636363636363632,
DEVELOPMENT,0.7,4,0.1,95,16,0.16842105263157894,0.625,,,0.18374999999999997,
DEVELOPMENT,0.7,4,0.2,95,14,0.14736842105263157,0.6428571428571429,,,0.17357142857142852,
DEVELOPMENT,0.7,4,0.3,95,11,0.11578947368421053,0.6363636363636364,,,0.17181818181818176,
DEVELOPMENT,0.7,4,0.4,95,8,0.08421052631578947,0.5,,,-0.43750000000000006,
DEVELOPMENT,0.7,5,-0.5,95,57,0.6,0.3333333333333333,,,-0.30280701754385964,
DEVELOPMENT,0.7,5,-0.4,95,49,0.5157894736842106,0.3469387755102041,,,-0.2875510204081633,
DEVELOPMENT,0.7,5,-0.3,95,41,0.43157894736842106,0.3902439024390244,,,-0.285609756097561,
DEVELOPMENT,0.7,5,-0.2,95,37,0.3894736842105263,0.43243243243243246,,,-0.17432432432432432,
DEVELOPMENT,0.7,5,-0.1,95,31,0.3263157894736842,0.4838709677419355,,,-0.11677419354838711,
