mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,6.0,0.4,11,0.11578947368421053,0.5454545454545454,84,0.16666666666666666,0.3787878787878788,-0.12090909090909091,-0.7876190476190476,0.6667099567099566,15,0.15,0.7333333333333333,85,0.18823529411764706,0.5450980392156862,0.9859999999999999,-0.9463529411764704,1.9323529411764704
0.6,8.0,-0.5,62,0.6526315789473685,0.3064516129032258,33,0.030303030303030304,0.2761485826001955,-0.3504838709677419,-1.3866666666666667,1.0361827956989247,73,0.73,0.3424657534246575,27,0.07407407407407407,0.26839167935058345,-0.3458904109589041,-1.4962962962962965,1.1504058853373924
0.6,8.0,-0.4,56,0.5894736842105263,0.32142857142857145,39,0.05128205128205128,0.2701465201465202,-0.3126785714285714,-1.2815384615384615,0.9688598901098902,61,0.61,0.4098360655737705,39,0.05128205128205128,0.35855401429171924,-0.22557377049180327,-1.3305128205128205,1.1049390500210172
0.6,8.0,-0.3,46,0.4842105263157895,0.391304347826087,49,0.04081632653061224,0.35048802129547474,-0.24239130434782613,-1.149795918367347,0.9074046140195209,58,0.58,0.41379310344827586,42,0.07142857142857142,0.3423645320197044,-0.21431034482758618,-1.2671428571428571,1.0528325123152709
0.6,8.0,-0.2,42,0.4421052631578947,0.42857142857142855,53,0.03773584905660377,0.3908355795148248,-0.174047619047619,-1.1354716981132076,0.9614240790655886,54,0.54,0.4444444444444444,46,0.06521739130434782,0.3792270531400966,-0.1277777777777778,-1.2771739130434783,1.1493961352657005
0.6,8.0,-0.1,36,0.37894736842105264,0.5,59,0.03389830508474576,0.4661016949152542,-0.10500000000000004,-1.0798305084745763,0.9748305084745763,47,0.47,0.46808510638297873,53,0.09433962264150944,0.3737454837414693,-0.08127659574468084,-1.1666037735849055,1.0853271778402247
0.6,8.0,0.0,31,0.3263157894736842,0.5161290322580645,64,0.0625,0.4536290322580645,-0.03903225806451613,-1.035625,0.9965927419354839,39,0.39,0.48717948717948717,61,0.13114754098360656,0.35603194619588063,-0.021282051282051278,-1.062622950819672,1.0413408995376208
0.6,8.0,0.1,26,0.2736842105263158,0.5384615384615384,69,0.08695652173913043,0.451505016722408,0.036153846153846134,-0.9917391304347825,1.0278929765886287,35,0.35,0.45714285714285713,65,0.16923076923076924,0.2879120879120879,-0.036857142857142734,-0.9901538461538462,0.9532967032967035
0.6,8.0,0.2,24,0.25263157894736843,0.5,71,0.11267605633802817,0.3873239436619718,-0.05250000000000001,-0.9328169014084505,0.8803169014084505,32,0.32,0.5,68,0.16176470588235295,0.3382352941176471,0.027187499999999976,-0.978235294117647,1.005422794117647
0.6,8.0,0.3,19,0.2,0.5263157894736842,76,0.13157894736842105,0.39473684210526316,0.022105263157894715,-0.8935526315789474,0.9156578947368421,22,0.22,0.5909090909090909,78,0.1794871794871795,0.4114219114219114,0.4095454545454546,-0.957179487179487,1.3667249417249416
0.6,8.0,0.4,16,0.16842105263157894,0.5625,79,0.13924050632911392,0.4232594936708861,0.11249999999999999,-0.8770886075949368,0.9895886075949367,21,0.21,0.5714285714285714,79,0.189873417721519,0.3815551537070524,0.3976190476190477,-0.9367088607594934,1.334327908378541
0.6,10.0,-0.5,66,0.6947368421052632,0.30303030303030304,29,0.0,0.30303030303030304,-0.36181818181818176,-1.503793103448276,1.1419749216300943,76,0.76,0.34210526315789475,24,0.041666666666666664,0.30043859649122806,-0.314078947368421,-1.740833333333333,1.4267543859649119
0.6,10.0,-0.4,58,0.6105263157894737,0.3275862068965517,37,0.02702702702702703,0.3005591798695247,-0.3087931034482758,-1.34,1.0312068965517243,64,0.64,0.40625,36,0.027777777777777776,0.3784722222222222,-0.18796874999999996,-1.4894444444444446,1.3014756944444446
0.6,10.0,-0.3,49,0.5157894736842106,0.3877551020408163,46,0.021739130434782608,0.3660159716060337,-0.25693877551020405,-1.1934782608695653,0.9365394853593613,61,0.61,0.4098360655737705,39,0.05128205128205128,0.35855401429171924,-0.17540983606557378,-1.4089743589743589,1.233564522908785
0.6,10.0,-0.2,44,0.4631578947368421,0.4318181818181818,51,0.0196078431372549,0.41221033868092694,-0.1715909090909091,-1.1752941176470588,1.0037032085561497,56,0.56,0.44642857142857145,44,0.045454545454545456,0.400974025974026,-0.08053571428571431,-1.3895454545454544,1.30900974025974
0.6,10.0,-0.1,38,0.4,0.5,57,0.017543859649122806,0.4824561403508772,-0.10578947368421059,-1.1135087719298247,1.007719298245614,49,0.49,0.46938775510204084,51,0.0784313725490196,0.39095638255302123,-0.05265306122448976,-1.2366666666666666,1.1840136054421768
0.6,10.0,0.0,33,0.3473684210526316,0.5454545454545454,62,0.03225806451612903,0.5131964809384164,-0.026060606060606128,-1.074677419354839,1.0486168132942328,42,0.42,0.5,58,0.10344827586206896,0.39655172413793105,0.013095238095238118,-1.1413793103448275,1.1544745484400656
0.6,10.0,0.1,29,0.30526315789473685,0.5862068965517241,66,0.045454545454545456,0.5407523510971787,0.06448275862068965,-1.0509090909090908,1.1153918495297805,38,0.38,0.5,62,0.12903225806451613,0.3709677419354839,0.0473684210526316,-1.0879032258064514,1.1352716468590829
0.6,10.0,0.2,27,0.28421052631578947,0.5555555555555556,68,0.07352941176470588,0.4820261437908497,0.056296296296296275,-1.0148529411764706,1.071149237472767,35,0.35,0.5428571428571428,65,0.12307692307692308,0.41978021978021973,0.11314285714285714,-1.0709230769230769,1.184065934065934
