filter,window,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
entry_past_return_5_BOTTOM25,19,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
entry_past_return_5_BOTTOM25,20,6,2,4,0.3333333333333333,-0.32439999999999997,-1.0444,-1.9464,0.5340865568747607,-2.472,2
entry_past_return_5_BOTTOM25,21,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
entry_past_return_5_BOTTOM25,22,1,1,0,1.0,1.7056,1.7056,1.7056,inf,0.0,0
entry_past_return_5_TOP25,1,11,7,4,0.6363636363636364,0.37014545454545456,0.1656,4.0716,3.4126570277316906,-1.0444000000000004,1
entry_past_return_5_TOP25,3,7,2,5,0.2857142857142857,-0.49297142857142856,-0.8344,-3.4508,0.18842897460018815,-3.7764,3
entry_past_return_5_TOP25,5,21,7,14,0.3333333333333333,0.12274285714285722,-0.1244,2.5776000000000017,1.4203796725161464,-2.8196,6
entry_past_return_5_TOP25,6,22,12,10,0.5454545454545454,0.06832727272727275,0.1306,1.5032000000000005,1.2311193111931118,-4.0771999999999995,3
entry_past_return_5_TOP25,7,2,0,2,0.0,-0.3494,-0.3494,-0.6988,0.0,-0.4244,2
entry_past_return_5_TOP25,8,6,4,2,0.6666666666666666,0.5189333333333334,0.38060000000000005,3.1136,3.9406875708349074,-0.7944,1
entry_past_return_5_TOP25,9,1,0,1,0.0,-0.3344,-0.3344,-0.3344,0.0,0.0,1
entry_past_return_5_TOP25,10,2,2,0,1.0,1.2556,1.2556,2.5112,inf,0.0,0
entry_past_return_5_TOP25,11,10,4,6,0.4,-0.37839999999999996,-1.0444,-3.7839999999999994,0.3961445167879485,-6.0207999999999995,5
entry_past_return_5_TOP25,12,2,0,2,0.0,-0.5244,-0.5244,-1.0488,0.0,-0.0043999999999999595,2
entry_past_return_5_TOP25,14,2,1,1,0.5,-0.0043999999999999595,-0.0043999999999999595,-0.008799999999999919,0.9915741095365761,0.0,1
entry_past_return_5_TOP25,15,5,2,3,0.4,0.055600000000000004,-1.0444,0.278,1.088727179879995,-1.0444,2
entry_past_return_5_TOP25,16,6,3,3,0.5,-0.1744,-0.3794,-1.0464,0.6395701295122623,-2.9032,3
entry_past_return_5_TOP25,18,16,6,10,0.375,-0.16564999999999996,-0.7994,-2.6503999999999994,0.7085550912689687,-7.3884,7
entry_past_return_5_TOP25,20,14,7,7,0.5,0.22774285714285716,-0.12440000000000001,3.1884,1.4889584100110418,-4.432,5
entry_past_return_5_TOP25,22,8,1,7,0.125,-0.5744,-1.0444,-4.5952,0.2706957846622652,-6.300800000000001,7
entry_past_return_10_BOTTOM25,1,6,2,4,0.3333333333333333,0.2039333333333333,-0.2794,1.2235999999999998,1.559334430426038,-1.9632,3
entry_past_return_10_BOTTOM25,2,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
entry_past_return_10_BOTTOM25,3,7,2,5,0.2857142857142857,-0.2586857142857143,-1.0444,-1.8108,0.653236307927997,-4.1776,4
entry_past_return_10_BOTTOM25,5,4,3,1,0.75,0.9881,1.1606,3.9524,54.123655913978496,-0.0743999999999998,1
entry_past_return_10_BOTTOM25,6,6,4,2,0.6666666666666666,0.4739333333333333,0.5706,2.8436,2.6640917602996255,-1.0444,1
entry_past_return_10_BOTTOM25,7,1,0,1,0.0,-0.4244,-0.4244,-0.4244,0.0,0.0,1
entry_past_return_10_BOTTOM25,8,1,0,1,0.0,-0.7944,-0.7944,-0.7944,0.0,0.0,1
entry_past_return_10_BOTTOM25,9,23,7,16,0.30434782608695654,-0.20309565217391298,-0.6844,-4.671199999999999,0.6313297133476449,-5.830399999999999,4
entry_past_return_10_BOTTOM25,10,16,8,8,0.5,0.353725,0.13560000000000005,5.6596,1.9270130380659112,-2.8632,3
entry_past_return_10_BOTTOM25,11,12,3,9,0.25,-0.45190000000000013,-0.9344,-5.422800000000001,0.2966172045242295,-4.378400000000001,4
entry_past_return_10_BOTTOM25,12,22,11,11,0.5,0.058781818181818185,-0.4194,1.2932000000000001,1.112565718463842,-3.214,3
entry_past_return_10_BOTTOM25,13,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
entry_past_return_10_BOTTOM25,14,18,9,9,0.5,0.19171111111111114,-0.45940000000000003,3.4508000000000005,1.3671220051917103,-2.0888,2
entry_past_return_10_BOTTOM25,17,4,2,2,0.5,0.3881,0.4456,1.5524,1.8351624704110179,-1.0444,1
