sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct
DEVELOPMENT,0.9,4,95,26,-67.49,-58.910000000000004,8.579999999999991,-0.7104210526315788,-0.6201052631578948,0.09031578947368402,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.16142348754448405,-69.04999999999997,-60.749999999999986,8.299999999999983,1,10,0.1
HOLDOUT,0.9,4,100,49,-65.64999999999999,-65.92,-0.27000000000001023,-0.6564999999999999,-0.6592,-0.0027000000000001467,0.27,0.16,-0.11000000000000001,0.3409296255396045,0.21523809523809523,-64.88999999999997,-65.15999999999998,-0.27000000000001023,1,10,0.1
DEVELOPMENT,0.9,5,95,33,-67.49,-57.910000000000004,9.579999999999991,-0.7104210526315788,-0.6095789473684211,0.10084210526315773,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.15422812910763836,-69.04999999999997,-59.74999999999997,9.299999999999997,1,10,0.1
HOLDOUT,0.9,5,100,60,-65.64999999999999,-64.76,0.8899999999999864,-0.6564999999999999,-0.6476000000000001,0.008899999999999797,0.27,0.13,-0.14,0.3409296255396045,0.2068585425597061,-64.88999999999997,-63.64999999999999,1.2399999999999807,1,10,0.1
DEVELOPMENT,0.9,6,95,40,-67.49,-59.959999999999994,7.530000000000001,-0.7104210526315788,-0.631157894736842,0.07926315789473681,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.12467153284671531,-69.04999999999997,-61.79999999999997,7.25,1,10,0.1
HOLDOUT,0.9,6,100,70,-65.64999999999999,-69.41,-3.760000000000005,-0.6564999999999999,-0.6940999999999999,-0.03760000000000008,0.27,0.09,-0.18000000000000002,0.3409296255396045,0.1420271940667491,-64.88999999999997,-68.3,-3.410000000000025,1,10,0.1
DEVELOPMENT,0.9,8,95,56,-67.49,-59.279999999999994,8.21,-0.7104210526315788,-0.6239999999999999,0.08642105263157895,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.12592155706281333,-69.04999999999997,-61.119999999999976,7.929999999999993,1,10,0.1
HOLDOUT,0.9,8,100,82,-65.64999999999999,-69.84,-4.190000000000012,-0.6564999999999999,-0.6984,-0.04190000000000016,0.27,0.07,-0.2,0.3409296255396045,0.11673200961173641,-64.88999999999997,-68.73,-3.840000000000032,0,10,0.0
DEVELOPMENT,0.95,2,95,8,-67.49,-61.24000000000001,6.249999999999986,-0.7104210526315788,-0.6446315789473686,0.06578947368421029,0.21052631578947367,0.2,-0.010526315789473661,0.18559189091347894,0.17176088720584257,-69.04999999999997,-63.079999999999984,5.969999999999985,1,10,0.1
HOLDOUT,0.95,2,100,18,-65.64999999999999,-73.52999999999999,-7.8799999999999955,-0.6564999999999999,-0.7352999999999998,-0.07879999999999998,0.27,0.22,-0.05000000000000002,0.3409296255396045,0.2500764915859256,-64.88999999999997,-72.76999999999998,-7.88000000000001,2,10,0.2
DEVELOPMENT,0.95,3,95,13,-67.49,-61.25,6.239999999999995,-0.7104210526315788,-0.6447368421052632,0.06568421052631568,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.15749656121045394,-69.04999999999997,-63.08999999999999,5.9599999999999795,1,10,0.1
HOLDOUT,0.95,3,100,32,-65.64999999999999,-72.69999999999999,-7.049999999999997,-0.6564999999999999,-0.7269999999999999,-0.07050000000000001,0.27,0.18,-0.09000000000000002,0.3409296255396045,0.2206260720411664,-64.88999999999997,-71.93999999999998,-7.050000000000011,2,10,0.2
DEVELOPMENT,0.95,4,95,22,-67.49,-59.17999999999999,8.310000000000002,-0.7104210526315788,-0.6229473684210526,0.08747368421052626,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.160805445263755,-69.04999999999997,-61.01999999999998,8.029999999999987,1,10,0.1
HOLDOUT,0.95,4,100,42,-65.64999999999999,-71.35,-5.700000000000003,-0.6564999999999999,-0.7134999999999999,-0.05700000000000005,0.27,0.17,-0.1,0.3409296255396045,0.211340775947828,-64.88999999999997,-70.58999999999997,-5.700000000000003,1,10,0.1
DEVELOPMENT,0.95,5,95,30,-67.49,-58.60999999999999,8.880000000000003,-0.7104210526315788,-0.6169473684210526,0.09347368421052626,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.1526673413329478,-69.04999999999997,-60.449999999999974,8.599999999999994,1,10,0.1
HOLDOUT,0.95,5,100,52,-65.64999999999999,-70.74,-5.090000000000003,-0.6564999999999999,-0.7073999999999999,-0.050900000000000056,0.27,0.15,-0.12000000000000002,0.3409296255396045,0.20543636976300125,-64.88999999999997,-69.63000000000001,-4.7400000000000375,1,10,0.1
DEVELOPMENT,0.95,6,95,36,-67.49,-57.88,9.609999999999992,-0.7104210526315788,-0.6092631578947368,0.101157894736842,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.1499485974445587,-69.04999999999997,-59.71999999999997,9.329999999999998,1,10,0.1
HOLDOUT,0.95,6,100,62,-65.64999999999999,-73.59,-7.940000000000012,-0.6564999999999999,-0.7359,-0.07940000000000014,0.27,0.12,-0.15000000000000002,0.3409296255396045,0.15704467353951887,-64.88999999999997,-72.48,-7.590000000000032,1,10,0.1
