mae_threshold,horizon,recovery_level,observations,reached_trades,not_reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
0.7,4,0.3,195,22,173,0.11282051282051282,0.6818181818181818,,,0.59,
0.7,4,0.4,195,18,177,0.09230769230769231,0.6111111111111112,,,0.38500000000000006,
0.7,5,-0.5,195,125,70,0.6410256410256411,0.344,,,-0.29503999999999997,
0.7,5,-0.4,195,105,90,0.5384615384615384,0.38095238095238093,,,-0.2153333333333333,
0.7,5,-0.3,195,90,105,0.46153846153846156,0.4,,,-0.21377777777777776,
0.7,5,-0.2,195,81,114,0.4153846153846154,0.4444444444444444,,,-0.10864197530864199,
0.7,5,-0.1,195,68,127,0.3487179487179487,0.4852941176470588,,,-0.022647058823529416,
0.7,5,0.0,195,56,139,0.28717948717948716,0.5178571428571429,,,0.11535714285714282,
0.7,5,0.1,195,46,149,0.2358974358974359,0.5,,,0.14760869565217394,
0.7,5,0.2,195,39,156,0.2,0.5641025641025641,,,0.21794871794871787,
0.7,5,0.3,195,29,166,0.14871794871794872,0.6551724137931034,,,0.5813793103448276,
0.7,5,0.4,195,26,169,0.13333333333333333,0.6153846153846154,,,0.4969230769230769,
0.7,6,-0.5,195,131,64,0.6717948717948717,0.3435114503816794,,,-0.286030534351145,
0.7,6,-0.4,195,113,82,0.5794871794871795,0.3805309734513274,,,-0.21123893805309735,
0.7,6,-0.3,195,97,98,0.49743589743589745,0.4020618556701031,,,-0.212680412371134,
0.7,6,-0.2,195,87,108,0.4461538461538462,0.4482758620689655,,,-0.11333333333333337,
0.7,6,-0.1,195,75,120,0.38461538461538464,0.48,,,-0.07919999999999996,
0.7,6,0.0,195,64,131,0.3282051282051282,0.515625,,,0.020937500000000032,
0.7,6,0.1,195,51,144,0.26153846153846155,0.5098039215686274,,,0.12470588235294117,
0.7,6,0.2,195,46,149,0.2358974358974359,0.5434782608695652,,,0.16695652173913042,
0.7,6,0.3,195,31,164,0.15897435897435896,0.6451612903225806,,,0.5564516129032256,
0.7,6,0.4,195,28,167,0.14358974358974358,0.6428571428571429,,,0.5642857142857143,
0.7,8,-0.5,195,136,59,0.6974358974358974,0.33088235294117646,,,-0.30735294117647055,
0.7,8,-0.4,195,118,77,0.6051282051282051,0.3728813559322034,,,-0.23516949152542374,
0.7,8,-0.3,195,104,91,0.5333333333333333,0.40384615384615385,,,-0.2199038461538462,
0.7,8,-0.2,195,93,102,0.47692307692307695,0.45161290322580644,,,-0.11537634408602154,
0.7,8,-0.1,195,82,113,0.4205128205128205,0.4878048780487805,,,-0.06487804878048783,
0.7,8,0.0,195,70,125,0.358974358974359,0.5,,,-0.027142857142857125,
0.7,8,0.1,195,62,133,0.31794871794871793,0.5161290322580645,,,0.0353225806451613,
0.7,8,0.2,195,58,137,0.29743589743589743,0.5344827586206896,,,0.06155172413793104,
0.7,8,0.3,195,44,151,0.22564102564102564,0.6136363636363636,,,0.3406818181818181,
0.7,8,0.4,195,40,155,0.20512820512820512,0.625,,,0.39275,
0.7,10,-0.5,195,140,55,0.717948717948718,0.32857142857142857,,,-0.31671428571428567,
0.7,10,-0.4,195,124,71,0.6358974358974359,0.3709677419354839,,,-0.24177419354838708,
0.7,10,-0.3,195,112,83,0.5743589743589743,0.39285714285714285,,,-0.21071428571428572,
0.7,10,-0.2,195,99,96,0.5076923076923077,0.4444444444444444,,,-0.09555555555555559,
