mae_threshold,recovery_level,recovery_horizon,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,triggered_trades,recovery_exits,losses_rescued,winners_damaged,delta_R,mean_delta_R,benchmark_R,benchmark_win_rate,benchmark_profit_factor,benchmark_max_drawdown_R,development_window_positive_pct
0.6,0.3,3,95,21,74,0.22105263157894736,-0.6723157894736843,-63.870000000000005,0.2032185628742515,-65.59999999999998,0.1,-12.88,0.38,95,3,1,0,3.62,0.03810526315789474,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,4,95,23,72,0.24210526315789474,-0.6852631578947367,-65.09999999999998,0.15629860031104198,-65.56999999999996,0.1,-12.88,0.38,95,10,3,4,2.3900000000000006,0.02515789473684211,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,5,95,25,70,0.2631578947368421,-0.6572631578947368,-62.44,0.17755532139093785,-62.909999999999975,0.1,-12.88,0.38,95,13,5,4,5.050000000000001,0.05315789473684211,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,6,95,25,70,0.2631578947368421,-0.6572631578947368,-62.44,0.17755532139093785,-62.909999999999975,0.1,-12.88,0.38,95,13,5,4,5.050000000000001,0.05315789473684211,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,8,95,29,66,0.30526315789473685,-0.616,-58.519999999999996,0.19148936170212766,-58.989999999999995,0.1,-13.66,0.38,95,19,8,5,8.97,0.09442105263157895,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,10,95,29,66,0.30526315789473685,-0.6189473684210526,-58.8,0.18762088974854935,-59.269999999999996,0.1,-13.66,0.38,95,21,8,6,8.690000000000001,0.09147368421052633,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.3,12,95,30,65,0.3157894736842105,-0.6188421052631579,-58.79,0.18381230043037622,-59.25999999999999,0.1,-13.66,0.38,95,23,9,7,8.700000000000001,0.09157894736842107,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.4,2,95,21,74,0.22105263157894736,-0.6771578947368421,-64.33,0.1974800399201597,-65.88999999999997,0.1,-12.88,0.09,95,1,1,0,3.16,0.03326315789473684,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.4,3,95,21,74,0.22105263157894736,-0.6753684210526315,-64.16,0.19960079840319359,-65.88999999999997,0.1,-12.88,0.09,95,2,1,0,3.33,0.03505263157894737,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.4,4,95,23,72,0.24210526315789474,-0.6396842105263157,-60.769999999999996,0.21241575946086053,-62.87999999999998,0.2,-12.88,0.44,95,7,3,1,6.720000000000001,0.07073684210526317,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.4,5,95,25,70,0.2631578947368421,-0.6235789473684211,-59.24000000000001,0.21970495258166495,-61.34999999999998,0.2,-12.88,0.44,95,11,5,2,8.25,0.0868421052631579,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.4,6,95,25,70,0.2631578947368421,-0.6235789473684211,-59.24000000000001,0.21970495258166495,-61.34999999999998,0.2,-12.88,0.44,95,11,5,2,8.25,0.0868421052631579,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.4,8,95,27,68,0.28421052631578947,-0.6306315789473684,-59.91,0.201306492467671,-60.43,0.1,-13.34,0.44,95,16,6,4,7.58,0.07978947368421052,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
