mae_threshold,recovery_level,deadline,development_trades,development_wins,development_losses,development_win_rate,development_mean_R,development_total_R,development_profit_factor,development_max_drawdown_R,development_benchmark_total_R,development_benchmark_mean_R,development_benchmark_win_rate,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD,development_mae_triggered,development_recovery_exits,development_deadline_exits,development_recovery_exit_pct,_score
0.6,-0.4,5,95,6,89,0.06315789473684211,-0.5950526315789475,-56.53000000000001,0.020786419539234366,-55.49000000000001,-67.49,-0.7104210526315788,0.21052631578947367,10.959999999999987,0.11536842105263134,-0.14736842105263157,13.55999999999996,95,47,48,0.49473684210526314,12.3736842105263
0.75,0.2,8,95,28,67,0.29473684210526313,-0.594842105263158,-56.510000000000005,0.15593726661687832,-56.36999999999999,-67.49,-0.7104210526315788,0.21052631578947367,10.97999999999999,0.11557894736842089,0.08421052631578946,12.679999999999978,95,28,67,0.29473684210526313,12.305789473684197
0.7,0.0,5,95,23,72,0.24210526315789474,-0.5953684210526317,-56.56,0.06943073379401118,-56.13999999999999,-67.49,-0.7104210526315788,0.21052631578947367,10.929999999999993,0.11505263157894718,0.03157894736842107,12.909999999999975,95,25,70,0.2631578947368421,12.278526315789463
0.7,0.2,8,95,27,68,0.28421052631578947,-0.5953684210526317,-56.56,0.14908981495411464,-56.29999999999999,-67.49,-0.7104210526315788,0.21052631578947367,10.929999999999993,0.11505263157894718,0.0736842105263158,12.749999999999979,95,26,69,0.2736842105263158,12.262526315789465
0.7,0.2,5,95,20,75,0.21052631578947367,-0.5952631578947369,-56.550000000000004,0.10095389507154214,-56.49000000000001,-67.49,-0.7104210526315788,0.21052631578947367,10.93999999999999,0.1151578947368419,0.0,12.55999999999996,95,16,79,0.16842105263157894,12.253578947368409
0.8,0.2,5,95,24,71,0.25263157894736843,-0.5955789473684211,-56.580000000000005,0.13047487321346238,-56.929999999999986,-67.49,-0.7104210526315788,0.21052631578947367,10.90999999999999,0.11484210526315775,0.04210526315789476,12.119999999999983,89,16,73,0.1797752808988764,12.179421052631566
0.8,-0.1,8,95,26,69,0.2736842105263158,-0.5961052631578947,-56.629999999999995,0.10720479268484942,-56.72999999999996,-67.49,-0.7104210526315788,0.21052631578947367,10.86,0.11431578947368415,0.06315789473684214,12.320000000000007,89,33,56,0.3707865168539326,12.149157894736843
0.6,-0.2,8,95,12,83,0.12631578947368421,-0.597578947368421,-56.769999999999996,0.03304377448475559,-55.559999999999974,-67.49,-0.7104210526315788,0.21052631578947367,10.719999999999999,0.11284210526315785,-0.08421052631578946,13.489999999999995,95,42,53,0.4421052631578947,12.125421052631578
0.7,-0.1,8,95,22,73,0.23157894736842105,-0.598842105263158,-56.89,0.07735971456373662,-56.289999999999985,-67.49,-0.7104210526315788,0.21052631578947367,10.599999999999994,0.11157894736842089,0.02105263157894738,12.759999999999984,95,36,59,0.37894736842105264,11.931789473684203
0.8,0.1,5,95,24,71,0.25263157894736843,-0.598,-56.81,0.12694021822652526,-57.15999999999999,-67.49,-0.7104210526315788,0.21052631578947367,10.679999999999993,0.11242105263157887,0.04210526315789476,11.88999999999998,89,19,70,0.21348314606741572,11.92521052631578
0.6,0.1,3,95,14,81,0.14736842105263157,-0.6,-57.0,0.04072702793672164,-56.239999999999995,-67.49,-0.7104210526315788,0.21052631578947367,10.489999999999995,0.11042105263157886,-0.06315789473684211,12.809999999999974,95,9,86,0.09473684210526316,11.826210526315782
0.6,0.2,3,95,14,81,0.14736842105263157,-0.6,-57.0,0.04072702793672164,-56.239999999999995,-67.49,-0.7104210526315788,0.21052631578947367,10.489999999999995,0.11042105263157886,-0.06315789473684211,12.809999999999974,95,6,89,0.06315789473684211,11.826210526315782
0.75,0.1,5,95,22,73,0.23157894736842105,-0.6007368421052632,-57.07000000000001,0.1050650776227066,-57.010000000000005,-67.49,-0.7104210526315788,0.21052631578947367,10.419999999999987,0.1096842105263156,0.02105263157894738,12.039999999999964,95,20,75,0.21052631578947367,11.678842105263142
0.6,-0.3,8,95,10,85,0.10526315789473684,-0.6023157894736841,-57.21999999999999,0.030333841721742083,-56.009999999999984,-67.49,-0.7104210526315788,0.21052631578947367,10.270000000000003,0.1081052631578947,-0.10526315789473684,13.039999999999985,95,46,49,0.4842105263157895,11.62805263157895
0.8,-0.3,3,95,12,83,0.12631578947368421,-0.6018947368421053,-57.18,0.06369739643032586,-56.41999999999998,-67.49,-0.7104210526315788,0.21052631578947367,10.309999999999995,0.10852631578947358,-0.08421052631578946,12.629999999999988,89,30,59,0.33707865168539325,11.627263157894731
0.75,0.1,3,95,15,80,0.15789473684210525,-0.602,-57.19,0.06153593698720053,-56.78999999999999,-67.49,-0.7104210526315788,0.21052631578947367,10.299999999999997,0.10842105263157886,-0.05263157894736842,12.259999999999977,95,12,83,0.12631578947368421,11.580210526315783
