mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.75,-0.2,12,95,47,95,0,95,0.0,-0.7327368421052631,-69.61,-2.1200000000000045,0.0,-68.57000000000004,0.0,-16.02,-0.2
0.75,0.0,2,95,7,95,15,80,0.15789473684210525,-0.755578947368421,-71.78,-4.290000000000006,0.10364635364635363,-71.04999999999997,0.1,-14.01,0.09
0.75,0.0,3,95,17,95,10,85,0.10526315789473684,-0.7167368421052632,-68.09,-0.6000000000000085,0.07461266648545803,-67.35999999999999,0.0,-14.01,0.0
0.75,0.0,4,95,22,95,8,87,0.08421052631578947,-0.7107368421052632,-67.52000000000001,-0.030000000000015348,0.05632424877707895,-66.58,0.0,-14.01,0.0
0.75,0.0,5,95,26,95,6,89,0.06315789473684211,-0.714,-67.83,-0.3400000000000034,0.02891911238367932,-66.89,0.0,-15.68,0.0
0.75,0.0,6,95,28,95,5,90,0.05263157894736842,-0.7143157894736842,-67.86,-0.37000000000000455,0.02556002297530156,-66.92,0.0,-15.469999999999999,0.0
0.75,0.0,8,95,31,95,4,91,0.042105263157894736,-0.6965263157894735,-66.16999999999999,1.3200000000000074,0.014887598630340929,-65.23,0.0,-15.469999999999999,0.0
0.75,0.0,10,95,35,95,2,93,0.021052631578947368,-0.6944210526315789,-65.97,1.519999999999996,0.009756829780846592,-65.03,0.0,-15.27,0.0
0.75,0.0,12,95,37,95,0,95,0.0,-0.7012631578947367,-66.61999999999999,0.8700000000000045,0.0,-65.57999999999998,0.0,-15.27,0.0
0.75,0.25,2,95,2,95,21,74,0.22105263157894736,-0.6988421052631579,-66.39,1.0999999999999943,0.17178143712574848,-67.94999999999997,0.1,-12.88,0.09
0.75,0.25,3,95,7,95,23,72,0.24210526315789474,-0.7051578947368421,-66.99,0.5,0.15873414542257944,-66.75999999999996,0.1,-12.88,0.25
0.75,0.25,4,95,14,95,25,70,0.2631578947368421,-0.699157894736842,-66.41999999999999,1.0700000000000074,0.12662721893491125,-66.22999999999999,0.1,-13.51,0.25
0.75,0.25,5,95,16,95,26,69,0.2736842105263158,-0.7031578947368419,-66.79999999999998,0.6900000000000119,0.1124103109221366,-66.60999999999999,0.1,-14.93,0.25
0.75,0.25,6,95,18,95,26,69,0.2736842105263158,-0.7153684210526315,-67.96,-0.46999999999999886,0.0969970768004252,-67.76999999999998,0.1,-14.93,0.25
0.75,0.25,8,95,25,95,30,65,0.3157894736842105,-0.6792631578947369,-64.53,2.9599999999999937,0.10225375626043406,-64.59,0.1,-14.68,0.25
0.75,0.25,10,95,27,95,32,63,0.3368421052631579,-0.6682105263157895,-63.480000000000004,4.009999999999991,0.11005187158278425,-63.54,0.1,-14.23,0.25
0.75,0.25,12,95,28,95,32,63,0.3368421052631579,-0.6713684210526316,-63.78,3.7099999999999937,0.10584606757325109,-63.84,0.1,-14.23,0.25
0.75,0.5,2,95,0,95,20,75,0.21052631578947367,-0.7104210526315788,-67.49,0.0,0.18559189091347894,-69.04999999999997,0.1,-14.0,0.09
0.75,0.5,3,95,3,95,23,72,0.24210526315789474,-0.6605263157894737,-62.75000000000001,4.739999999999988,0.21198040939344465,-64.30999999999997,0.1,-12.88,0.09
0.75,0.5,4,95,6,95,24,71,0.25263157894736843,-0.6189473684210527,-58.800000000000004,8.68999999999999,0.23347673054360582,-60.889999999999986,0.2,-12.88,0.1499999999999998
0.75,0.5,5,95,11,95,25,70,0.2631578947368421,-0.6385263157894737,-60.660000000000004,6.829999999999991,0.2010010537407798,-62.749999999999986,0.2,-13.01,0.5
0.75,0.5,6,95,12,95,25,70,0.2631578947368421,-0.6508421052631579,-61.83,5.659999999999997,0.1855900948366702,-63.91999999999999,0.2,-14.18,0.5
0.75,0.5,8,95,15,95,25,70,0.2631578947368421,-0.6596842105263158,-62.67,4.819999999999993,0.17452581664910435,-64.75999999999999,0.2,-14.18,0.5
0.75,0.5,10,95,20,95,27,68,0.28421052631578947,-0.6628421052631579,-62.97,4.519999999999996,0.15657648004286098,-63.529999999999994,0.1,-14.18,0.5
0.75,0.5,12,95,23,95,29,66,0.30526315789473685,-0.6507368421052632,-61.82,5.669999999999995,0.1697555734622616,-62.379999999999995,0.1,-12.98,0.5
0.8,-0.2,2,89,16,95,14,81,0.14736842105263157,-0.716,-68.02,-0.5300000000000011,0.10062144651593283,-67.35,0.1,-14.61,0.09
0.8,-0.2,3,89,23,95,10,85,0.10526315789473684,-0.7289473684210528,-69.25000000000001,-1.7600000000000193,0.07432161475738538,-68.21000000000001,0.1,-14.6,0.09
0.8,-0.2,4,89,27,95,9,86,0.09473684210526316,-0.7227368421052632,-68.66000000000001,-1.170000000000016,0.06800597258042623,-67.62,0.1,-14.6,0.09
0.8,-0.2,5,89,31,95,6,89,0.06315789473684211,-0.7486315789473684,-71.12,-3.6300000000000097,0.04047490555855369,-70.08000000000001,0.1,-16.47,0.09
0.8,-0.2,6,89,33,95,5,90,0.05263157894736842,-0.7403157894736841,-70.33,-2.8400000000000034,0.030599586492074428,-69.29,0.1,-16.47,0.09
0.8,-0.2,8,89,35,95,5,90,0.05263157894736842,-0.739578947368421,-70.25999999999999,-2.769999999999996,0.030629139072847682,-69.22000000000001,0.1,-16.47,0.09
0.8,-0.2,10,89,39,95,4,91,0.042105263157894736,-0.7370526315789475,-70.02000000000001,-2.5300000000000153,0.02925273811174268,-68.98000000000003,0.1,-15.99,0.09
0.8,-0.2,12,89,40,95,4,91,0.042105263157894736,-0.7327368421052634,-69.61000000000001,-2.1200000000000188,0.029419966536530954,-68.57000000000002,0.1,-15.99,0.09
0.8,0.0,2,89,8,95,15,80,0.15789473684210525,-0.754842105263158,-71.71000000000001,-4.220000000000013,0.09707882145555277,-71.23999999999998,0.1,-14.01,0.09
0.8,0.0,3,89,13,95,13,82,0.1368421052631579,-0.7076842105263157,-67.22999999999999,0.2600000000000051,0.09746274667740638,-66.75999999999999,0.1,-14.01,0.09
0.8,0.0,4,89,19,95,10,85,0.10526315789473684,-0.7042105263157894,-66.89999999999999,0.5900000000000034,0.0767319900634833,-66.21999999999998,0.1,-14.01,0.09
0.8,0.0,5,89,24,95,8,87,0.08421052631578947,-0.7027368421052632,-66.76,0.7299999999999898,0.05372076541459958,-65.97999999999999,0.1,-15.469999999999999,0.09
0.8,0.0,6,89,24,95,8,87,0.08421052631578947,-0.7027368421052632,-66.76,0.7299999999999898,0.05372076541459958,-65.97999999999999,0.1,-15.469999999999999,0.09
0.8,0.0,8,89,28,95,7,88,0.07368421052631578,-0.6812631578947367,-64.71999999999998,2.7700000000000102,0.04444116344308283,-63.93999999999998,0.1,-15.469999999999999,0.09
0.8,0.0,10,89,31,95,5,90,0.05263157894736842,-0.6828421052631578,-64.86999999999999,2.6200000000000045,0.03938990078483636,-64.08999999999997,0.1,-15.27,0.09
0.8,0.0,12,89,32,95,4,91,0.042105263157894736,-0.6886315789473685,-65.42,2.069999999999993,0.03124537242706945,-64.63999999999999,0.1,-15.27,0.09
0.8,0.25,2,89,2,95,21,74,0.22105263157894736,-0.6988421052631579,-66.39,1.0999999999999943,0.17178143712574848,-67.94999999999997,0.1,-12.88,0.09
0.8,0.25,3,89,7,95,24,71,0.25263157894736843,-0.7034736842105263,-66.83,0.6599999999999966,0.1537292642775738,-66.60999999999997,0.1,-12.88,0.09
0.8,0.25,4,89,13,95,25,70,0.2631578947368421,-0.7006315789473683,-66.55999999999999,0.9300000000000068,0.12478632478632479,-66.37999999999997,0.1,-13.51,0.09
