mae_threshold,recovery_level,deadline,development_trades,development_mae_triggered,development_recovered,development_failed,development_no_mae,development_recovery_rate,development_recovered_win_rate,development_failed_win_rate,development_win_rate_separation,development_recovered_mean_R,development_failed_mean_R,development_mean_R_separation,development_recovered_total_R,development_failed_total_R,development_recovered_PF,development_failed_PF,_selection_score
0.85,-0.2,8,95,79,21,58,16,0.26582278481012656,0.6190476190476191,0.0,0.6190476190476191,0.11904761904761904,-1.2615517241379308,1.3805993431855499,2.5,-73.16999999999999,1.3822629969418958,0.0,1.309347290640394
0.85,0.2,12,95,79,17,62,16,0.21518987341772153,0.6470588235294118,0.03225806451612903,0.6148007590132828,0.19352941176470595,-1.1929032258064516,1.3864326375711575,3.290000000000001,-73.96,1.5938628158844765,0.0028313334232169343,1.3080170777988616
0.85,0.1,8,95,79,15,64,16,0.189873417721519,0.6666666666666666,0.046875,0.6197916666666666,0.1873333333333333,-1.148125,1.3354583333333334,2.8099999999999996,-73.48,1.5262172284644195,0.011967191071668685,1.2875208333333332
0.85,0.4,10,95,79,11,68,16,0.13924050632911392,0.6363636363636364,0.08823529411764706,0.5481283422459893,0.3718181818181818,-1.0994117647058823,1.4712299465240641,4.09,-74.75999999999999,2.217261904761904,0.020825147347740672,1.2837433155080213
0.9,-0.1,8,95,74,17,57,21,0.22972972972972974,0.5882352941176471,0.0,0.5882352941176471,0.08764705882352938,-1.2726315789473686,1.360278637770898,1.4899999999999995,-72.54,1.2399355877616747,0.0,1.268374613003096
0.9,0.2,8,95,74,11,63,21,0.14864864864864866,0.6363636363636364,0.047619047619047616,0.5887445887445888,0.19272727272727275,-1.1614285714285713,1.354155844155844,2.12,-73.16999999999999,1.4132553606237817,0.006112469437652812,1.2658225108225107
0.9,0.2,12,95,74,13,61,21,0.17567567567567569,0.6153846153846154,0.03278688524590164,0.5825977301387137,0.16615384615384615,-1.2001639344262292,1.3663177805800752,2.16,-73.20999999999998,1.405253283302064,0.0028602560610187966,1.2657566204287514
0.85,0.4,8,95,79,9,70,16,0.11392405063291139,0.6666666666666666,0.1,0.5666666666666667,0.3377777777777778,-1.053,1.3907777777777777,3.04,-73.71,1.962025316455696,0.037099934683213584,1.2620555555555555
0.85,-0.1,10,95,79,23,56,16,0.2911392405063291,0.5652173913043478,0.0,0.5652173913043478,0.07565217391304344,-1.2930357142857143,1.3686878881987576,1.739999999999999,-72.41,1.2383561643835617,0.0,1.2495613354037265
0.85,-0.1,12,95,79,23,56,16,0.2911392405063291,0.5652173913043478,0.0,0.5652173913043478,0.07565217391304344,-1.2930357142857143,1.3686878881987576,1.739999999999999,-72.41,1.2383561643835617,0.0,1.2495613354037265
0.85,0.2,8,95,79,14,65,16,0.17721518987341772,0.6428571428571429,0.06153846153846154,0.5813186813186814,0.19285714285714287,-1.1287692307692307,1.3216263736263736,2.7,-73.37,1.5056179775280898,0.013446282102998523,1.2421318681318683
0.9,-0.2,5,95,74,13,61,21,0.17567567567567569,0.6153846153846154,0.03278688524590164,0.5825977301387137,0.12538461538461537,-1.1914754098360651,1.3168600252206806,1.6299999999999997,-72.67999999999998,1.2781569965870307,0.002881053642474963,1.2410277427490541
0.9,-0.1,5,95,74,11,63,21,0.14864864864864866,0.6363636363636364,0.047619047619047616,0.5887445887445888,0.14363636363636367,-1.1528571428571426,1.2964935064935061,1.5800000000000003,-72.62999999999998,1.3079922027290447,0.013447432762836187,1.2369913419913419
0.9,0.4,10,95,74,9,65,21,0.12162162162162163,0.5555555555555556,0.07692307692307693,0.47863247863247865,0.36666666666666664,-1.1438461538461537,1.5105128205128204,3.3,-74.35,1.9821428571428568,0.013794933014988726,1.2338888888888888
0.9,0.4,12,95,74,9,65,21,0.12162162162162163,0.5555555555555556,0.07692307692307693,0.47863247863247865,0.36666666666666664,-1.1438461538461537,1.5105128205128204,3.3,-74.35,1.9821428571428568,0.013794933014988726,1.2338888888888888
0.9,-0.2,8,95,74,18,56,21,0.24324324324324326,0.5555555555555556,0.0,0.5555555555555556,0.04222222222222223,-1.2823214285714286,1.3245436507936508,0.7600000000000001,-71.81,1.1095100864553313,0.0,1.217827380952381
0.9,0.2,10,95,74,12,62,21,0.16216216216216217,0.5833333333333334,0.04838709677419355,0.5349462365591399,0.16,-1.1769354838709676,1.3369354838709675,1.92,-72.96999999999998,1.3602251407129455,0.0061291201307545635,1.2034139784946236
0.85,0.3,12,95,79,13,66,16,0.16455696202531644,0.6153846153846154,0.07575757575757576,0.5396270396270396,0.2053846153846154,-1.111212121212121,1.3165967365967366,2.67,-73.33999999999999,1.5009380863039399,0.01398225329389621,1.1979254079254078
0.85,-0.2,10,95,79,25,54,16,0.31645569620253167,0.52,0.0,0.52,0.029600000000000008,-1.3224074074074073,1.3520074074074073,0.7400000000000002,-71.41,1.0891566265060242,0.0,1.1960037037037037
0.85,-0.2,12,95,79,25,54,16,0.31645569620253167,0.52,0.0,0.52,0.029600000000000008,-1.3224074074074073,1.3520074074074073,0.7400000000000002,-71.41,1.0891566265060242,0.0,1.1960037037037037
0.9,-0.1,10,95,74,19,55,21,0.25675675675675674,0.5263157894736842,0.0,0.5263157894736842,0.03210526315789469,-1.3029090909090906,1.3350143540669852,0.6099999999999992,-71.65999999999998,1.0860366713681242,0.0,1.193822966507177
