rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,1,1.0,,18,20,0.35,-0.23240000000000002,-4.648000000000001,0.6179893484121245,-9.386
MAE,1,1.0,,19,2,0.5,0.3306,0.6612,1.6330907698199923,0.0
MAE,1,1.0,,20,71,0.4225352112676056,0.035318309859154975,2.507600000000003,1.0640831680739267,-5.5616
MAE,1,1.0,,21,1,0.0,-0.25439999999999996,-0.25439999999999996,0.0,0.0
MAE,1,1.0,,22,17,0.29411764705882354,-0.21616470588235293,-3.6748,0.6810844586385254,-6.7028
MAE,2,0.25,,1,43,0.3953488372093023,-0.01184186046511626,-0.5091999999999992,0.9577931766188126,-3.5527999999999995
MAE,2,0.25,,2,1,0.0,-0.3344,-0.3344,0.0,0.0
MAE,2,0.25,,3,38,0.3157894736842105,-0.1262421052631579,-4.7972,0.6608410395633607,-4.8911999999999995
MAE,2,0.25,,4,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,2,0.25,,5,43,0.37209302325581395,0.027693023255813975,1.190800000000001,1.0999932822786511,-4.4712
MAE,2,0.25,,6,69,0.42028985507246375,0.07994782608695657,5.516400000000003,1.3113795439151048,-5.377999999999998
MAE,2,0.25,,7,3,0.3333333333333333,-0.24440000000000003,-0.7332000000000001,0.2731958762886598,-1.0088000000000001
MAE,2,0.25,,8,6,0.6666666666666666,0.6189333333333332,3.7135999999999996,9.094158674803838,-0.1943999999999999
MAE,2,0.25,,9,40,0.3,-0.12589999999999998,-5.036,0.5447971653771062,-7.067599999999998
MAE,2,0.25,,10,41,0.43902439024390244,0.11633170731707321,4.769600000000001,1.477858373742636,-3.5804
MAE,2,0.25,,11,35,0.2571428571428571,-0.20411428571428566,-7.143999999999998,0.41174533118145007,-8.0912
MAE,2,0.25,,12,43,0.3488372093023256,-0.0541674418604651,-2.3291999999999993,0.811906453905291,-3.9431999999999996
MAE,2,0.25,,13,1,0.0,-0.4644,-0.4644,0.0,0.0
MAE,2,0.25,,14,44,0.5454545454545454,0.14650909090909092,6.446400000000001,1.5355042365841503,-4.5771999999999995
MAE,2,0.25,,15,5,0.4,-0.002400000000000002,-0.01200000000000001,0.9934895833333334,-1.0444
MAE,2,0.25,,16,8,0.625,0.5406000000000001,4.324800000000001,5.585241730279899,-0.9431999999999992
MAE,2,0.25,,17,5,0.4,0.29159999999999997,1.458,2.136221945137157,-1.2832000000000001
MAE,2,0.25,,18,20,0.2,-0.2774,-5.548,0.2823139811652696,-7.2304
MAE,2,0.25,,19,2,0.5,0.050600000000000034,0.10120000000000007,1.1967340590979785,0.0
MAE,2,0.25,,20,71,0.4225352112676056,0.05827605633802818,4.137600000000001,1.1612445636077382,-4.9315999999999995
MAE,2,0.25,,21,1,0.0,-0.2844,-0.2844,0.0,0.0
MAE,2,0.25,,22,17,0.29411764705882354,-0.00028235294117642644,-0.004799999999999249,0.9991568296795951,-4.522799999999999
MAE,2,0.5,,1,43,0.4883720930232558,0.14304186046511633,6.150800000000002,1.440072119512335,-2.777599999999998
MAE,2,0.5,,2,1,0.0,-0.3344,-0.3344,0.0,0.0
MAE,2,0.5,,3,38,0.34210526315789475,-0.14676842105263158,-5.5771999999999995,0.6816666666666668,-5.9
MAE,2,0.5,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,2,0.5,,5,43,0.4418604651162791,0.09373953488372096,4.030800000000001,1.3082688366117046,-4.221599999999999
MAE,2,0.5,,6,69,0.5507246376811594,0.21719420289855074,14.986400000000001,1.7340373425285562,-4.009599999999999
MAE,2,0.5,,7,3,0.3333333333333333,-0.24440000000000003,-0.7332000000000001,0.2731958762886598,-1.0088000000000001
