rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,3,1.0,,3,38,0.34210526315789475,-0.22255789473684212,-8.4572,0.5888575595527467,-8.23
MAE,3,1.0,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,3,1.0,,5,43,0.4418604651162791,0.0788558139534884,3.390800000000001,1.243668975825692,-4.002399999999998
MAE,3,1.0,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,3,1.0,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,3,1.0,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,3,1.0,,9,40,0.3,-0.25539999999999996,-10.216,0.5392636155358722,-13.276399999999995
MAE,3,1.0,,10,41,0.5365853658536586,0.30462439024390253,12.489600000000003,1.9831543814351837,-2.717599999999999
MAE,3,1.0,,11,35,0.2857142857142857,-0.3778285714285714,-13.223999999999998,0.368782816229117,-14.040799999999994
MAE,3,1.0,,12,43,0.4883720930232558,0.03513488372093028,1.510800000000002,1.067910890555046,-5.0052
MAE,3,1.0,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,3,1.0,,14,44,0.5681818181818182,0.3544636363636364,15.596400000000003,1.895644783387697,-3.131999999999998
MAE,3,1.0,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,3,1.0,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
