sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
DEVELOPMENT,0.7,2,,,-0.17,-0.63,,,,,,,,,,,,,,,,56,9.0,True,1.0
DEVELOPMENT,0.7,2,,,-0.97,-0.97,,,,,,,,,,,,,,,,57,9.0,False,
DEVELOPMENT,0.7,2,,,-1.02,-1.02,,,,,,,,,,,,,,,,58,9.0,False,
DEVELOPMENT,0.7,2,,,-2.17,-2.17,,,,,,,,,,,,,,,,59,9.0,False,
DEVELOPMENT,0.7,2,,,-1.74,-1.74,,,,,,,,,,,,,,,,60,9.0,False,
DEVELOPMENT,0.7,2,,,-0.2,-0.2,,,,,,,,,,,,,,,,61,9.0,False,
DEVELOPMENT,0.7,2,,,-0.08,-0.08,,,,,,,,,,,,,,,,62,9.0,False,
DEVELOPMENT,0.7,2,,,2.1,2.1,,,,,,,,,,,,,,,,63,9.0,False,
DEVELOPMENT,0.7,2,,,-0.75,-0.75,,,,,,,,,,,,,,,,64,9.0,False,
DEVELOPMENT,0.7,2,,,1.67,1.67,,,,,,,,,,,,,,,,65,9.0,False,
DEVELOPMENT,0.7,2,,,-2.62,-2.62,,,,,,,,,,,,,,,,66,9.0,False,
DEVELOPMENT,0.7,2,,,0.0,0.0,,,,,,,,,,,,,,,,67,9.0,False,
DEVELOPMENT,0.7,2,,,-1.18,-1.18,,,,,,,,,,,,,,,,68,10.0,False,
DEVELOPMENT,0.7,2,,,-0.66,-0.66,,,,,,,,,,,,,,,,69,10.0,False,
DEVELOPMENT,0.7,2,,,1.42,1.42,,,,,,,,,,,,,,,,70,10.0,False,
DEVELOPMENT,0.7,2,,,0.85,-0.71,,,,,,,,,,,,,,,,71,10.0,True,1.0
DEVELOPMENT,0.7,2,,,-1.69,-1.69,,,,,,,,,,,,,,,,72,10.0,False,
DEVELOPMENT,0.7,2,,,-1.62,-0.71,,,,,,,,,,,,,,,,73,10.0,True,2.0
DEVELOPMENT,0.7,2,,,-0.19,-0.84,,,,,,,,,,,,,,,,74,10.0,True,2.0
DEVELOPMENT,0.7,2,,,0.34,0.34,,,,,,,,,,,,,,,,75,10.0,False,
DEVELOPMENT,0.7,2,,,-3.33,-3.33,,,,,,,,,,,,,,,,76,10.0,False,
DEVELOPMENT,0.7,2,,,-1.2,-1.2,,,,,,,,,,,,,,,,77,10.0,False,
DEVELOPMENT,0.7,2,,,-0.36,-0.36,,,,,,,,,,,,,,,,78,10.0,False,
DEVELOPMENT,0.7,2,,,0.11,-0.53,,,,,,,,,,,,,,,,79,10.0,True,2.0
DEVELOPMENT,0.7,2,,,-1.34,-0.63,,,,,,,,,,,,,,,,80,11.0,True,1.0
DEVELOPMENT,0.7,2,,,-0.91,-0.91,,,,,,,,,,,,,,,,81,11.0,False,
DEVELOPMENT,0.7,2,,,-0.79,-0.79,,,,,,,,,,,,,,,,82,11.0,False,
DEVELOPMENT,0.7,2,,,-1.57,-0.75,,,,,,,,,,,,,,,,83,11.0,True,2.0
DEVELOPMENT,0.7,2,,,0.58,0.58,,,,,,,,,,,,,,,,84,11.0,False,
DEVELOPMENT,0.7,2,,,-2.52,-0.9,,,,,,,,,,,,,,,,85,11.0,True,1.0
DEVELOPMENT,0.7,2,,,-1.16,-1.16,,,,,,,,,,,,,,,,86,11.0,False,
DEVELOPMENT,0.7,2,,,-1.14,-1.14,,,,,,,,,,,,,,,,87,11.0,False,
DEVELOPMENT,0.7,2,,,-0.26,-0.58,,,,,,,,,,,,,,,,88,11.0,True,2.0
DEVELOPMENT,0.7,2,,,0.24,0.24,,,,,,,,,,,,,,,,89,11.0,False,
DEVELOPMENT,0.7,2,,,-0.46,-0.46,,,,,,,,,,,,,,,,90,11.0,False,
DEVELOPMENT,0.7,2,,,-1.76,-1.76,,,,,,,,,,,,,,,,91,11.0,False,
DEVELOPMENT,0.7,2,,,-0.64,-0.82,,,,,,,,,,,,,,,,92,11.0,True,2.0
DEVELOPMENT,0.7,2,,,-0.27,-0.27,,,,,,,,,,,,,,,,93,11.0,False,
DEVELOPMENT,0.7,2,,,-0.88,-0.88,,,,,,,,,,,,,,,,94,11.0,False,
HOLDOUT,0.7,2,,,-0.76,-0.48,,,,,,,,,,,,,,,,95,12.0,True,1.0
HOLDOUT,0.7,2,,,-1.45,-0.8,,,,,,,,,,,,,,,,96,12.0,True,2.0
HOLDOUT,0.7,2,,,-1.36,-0.88,,,,,,,,,,,,,,,,97,12.0,True,2.0
HOLDOUT,0.7,2,,,-2.61,-2.61,,,,,,,,,,,,,,,,98,12.0,False,
HOLDOUT,0.7,2,,,1.04,1.04,,,,,,,,,,,,,,,,99,12.0,False,
HOLDOUT,0.7,2,,,-1.52,-1.52,,,,,,,,,,,,,,,,100,12.0,False,
HOLDOUT,0.7,2,,,1.58,-0.24,,,,,,,,,,,,,,,,101,12.0,True,1.0
