mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
0.7,0.25,4,95,95,9,0.09473684210526316,-67.49,-60.54,6.949999999999996,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.13104636141811396
1.0,0.0,2,95,40,3,0.075,-67.49,-60.540000000000006,6.949999999999989,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18934118907337982
0.7,0.75,4,95,95,2,0.021052631578947368,-67.49,-60.699999999999996,6.789999999999999,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.08155545468300798
0.75,1.0,5,95,95,1,0.010526315789473684,-67.49,-61.150000000000006,6.339999999999989,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.10494730679156906
0.75,0.0,4,95,95,14,0.14736842105263157,-67.49,-61.15999999999999,6.330000000000005,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.15255646390466954
1.0,0.25,2,95,40,2,0.05,-67.49,-61.2,6.289999999999992,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.180503481521157
0.8,0.25,6,95,80,9,0.1125,-67.49,-61.56000000000001,5.9299999999999855,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.152882895280033
0.9,0.5,1,95,56,0,0.0,-67.49,-61.6,5.8899999999999935,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.12138068749108541
0.9,0.75,1,95,56,0,0.0,-67.49,-61.6,5.8899999999999935,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.12138068749108541
0.9,1.0,1,95,56,0,0.0,-67.49,-61.6,5.8899999999999935,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.12138068749108541
0.8,0.25,7,95,80,9,0.1125,-67.49,-61.65,5.839999999999996,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.152693787795492
0.8,0.25,8,95,80,9,0.1125,-67.49,-61.65,5.839999999999996,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.152693787795492
0.7,0.0,5,95,95,16,0.16842105263157894,-67.49,-61.67000000000001,5.819999999999986,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.15148596587782057
0.75,1.0,4,95,95,1,0.010526315789473684,-67.49,-61.73,5.759999999999998,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.08412462908011867
