rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
CLOSE_AND_MFE,6.0,-0.5,0.5,98,195,0.13333333333333333,-0.1955733333333333,-38.136799999999994,0.43140844818435015,-40.279199999999996,0.25,-11.1724,1.4704,5
CLOSE_AND_MFE,6.0,-0.5,0.75,111,195,0.13333333333333333,-0.12594666666666665,-24.5596,0.5409008658720783,-26.701999999999977,0.25,-4.906,2.5148,3
CLOSE_AND_MFE,6.0,-0.5,1.0,114,195,0.13333333333333333,-0.10987897435897434,-21.426399999999997,0.574552241769588,-23.56879999999998,0.25,-4.6864,2.5148,3
CLOSE_AND_MFE,6.0,-0.25,0.25,89,195,0.10256410256410256,-0.3100841025641026,-60.46640000000001,0.2790323888377507,-62.337600000000094,0.2,-16.3312,0.8268,7
CLOSE_AND_MFE,6.0,-0.25,0.5,130,195,0.08205128205128205,-0.1296205128205128,-25.275999999999996,0.46849582383567867,-26.981599999999986,0.35,-10.0648,1.7056,4
CLOSE_AND_MFE,6.0,-0.25,0.75,144,195,0.08205128205128205,-0.05463794871794871,-10.654399999999999,0.6764923786967874,-12.359999999999996,0.35,-3.7984,2.358,3
CLOSE_AND_MFE,6.0,-0.25,1.0,150,195,0.07692307692307693,-0.0366051282051282,-7.137999999999999,0.7424220554272519,-8.843599999999999,0.35,-3.1332,2.358,3
CLOSE_AND_MFE,6.0,0.0,0.25,98,195,0.08717948717948718,-0.29988102564102564,-58.4768,0.256417690292719,-60.348000000000084,0.2,-16.3312,0.8268,7
CLOSE_AND_MFE,6.0,0.0,0.5,140,195,0.06666666666666667,-0.11580512820512819,-22.581999999999997,0.45748688281985744,-24.28759999999999,0.25,-10.0648,1.7056,4
CLOSE_AND_MFE,6.0,0.0,0.75,158,195,0.06666666666666667,-0.023450256410256404,-4.572799999999999,0.806365283964837,-8.7424,0.35,-3.7984,3.2868,3
CLOSE_AND_MFE,6.0,0.0,1.0,167,195,0.05128205128205128,-0.01755487179487179,-3.423199999999999,0.8026883083946235,-6.2704,0.3,-2.0888,1.9868,3
CLOSE_AND_MFE,6.0,0.25,0.25,98,195,0.08717948717948718,-0.29988102564102564,-58.4768,0.256417690292719,-60.348000000000084,0.2,-16.3312,0.8268,7
CLOSE_AND_MFE,6.0,0.25,0.5,144,195,0.06153846153846154,-0.10289435897435895,-20.064399999999996,0.47873302226979375,-21.769999999999992,0.25,-9.636,1.7056,3
CLOSE_AND_MFE,6.0,0.25,0.75,163,195,0.06153846153846154,-0.0051835897435897425,-1.0107999999999997,0.9479987653050728,-5.6052,0.35,-2.3251999999999997,3.2868,3
CLOSE_AND_MFE,6.0,0.25,1.0,172,195,0.046153846153846156,0.0007117948717948749,0.1388000000000006,1.0105378238027274,-3.5164,0.3,-1.0444,1.9868,1
CLOSE_AND_MFE,8.0,-0.75,0.25,45,195,0.13846153846153847,-0.4507692307692308,-87.9,0.24846872296111883,-90.04240000000001,0.15,-19.5276,0.6612,15
CLOSE_AND_MFE,8.0,-0.75,0.5,64,195,0.13846153846153847,-0.3500841025641026,-68.2664,0.29859156087276384,-70.40880000000008,0.15,-17.4388,0.6612,11
CLOSE_AND_MFE,8.0,-0.75,0.75,72,195,0.13846153846153847,-0.307236923076923,-59.911199999999994,0.32663162958400593,-62.053600000000095,0.2,-13.261199999999999,1.7056,8
