mae_threshold,recovery_level,deadline,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,benchmark_max_drawdown_R,delta_R,delta_mean_R,delta_win_rate,delta_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct,_score
0.7,0.3,6,95,23,72,0.24210526315789474,-0.5883157894736841,-55.88999999999999,0.13321960297766747,-55.699999999999996,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.600000000000001,0.12210526315789472,0.03157894736842107,13.349999999999973,95,13,82,0.1368421052631579,17.37960526315789
0.75,0.2,4,95,18,77,0.18947368421052632,-0.5889473684210526,-55.94999999999999,0.09009595056106688,-56.15999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.540000000000006,0.12147368421052629,-0.02105263157894735,12.889999999999986,95,14,81,0.14736842105263157,17.19197368421053
0.7,-0.1,4,95,17,78,0.17894736842105263,-0.5897894736842104,-56.029999999999994,0.06210244392366924,-55.85999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.46,0.12063157894736842,-0.03157894736842104,13.189999999999998,95,27,68,0.28421052631578947,17.17013157894737
0.8,-0.1,4,95,21,74,0.22105263157894736,-0.5902105263157894,-56.06999999999999,0.09080590238365494,-55.919999999999995,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.420000000000002,0.12021052631578943,0.01052631578947369,13.129999999999974,89,21,68,0.23595505617977527,17.106710526315783
0.75,0.3,5,95,20,75,0.21052631578947367,-0.5902105263157895,-56.07000000000001,0.12609102244389028,-56.01,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.419999999999987,0.12021052631578932,0.0,13.03999999999997,95,14,81,0.14736842105263157,17.084210526315765
0.7,-0.1,6,95,20,75,0.21052631578947367,-0.5921052631578946,-56.249999999999986,0.0696328150843533,-55.69999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.240000000000009,0.11831578947368426,0.0,13.34999999999998,95,34,61,0.35789473684210527,16.94381578947369
0.65,0.0,6,95,25,70,0.2631578947368421,-0.592421052631579,-56.28,0.07510271158586689,-55.72999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.209999999999994,0.11799999999999988,0.05263157894736842,13.319999999999979,95,27,68,0.28421052631578947,16.899999999999984
0.7,0.1,5,95,21,74,0.22105263157894736,-0.5915789473684211,-56.2,0.10094384898416253,-56.14000000000001,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.289999999999992,0.11884210526315775,0.01052631578947369,12.909999999999961,95,19,76,0.2,16.894342105263135
0.7,0.0,4,95,20,75,0.21052631578947367,-0.5925263157894736,-56.289999999999985,0.06495016611295681,-56.119999999999955,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.20000000000001,0.11789473684210527,0.0,12.930000000000014,95,22,73,0.23157894736842105,16.790394736842117
0.65,0.2,6,95,22,73,0.23157894736842105,-0.5926315789473684,-56.3,0.11086544535691724,-56.11000000000001,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.189999999999998,0.11778947368421044,0.02105263157894738,12.939999999999962,95,18,77,0.18947368421052632,16.780789473684194
