sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
HOLDOUT,0.7,5,20,33,28,-26.269999999999996,-22.939999999999998,3.3299999999999983,0.2727272727272727,0.06060606060606061
HOLDOUT,0.7,5,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.7,5,22,10,9,-11.400000000000002,-9.06,2.3400000000000016,0.1,0.0
DEVELOPMENT,0.7,6,1,8,6,-0.3800000000000001,-4.52,-4.14,0.5,0.125
DEVELOPMENT,0.7,6,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.7,6,3,14,11,-6.59,-8.07,-1.4800000000000004,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.7,6,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.7,6,5,7,7,-14.000000000000002,-4.38,9.620000000000001,0.0,0.0
DEVELOPMENT,0.7,6,6,17,12,-11.78,-9.169999999999998,2.610000000000001,0.23529411764705882,0.058823529411764705
DEVELOPMENT,0.7,6,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.7,6,9,19,13,-11.989999999999998,-10.07,1.9199999999999982,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.7,6,10,12,11,-7.510000000000001,-8.15,-0.6399999999999997,0.3333333333333333,0.0
DEVELOPMENT,0.7,6,11,15,14,-12.880000000000003,-9.889999999999999,2.9900000000000038,0.13333333333333333,0.06666666666666667
HOLDOUT,0.7,6,12,19,18,-17.270000000000003,-13.73,3.5400000000000027,0.2631578947368421,0.0
HOLDOUT,0.7,6,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.7,6,14,20,18,-6.62,-10.030000000000001,-3.410000000000001,0.3,0.1
HOLDOUT,0.7,6,15,3,2,-3.53,-3.16,0.36999999999999966,0.0,0.0
HOLDOUT,0.7,6,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.7,6,18,9,8,-6.6899999999999995,-6.11,0.5799999999999992,0.2222222222222222,0.0
HOLDOUT,0.7,6,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.7,6,20,33,32,-26.269999999999996,-23.64,2.6299999999999955,0.2727272727272727,0.0
HOLDOUT,0.7,6,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.7,6,22,10,9,-11.400000000000002,-9.06,2.3400000000000016,0.1,0.0
DEVELOPMENT,0.7,8,1,8,8,-0.3800000000000001,-5.29,-4.91,0.5,0.0
DEVELOPMENT,0.7,8,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.7,8,3,14,14,-6.59,-9.19,-2.5999999999999996,0.21428571428571427,0.0
DEVELOPMENT,0.7,8,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.7,8,5,7,7,-14.000000000000002,-4.38,9.620000000000001,0.0,0.0
DEVELOPMENT,0.7,8,6,17,17,-11.78,-11.81,-0.030000000000001137,0.23529411764705882,0.0
DEVELOPMENT,0.7,8,8,1,1,-0.75,-0.38,0.37,0.0,0.0
DEVELOPMENT,0.7,8,9,19,19,-11.989999999999998,-12.13,-0.14000000000000234,0.10526315789473684,0.0
DEVELOPMENT,0.7,8,10,12,12,-7.510000000000001,-8.35,-0.839999999999999,0.3333333333333333,0.0
DEVELOPMENT,0.7,8,11,15,15,-12.880000000000003,-10.76,2.1200000000000028,0.13333333333333333,0.0
HOLDOUT,0.7,8,12,19,19,-17.270000000000003,-13.49,3.780000000000003,0.2631578947368421,0.0
HOLDOUT,0.7,8,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.7,8,14,20,20,-6.62,-12.57,-5.95,0.3,0.0
HOLDOUT,0.7,8,15,3,3,-3.53,-2.62,0.9099999999999997,0.0,0.0
HOLDOUT,0.7,8,16,2,2,1.15,-1.39,-2.54,0.5,0.0
HOLDOUT,0.7,8,18,9,9,-6.6899999999999995,-5.95,0.7399999999999993,0.2222222222222222,0.0
HOLDOUT,0.7,8,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.7,8,20,33,33,-26.269999999999996,-22.53,3.739999999999995,0.2727272727272727,0.0
HOLDOUT,0.7,8,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.7,8,22,10,10,-11.400000000000002,-7.35,4.0500000000000025,0.1,0.0
DEVELOPMENT,0.75,2,1,8,1,-0.3800000000000001,-0.10000000000000009,0.28,0.5,0.5
DEVELOPMENT,0.75,2,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,2,3,14,3,-6.59,-9.25,-2.66,0.21428571428571427,0.14285714285714285
DEVELOPMENT,0.75,2,4,1,0,0.09,0.09,0.0,1.0,1.0
DEVELOPMENT,0.75,2,5,7,4,-14.000000000000002,-4.61,9.39,0.0,0.0
DEVELOPMENT,0.75,2,6,17,0,-11.78,-11.78,0.0,0.23529411764705882,0.23529411764705882
DEVELOPMENT,0.75,2,8,1,0,-0.75,-0.75,0.0,0.0,0.0
