mae_threshold,recovery_threshold,deadline,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,delta_total_R_vs_frozen,delta_mean_R_vs_frozen,delta_win_rate_vs_frozen,delta_max_DD_vs_frozen,positive_OOS,PF_above_1
0.8,0.2,7,217,28.185200000000005,0.1298857142857143,0.5345622119815668,1.288042611813087,-9.599599999999999,-6.16,-0.02838709677419357,-0.004608294930875556,-1.8351999999999933,True,True
0.8,0.2,8,217,27.8852,0.12850322580645163,0.543778801843318,1.2836721572967869,-10.249600000000001,-6.460000000000004,-0.029769585253456243,0.004608294930875556,-2.4851999999999954,True,True
0.8,0.25,4,217,23.125200000000003,0.10656774193548388,0.4700460829493088,1.2397119128275087,-10.539199999999996,-11.220000000000002,-0.05170506912442399,-0.06912442396313362,-2.77479999999999,True,True
0.8,0.25,5,217,28.925200000000007,0.13329585253456225,0.5207373271889401,1.305987043376339,-8.93960000000001,-5.419999999999998,-0.02497695852534562,-0.018433179723502335,-1.1752000000000038,True,True
0.8,0.25,6,217,28.485200000000003,0.13126820276497697,0.5207373271889401,1.294661883422916,-9.539600000000014,-5.860000000000003,-0.0270046082949309,-0.018433179723502335,-1.7752000000000088,True,True
0.8,0.25,7,217,24.975200000000005,0.11509308755760371,0.5207373271889401,1.2475468526367124,-10.789600000000004,-9.370000000000001,-0.04317972350230416,-0.018433179723502335,-3.025199999999998,True,True
0.8,0.25,8,217,23.6652,0.10905622119815668,0.5253456221198156,1.2317373150229924,-10.9296,-10.680000000000007,-0.04921658986175119,-0.01382488479262678,-3.165199999999995,True,True
0.8,0.3,4,217,22.345200000000006,0.10297327188940095,0.46543778801843316,1.2303609867135117,-10.539199999999996,-12.0,-0.05529953917050692,-0.07373271889400923,-2.77479999999999,True,True
0.8,0.3,5,217,28.45520000000001,0.13112995391705073,0.5161290322580645,1.2991794832973755,-8.93960000000001,-5.889999999999997,-0.027142857142857135,-0.02304147465437789,-1.1752000000000038,True,True
0.8,0.3,6,217,27.435200000000002,0.1264294930875576,0.511520737327189,1.2811824849237685,-9.539600000000007,-6.910000000000004,-0.031843317972350266,-0.027649769585253448,-1.7752000000000017,True,True
0.8,0.3,7,217,22.8652,0.10536958525345623,0.5069124423963134,1.2234658055840066,-11.039599999999997,-11.480000000000004,-0.05290322580645164,-0.032258064516129004,-3.275199999999991,True,True
0.8,0.3,8,217,22.415199999999995,0.1032958525345622,0.511520737327189,1.21728408465231,-10.9296,-11.93000000000001,-0.054976958525345676,-0.027649769585253448,-3.165199999999995,True,True
0.9,0.1,4,217,15.525200000000007,0.07154470046082953,0.4792626728110599,1.150509739139202,-11.329199999999993,-18.82,-0.08672811059907834,-0.05990783410138251,-3.5647999999999875,True,True
0.9,0.1,5,217,21.305200000000003,0.09818064516129034,0.5207373271889401,1.214401011162233,-9.5748,-13.040000000000003,-0.06009216589861753,-0.018433179723502335,-1.8103999999999942,True,True
0.9,0.1,6,217,23.725200000000008,0.10933271889400925,0.5207373271889401,1.2399373791474182,-8.214000000000002,-10.619999999999997,-0.04894009216589862,-0.018433179723502335,-0.44959999999999667,True,True
0.9,0.1,7,217,20.025199999999998,0.09228202764976957,0.5207373271889401,1.1952139191739588,-9.989599999999992,-14.320000000000007,-0.0659907834101383,-0.018433179723502335,-2.2251999999999867,True,True
