mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.75,0.75,6,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.75,0.75,7,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.75,0.75,8,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.75,1.0,1,195,0,0.0,,,0.0,195,0.24102564102564103,-0.6827692307692307,-133.14,,
0.75,1.0,2,195,1,0.005128205128205128,1.0,3.2,3.2,194,0.23711340206185566,-0.7027835051546392,-136.34,0.7628865979381443,3.9027835051546393
0.75,1.0,3,195,3,0.015384615384615385,1.0,1.4766666666666666,4.43,192,0.22916666666666666,-0.7165104166666666,-137.57,0.7708333333333334,2.193177083333333
0.75,1.0,4,195,5,0.02564102564102564,0.6,0.134,0.67,190,0.23157894736842105,-0.7042631578947368,-133.81,0.3684210526315789,0.8382631578947368
0.75,1.0,5,195,7,0.035897435897435895,0.7142857142857143,0.8542857142857143,5.98,188,0.22340425531914893,-0.74,-139.12,0.4908814589665654,1.5942857142857143
0.75,1.0,6,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.75,1.0,7,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.75,1.0,8,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.8,0.0,1,174,9,0.05172413793103448,0.4444444444444444,-0.2488888888888889,-2.24,165,0.2,-0.8001818181818182,-132.03,0.2444444444444444,0.5512929292929293
