mae_threshold,recovery_level,deadline,full_trades,full_total_R,full_mean_R,full_win_rate,full_profit_factor,full_max_drawdown_R,oos_trades,oos_total_R,oos_mean_R,oos_win_rate,oos_profit_factor,oos_max_drawdown_R,delta_OOS_R_vs_frozen,positive_OOS,positive_mean_R,PF_above_1,relative_to_frozen,distance
0.75,0.1,4,195,-128.03839999999997,-0.6566071794871793,0.17435897435897435,0.18263831612707188,-129.1363999999998,100,-67.58359999999998,-0.6758359999999998,0.18,0.1946740259864063,-67.58360000000009,-3.095199999999977,False,False,False,1.047996228779129,0.25000000000000006
0.75,0.0,6,195,-125.62239999999998,-0.6442174358974359,0.2153846153846154,0.15810129398739528,-125.6223999999998,100,-64.15079999999999,-0.6415079999999999,0.25,0.16263151024670414,-64.1508000000001,0.337600000000009,False,False,False,0.9947649499754994,0.25000000000000006
0.75,0.1,8,195,-120.11959999999999,-0.6159979487179487,0.2564102564102564,0.15335992895304418,-120.11959999999983,100,-62.7188,-0.627188,0.28,0.15183888958007655,-62.718800000000115,1.769599999999997,False,False,False,0.972559406032713,0.25000000000000006
0.6,0.3,4,195,-132.24599999999998,-0.6781846153846153,0.15384615384615385,0.1777075845945308,-133.34399999999977,100,-69.43239999999997,-0.6943239999999997,0.16,0.1927366247488653,-69.43240000000009,-4.943999999999974,False,False,False,1.0766649505957657,0.29999999999999993
0.65,0.4,5,195,-131.63719999999995,-0.6750625641025638,0.15897435897435896,0.17614293510642032,-132.7351999999998,100,-68.82359999999997,-0.6882359999999997,0.17,0.18997895609025817,-68.8236000000001,-4.335199999999972,False,False,False,1.0672244930871284,0.29999999999999993
0.65,0.4,7,195,-125.85639999999997,-0.6454174358974357,0.1794871794871795,0.195929058802484,-126.95439999999981,100,-68.25039999999998,-0.6825039999999999,0.18,0.1867284391950506,-68.2504000000001,-3.7619999999999862,False,False,False,1.0583360728441082,0.29999999999999993
0.6,0.3,8,195,-124.13239999999998,-0.6365764102564101,0.20512820512820512,0.18070911874967002,-124.13239999999982,100,-66.624,-0.6662399999999999,0.21,0.17531898459664613,-66.62400000000011,-2.1355999999999966,False,False,False,1.0331160332710998,0.29999999999999993
0.65,0.0,7,195,-120.09519999999999,-0.6158728205128204,0.26153846153846155,0.14439926020706223,-120.09519999999985,100,-64.6732,-0.646732,0.27,0.13215031427298543,-64.67320000000011,-0.18479999999999563,False,False,False,1.0028656316484825,0.29999999999999993
0.65,0.0,5,195,-123.38999999999999,-0.6327692307692308,0.2153846153846154,0.17306243683534703,-123.3899999999998,100,-61.584,-0.61584,0.25,0.1961362746377758,-61.58400000000009,2.9043999999999954,False,False,False,0.9549624428579404,0.29999999999999993
0.6,0.4,6,195,-124.71639999999998,-0.639571282051282,0.18461538461538463,0.19786004080278066,-125.81439999999981,100,-66.716,-0.66716,0.19,0.19499399105173496,-66.7160000000001,-2.2275999999999954,False,False,False,1.0345426464294354,0.3
0.6,0.1,4,195,-126.50399999999998,-0.6487384615384614,0.1794871794871795,0.18701318732166272,-127.6019999999998,100,-66.04919999999998,-0.6604919999999999,0.19,0.20303970732319454,-66.0492000000001,-1.5607999999999862,False,False,False,1.024202802364456,0.3
0.6,0.0,6,195,-124.088,-0.636348717948718,0.2205128205128205,0.1625227443294405,-124.08799999999981,100,-62.6164,-0.6261639999999999,0.26,0.17136368929777576,-62.6164000000001,1.8719999999999999,False,False,False,0.9709715235608265,0.3
0.6,0.1,8,195,-118.58519999999999,-0.6081292307692306,0.26153846153846155,0.1579765056066166,-118.58519999999984,100,-61.184400000000004,-0.611844,0.29,0.16073544903871487,-61.1844000000001,3.303999999999995,False,False,False,0.9487659796180399,0.3
