mae_threshold,horizon,recovery_level,reached_trades,reached_wins,reached_losses,reached_pct,reached_win_rate,reached_mean_R,reached_total_R,reached_PF,reached_DD,not_reached_trades,not_reached_wins,not_reached_losses,not_reached_pct,not_reached_win_rate,not_reached_mean_R,not_reached_total_R,not_reached_PF,not_reached_DD,win_rate_difference,mean_R_difference
0.6,8,-0.2,96,42,54,0.49230769230769234,0.4375,-0.14802083333333332,-14.209999999999999,0.763835798570716,-16.71,99,5,94,0.5076923076923077,0.050505050505050504,-1.201313131313131,-118.92999999999998,0.02763469871637642,-118.92999999999998,0.3869949494949495,1.0532922979797978
0.6,8,-0.1,83,40,43,0.4256410256410256,0.4819277108433735,-0.09156626506024097,-7.6000000000000005,0.8536491430772193,-11.39,112,7,105,0.5743589743589743,0.0625,-1.1208928571428571,-125.54,0.038376101110685554,-125.53999999999996,0.4194277108433735,1.0293265920826162
0.6,8,0.0,70,35,35,0.358974358974359,0.5,-0.029142857142857154,-2.040000000000001,0.9517616457791439,-8.59,125,12,113,0.6410256410256411,0.096,-1.0488,-131.1,0.06484057350738284,-131.1,0.404,1.0196571428571428
0.6,8,0.1,61,30,31,0.3128205128205128,0.4918032786885246,-0.005737704918032785,-0.34999999999999987,0.9906591940218842,-10.14,134,17,117,0.6871794871794872,0.12686567164179105,-0.9909701492537313,-132.79,0.08427005034135578,-132.79,0.3649376070467335,0.9852324443356985
0.6,8,0.2,56,28,28,0.28717948717948716,0.5,-0.006964285714285724,-0.39000000000000057,0.9889549702633814,-8.19,139,19,120,0.7128205128205128,0.1366906474820144,-0.9550359712230215,-132.75,0.09798192566419786,-132.74999999999997,0.3633093525179856,0.9480716855087358
0.6,8,0.3,41,23,18,0.21025641025641026,0.5609756097560976,0.22999999999999998,9.43,1.4181818181818187,-7.52,154,24,130,0.7897435897435897,0.15584415584415584,-0.9257792207792207,-142.57,0.10854748952666791,-142.57000000000005,0.4051314539119418,1.1557792207792206
0.6,8,0.4,37,21,16,0.18974358974358974,0.5675675675675675,0.2743243243243244,10.150000000000002,1.5095381526104419,-7.52,158,26,132,0.8102564102564103,0.16455696202531644,-0.9068987341772151,-143.29,0.11854084645669291,-143.29000000000005,0.4030106055422511,1.1812230585015395
0.6,10,-0.5,142,46,96,0.7282051282051282,0.323943661971831,-0.33626760563380276,-47.74999999999999,0.5064599483204134,-50.350000000000016,53,1,52,0.2717948717948718,0.018867924528301886,-1.6111320754716982,-85.39,0.003965939577744081,-85.39,0.3050757374435291,1.2748644698378955
0.6,10,-0.4,122,45,77,0.6256410256410256,0.36885245901639346,-0.24540983606557373,-29.939999999999994,0.6202435312024354,-32.44,73,2,71,0.37435897435897436,0.0273972602739726,-1.413698630136986,-103.19999999999999,0.004245465071401004,-103.2,0.34145519874242086,1.1682887940714124
0.6,10,-0.3,110,44,66,0.5641025641025641,0.4,-0.2117272727272727,-23.29,0.6772897325758626,-25.789999999999996,85,3,82,0.4358974358974359,0.03529411764705882,-1.2923529411764705,-109.85,0.004170066177137159,-109.85000000000001,0.3647058823529412,1.0806256684491977
0.6,10,-0.2,100,44,56,0.5128205128205128,0.44,-0.1206,-12.06,0.8021004266491631,-14.56,95,3,92,0.48717948717948717,0.031578947368421054,-1.2745263157894735,-121.07999999999998,0.00378476221819977,-121.07999999999998,0.40842105263157896,1.1539263157894735
