feature,threshold,side,trades,win_rate,mean_R,total_R
early_2_close_R,-0.3679999999999998,LOWER_OR_EQUAL,108,0.14814814814814814,-0.6723629629629626,-72.61519999999996
early_2_close_R,-0.3679999999999998,ABOVE,429,0.5314685314685315,0.22347878787878792,95.87240000000001
early_2_close_R,-0.3,LOWER_OR_EQUAL,137,0.1897810218978102,-0.5983416058394161,-81.9728
early_2_close_R,-0.3,ABOVE,400,0.545,0.263075,105.23
early_2_close_R,-0.22,LOWER_OR_EQUAL,164,0.2073170731707317,-0.5539121951219512,-90.8416
early_2_close_R,-0.22,ABOVE,373,0.5630026809651475,0.3058949061662199,114.09880000000001
early_2_close_R,-0.16,LOWER_OR_EQUAL,193,0.24870466321243523,-0.4340373056994818,-83.76919999999998
early_2_close_R,-0.16,ABOVE,344,0.5697674418604651,0.3111232558139535,107.02640000000001
early_2_close_R,-0.12,LOWER_OR_EQUAL,221,0.2579185520361991,-0.4060289592760182,-89.73240000000001
early_2_close_R,-0.12,ABOVE,316,0.5917721518987342,0.3575620253164557,112.9896
early_2_close_R,-0.06,LOWER_OR_EQUAL,246,0.2764227642276423,-0.35899349593495933,-88.3124
early_2_close_R,-0.06,ABOVE,291,0.6048109965635738,0.3834006872852234,111.56960000000001
early_2_close_R,-0.01,LOWER_OR_EQUAL,272,0.2757352941176471,-0.35098088235294117,-95.46679999999999
early_2_close_R,-0.01,ABOVE,265,0.6377358490566037,0.44801509433962267,118.724
early_2_close_R,0.05,LOWER_OR_EQUAL,299,0.30434782608695654,-0.31286153846153847,-93.54560000000001
early_2_close_R,0.05,ABOVE,238,0.6428571428571429,0.49076806722689087,116.80280000000003
early_2_close_R,0.09,LOWER_OR_EQUAL,324,0.33641975308641975,-0.2652641975308642,-85.94560000000001
early_2_close_R,0.09,ABOVE,213,0.6338028169014085,0.5126892018779343,109.20280000000001
early_2_close_R,0.14,LOWER_OR_EQUAL,352,0.3664772727272727,-0.20320681818181816,-71.52879999999999
early_2_close_R,0.14,ABOVE,185,0.6216216216216216,0.5123567567567567,94.786
early_2_close_R,0.19,LOWER_OR_EQUAL,381,0.3753280839895013,-0.16870446194225722,-64.2764
early_2_close_R,0.19,ABOVE,156,0.6474358974358975,0.5611128205128205,87.5336
early_2_close_R,0.25,LOWER_OR_EQUAL,406,0.3866995073891626,-0.14508965517241373,-58.90639999999998
early_2_close_R,0.25,ABOVE,131,0.6641221374045801,0.6272030534351145,82.1636
early_2_close_R,0.33,LOWER_OR_EQUAL,430,0.39767441860465114,-0.12639999999999998,-54.35199999999999
early_2_close_R,0.33,ABOVE,107,0.6822429906542056,0.7253196261682244,77.60920000000002
early_2_close_R,0.46,LOWER_OR_EQUAL,459,0.40522875816993464,-0.10313638344226576,-47.33959999999998
early_2_close_R,0.46,ABOVE,78,0.7435897435897436,0.9050871794871799,70.59680000000003
early_2_close_R,0.6,LOWER_OR_EQUAL,484,0.41115702479338845,-0.08351157024793386,-40.41959999999999
early_2_close_R,0.6,ABOVE,53,0.8490566037735849,1.2014490566037734,63.67679999999999
early_2_close_R,0.8320000000000015,LOWER_OR_EQUAL,510,0.43137254901960786,-0.023635294117647036,-12.053999999999988
early_2_close_R,0.8320000000000015,ABOVE,27,0.8888888888888888,1.307822222222222,35.31119999999999
