mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.6,-0.3,2,95,95,21,74,0.031578947368421054,-0.6005263157894737,-57.05,10.439999999999998,0.10989473684210516,-0.17894736842105263,12.719999999999963,0.009548611111111114,-56.330000000000005,0.0
0.75,0.1,5,95,95,20,75,0.23157894736842105,-0.6007368421052632,-57.07000000000001,10.419999999999987,0.1096842105263156,0.02105263157894738,12.039999999999964,0.1050650776227066,-57.010000000000005,0.2
0.7,0.0,6,95,95,28,67,0.2736842105263158,-0.6013684210526314,-57.12999999999999,10.360000000000007,0.1090526315789474,0.06315789473684214,12.469999999999985,0.0755663430420712,-56.579999999999984,0.2
0.8,-0.3,3,95,89,30,59,0.12631578947368421,-0.6018947368421053,-57.18,10.309999999999995,0.10852631578947358,-0.08421052631578946,12.629999999999988,0.06369739643032586,-56.41999999999998,0.1
0.75,0.1,3,95,95,12,83,0.15789473684210525,-0.602,-57.19,10.299999999999997,0.10842105263157886,-0.05263157894736842,12.259999999999977,0.06153593698720053,-56.78999999999999,0.1
0.75,0.2,3,95,95,8,87,0.15789473684210525,-0.602,-57.19,10.299999999999997,0.10842105263157886,-0.05263157894736842,12.259999999999977,0.06153593698720053,-56.78999999999999,0.1
0.7,0.2,6,95,95,19,76,0.24210526315789474,-0.6021052631578947,-57.199999999999996,10.29,0.10831578947368414,0.03157894736842107,12.03999999999997,0.1129032258064516,-57.01,0.2
0.6,-0.4,2,95,95,32,63,0.031578947368421054,-0.6022105263157895,-57.21,10.279999999999994,0.10821052631578931,-0.17894736842105263,12.55999999999996,0.009522160664819947,-56.49000000000001,0.0
0.6,-0.3,8,95,95,46,49,0.10526315789473684,-0.6023157894736841,-57.21999999999999,10.270000000000003,0.1081052631578947,-0.10526315789473684,13.039999999999985,0.030333841721742083,-56.009999999999984,0.1
0.8,0.0,10,95,89,31,58,0.35789473684210527,-0.6030526315789473,-57.28999999999999,10.200000000000003,0.10736842105263156,0.1473684210526316,11.469999999999985,0.13328290468986384,-57.579999999999984,0.2
