observations,wins,losses,unresolved,win_rate,loss_rate,tp,sl,rr,horizon,breakeven_win_rate,wr_edge_vs_breakeven,expectancy_r,side,hmm_state,vol_bucket,zscore,wr_ge_50,positive_expectancy,candidate,research_score
3267,1712,1555,0,0.5240281603917968,0.4759718396082032,32.5,20.0,1.625,10,0.38095238095238093,0.14307577943941585,0.37557392102846654,LONG,0,20-40,2.0,True,True,True,3.1121436197928642
861,441,420,0,0.5121951219512195,0.4878048780487805,27.5,15.0,1.8333333333333333,5,0.35294117647058826,0.15925394548063126,0.4512195121951219,LONG,0,20-40,2.5,True,True,True,3.087101864397412
861,435,426,0,0.5052264808362369,0.49477351916376305,37.5,20.0,1.875,10,0.34782608695652173,0.15740039387971516,0.4525261324041811,LONG,0,20-40,2.5,True,True,True,3.0747260897066067
861,456,405,0,0.5296167247386759,0.47038327526132406,30.0,17.5,1.7142857142857142,5,0.3684210526315789,0.161195672107097,0.43753111000497746,LONG,0,20-40,2.5,True,True,True,3.0449725029196233
5154,2615,2539,0,0.5073729142413659,0.49262708575863406,25.0,15.0,1.6666666666666667,5,0.37499999999999994,0.13237291424136594,0.3529944379769758,LONG,0,40-60,2.0,True,True,True,3.0395447461291027
5154,2696,2458,0,0.5230888630190144,0.47691113698098564,27.5,17.5,1.5714285714285714,5,0.38888888888888895,0.1341999741301254,0.34508564776317974,LONG,0,40-60,2.0,True,True,True,3.017801454361152
154,81,73,0,0.525974025974026,0.474025974025974,5.0,2.5,2.0,5,0.3333333333333333,0.19264069264069267,0.577922077922078,LONG,2,60-80,3.5,True,True,True,2.9904133915550033
154,81,73,0,0.525974025974026,0.474025974025974,5.0,2.5,2.0,15,0.3333333333333333,0.19264069264069267,0.577922077922078,LONG,2,60-80,3.5,True,True,True,2.9904133915550033
154,81,73,0,0.525974025974026,0.474025974025974,10.0,5.0,2.0,30,0.3333333333333333,0.19264069264069267,0.577922077922078,LONG,2,60-80,3.5,True,True,True,2.9904133915550033
154,81,73,0,0.525974025974026,0.474025974025974,10.0,5.0,2.0,60,0.3333333333333333,0.19264069264069267,0.577922077922078,LONG,2,60-80,3.5,True,True,True,2.9904133915550033
3267,1725,1542,0,0.5280073461891643,0.4719926538108356,27.5,17.5,1.5714285714285714,5,0.38888888888888895,0.1391184573002754,0.35773317591499404,LONG,0,20-40,2.0,True,True,True,2.975827405430017
840,437,403,0,0.5202380952380953,0.4797619047619048,35.0,20.0,1.75,5,0.36363636363636365,0.15660173160173163,0.430654761904762,LONG,1,20-40,2.5,True,True,True,2.958980191010344
861,432,429,0,0.5017421602787456,0.49825783972125437,32.5,17.5,1.8571428571428572,10,0.35,0.15174216027874565,0.4335490293678447,LONG,0,20-40,2.5,True,True,True,2.935573907772292
5154,2745,2409,0,0.5325960419091967,0.46740395809080326,30.0,20.0,1.5,5,0.4,0.13259604190919672,0.3314901047729918,LONG,0,40-60,2.0,True,True,True,2.925845801381839
861,463,398,0,0.537746806039489,0.462253193960511,32.5,20.0,1.625,5,0.38095238095238093,0.15679442508710806,0.41158536585365857,LONG,0,20-40,2.5,True,True,True,2.887022566236195
154,80,74,0,0.5194805194805194,0.4805194805194805,5.0,2.5,2.0,90,0.3333333333333333,0.18614718614718612,0.5584415584415583,LONG,2,60-80,3.5,True,True,True,2.871324250659624
154,80,74,0,0.5194805194805194,0.4805194805194805,10.0,5.0,2.0,25,0.3333333333333333,0.18614718614718612,0.5584415584415583,LONG,2,60-80,3.5,True,True,True,2.871324250659624
372,192,180,0,0.5161290322580645,0.4838709677419355,32.5,17.5,1.8571428571428572,5,0.35,0.16612903225806452,0.4746543778801843,LONG,1,20-40,3.0,True,True,True,2.856037042148708
3267,1745,1522,0,0.5341291704928068,0.46587082950719316,30.0,20.0,1.5,5,0.4,0.13412917049280682,0.3353229262320171,LONG,0,20-40,2.0,True,True,True,2.806017265326203
372,197,175,0,0.5295698924731183,0.47043010752688175,35.0,20.0,1.75,5,0.36363636363636365,0.1659335288367546,0.45631720430107525,LONG,1,20-40,3.0,True,True,True,2.782019451449069
5154,2598,2556,0,0.5040745052386496,0.4959254947613504,32.5,20.0,1.625,10,0.38095238095238093,0.12312212428626867,0.32319557625145523,LONG,0,40-60,2.0,True,True,True,2.7738422369548092
861,439,422,0,0.5098722415795587,0.4901277584204414,35.0,20.0,1.75,10,0.36363636363636365,0.14623587794319504,0.4021486643437863,LONG,0,20-40,2.5,True,True,True,2.7450604576530555
840,431,409,0,0.513095238095238,0.4869047619047619,30.0,17.5,1.7142857142857142,5,0.3684210526315789,0.14467418546365912,0.39268707482993187,LONG,1,20-40,2.5,True,True,True,2.6792185968555193
