feature_a,feature_a_value,feature_b,feature_b_value,horizon_bars,total_observations,pooled_mean_future_points,pooled_positive_probability,pooled_cost_covered_probability,median_window_mean_points,positive_window_ratio,cost_positive_window_ratio,windows_observed
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,5,1444,1.3215027700831026,0.5186980609418282,0.4903047091412742,1.0329340200029855,0.5909090909090909,0.5,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,10,1444,1.8992382271468145,0.5339335180055401,0.5138504155124654,0.19543650793650794,0.5,0.45454545454545453,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,20,1444,0.46416204986149584,0.5145429362880887,0.5020775623268698,-0.11031746031746033,0.5,0.36363636363636365,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,30,1444,-0.4934210526315789,0.5311634349030471,0.5173130193905817,0.8380952380952381,0.5,0.5,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,60,1444,-0.1977146814404432,0.5588642659279779,0.5519390581717452,-1.5624772313296904,0.4090909090909091,0.4090909090909091,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,1,745,1.3751677852348994,0.5288590604026846,0.5046979865771812,1.2651515151515151,0.7142857142857143,0.5714285714285714,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,3,745,-0.11174496644295302,0.5154362416107383,0.5020134228187919,0.16176470588235295,0.5238095238095238,0.3333333333333333,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,5,745,-0.4312080536912752,0.5315436241610738,0.5208053691275167,1.1805555555555556,0.5238095238095238,0.5238095238095238,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,10,745,-2.4691275167785234,0.4899328859060403,0.48590604026845635,-3.8916666666666666,0.38095238095238093,0.3333333333333333,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,20,745,-3.1151006711409397,0.49261744966442955,0.48053691275167787,0.05,0.5238095238095238,0.42857142857142855,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,30,745,-5.3231543624161075,0.5046979865771812,0.5046979865771812,0.24358974358974358,0.5238095238095238,0.47619047619047616,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.75:1.0,60,745,-2.871812080536913,0.5208053691275167,0.512751677852349,4.166666666666667,0.5238095238095238,0.5238095238095238,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,1,3243,-0.28499845821769965,0.5060129509713228,0.4480419364785692,-0.014534883720930232,0.47619047619047616,0.0,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,3,3243,-0.5376194881282763,0.4955288313290163,0.45575084798026516,-0.0457516339869281,0.42857142857142855,0.14285714285714285,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,5,3243,-0.6048411964230651,0.4967622571692877,0.4662349676225717,0.1350806451612903,0.5238095238095238,0.14285714285714285,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,10,3243,-0.9700894233734196,0.503854455750848,0.48257786000616715,-1.0338983050847457,0.2857142857142857,0.19047619047619047,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,20,3243,-1.40618254702436,0.5103299414122726,0.4933703361085415,-1.326271186440678,0.42857142857142855,0.19047619047619047,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,30,3243,-2.545174221399938,0.5066296638914586,0.4918285538082023,-1.4173387096774193,0.38095238095238093,0.23809523809523808,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,<=0.5,60,3243,-1.9280758556891766,0.5263644773358002,0.5183472093740363,-0.08833333333333333,0.47619047619047616,0.47619047619047616,21
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,1,2881,-0.346667823672336,0.4991322457480042,0.45088510933703574,-0.08508711069996916,0.4090909090909091,0.09090909090909091,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,3,2881,-0.08955223880597014,0.5046858729607775,0.4748351266921208,0.5763517052729601,0.6818181818181818,0.36363636363636365,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,5,2881,-0.24765706351961125,0.5074626865671642,0.4810829573064908,0.23306680359937404,0.5454545454545454,0.22727272727272727,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,10,2881,-0.8018049288441513,0.5112808052759459,0.4908018049288442,0.17865753424657532,0.5,0.4090909090909091,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,20,2881,-0.7948628948281846,0.5258590767094758,0.5126692120791392,-0.9439725654069768,0.4090909090909091,0.36363636363636365,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,30,2881,-0.9547032280458174,0.5216938562998958,0.5074626865671642,0.47663407329105,0.5454545454545454,0.45454545454545453,22
vwap_distance_bucket,-2:-1,half_life_bucket,<=5,60,2881,-1.0415654286706004,0.5164873307879209,0.5098923984727525,-0.6758606635980053,0.4090909090909091,0.4090909090909091,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,1,4034,-0.34909519087754093,0.48636588993554786,0.43108577094695094,-0.4298402868318123,0.2727272727272727,0.045454545454545456,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,3,4034,-0.4974590976698066,0.4920674268715915,0.4578582052553297,-0.1396103896103896,0.45454545454545453,0.22727272727272727,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,5,4034,-0.4918815071888944,0.5027268220128904,0.47372335151214673,0.057845663108821,0.5454545454545454,0.22727272727272727,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,10,4034,-0.8041026276648487,0.5052057511155181,0.48760535448686165,-1.1730462519936204,0.45454545454545453,0.3181818181818182,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,20,4034,0.24126177491323747,0.5250371839365394,0.5136341100644521,-0.4414068074782361,0.45454545454545453,0.4090909090909091,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,30,4034,1.4159643034209222,0.5233019335647,0.510659395141299,1.0249221183800623,0.6363636363636364,0.5,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,-2:-1,60,4034,1.2307882994546355,0.5366881507188894,0.5294992563212693,0.4943794413134036,0.5454545454545454,0.45454545454545453,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,1,2941,0.2069024141448487,0.5226113566814009,0.4726283577014621,0.19077650408878505,0.5454545454545454,0.18181818181818182,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,3,2941,0.9090445426725604,0.5300918055083305,0.499829989799388,0.7431192056468605,0.7727272727272727,0.4090909090909091,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,5,2941,1.2425195511730704,0.5314518871132268,0.5056103366201972,1.3871084869916648,0.6818181818181818,0.5,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,10,2941,1.1704352261135669,0.5331519891193471,0.5124107446446787,1.5157671747042767,0.7272727272727273,0.6363636363636364,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,20,2941,1.0549132947976878,0.5202312138728323,0.5100306018361102,1.4794579439252336,0.6818181818181818,0.5454545454545454,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,30,2941,0.6552193131587896,0.5192111526691602,0.5090105406324379,0.7650994977430225,0.5454545454545454,0.45454545454545453,22
vwap_distance_bucket,-2:-1,ou_residual_bucket,<=-2,60,2941,1.1144168650119006,0.5283917035022101,0.5202312138728323,1.2904854086008077,0.5454545454545454,0.5,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,1,1900,0.06736842105263158,0.5168421052631579,0.45842105263157895,0.0021890096618357446,0.5,0.09090909090909091,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,3,1900,0.27539473684210525,0.5263157894736842,0.48736842105263156,-0.21631591678761491,0.45454545454545453,0.3181818181818182,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,5,1900,-0.22092105263157893,0.5147368421052632,0.4905263157894737,-0.27196325180196146,0.45454545454545453,0.2727272727272727,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,10,1900,0.2681578947368421,0.5242105263157895,0.5052631578947369,1.603937728937729,0.6363636363636364,0.5909090909090909,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,20,1900,0.47592105263157897,0.5289473684210526,0.5189473684210526,1.7050699300699301,0.5909090909090909,0.5454545454545454,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,30,1900,2.5017105263157893,0.5515789473684211,0.5394736842105263,3.367111013986014,0.6818181818181818,0.6818181818181818,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.5:0.75,60,1900,2.466578947368421,0.5468421052631579,0.5389473684210526,5.3228521478521476,0.5909090909090909,0.5454545454545454,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,1,602,0.3521594684385382,0.5049833887043189,0.47674418604651164,0.7265625,0.6842105263157895,0.42105263157894735,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,3,602,3.3172757475083055,0.5514950166112956,0.5365448504983389,2.0833333333333335,0.7894736842105263,0.631578947368421,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,5,602,3.4210963455149503,0.5365448504983389,0.5149501661129569,4.25,0.6842105263157895,0.6842105263157895,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,10,602,1.9401993355481728,0.5431893687707641,0.5365448504983389,3.8289473684210527,0.5789473684210527,0.5789473684210527,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,20,602,-0.7840531561461794,0.5249169435215947,0.5166112956810631,0.5,0.5263157894736842,0.42105263157894735,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,30,602,-4.502076411960133,0.4900332225913621,0.4833887043189369,-5.755681818181818,0.3684210526315789,0.3684210526315789,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,0.75:1.0,60,602,4.719269102990033,0.5149501661129569,0.5099667774086378,3.66,0.5263157894736842,0.5263157894736842,19
vwap_distance_bucket,-2:-1,vol_ratio_bucket,<=0.5,1,4426,-0.2608450067781292,0.4952553095345685,0.4405784003615002,-0.2551497626886732,0.2727272727272727,0.045454545454545456,22
vwap_distance_bucket,-2:-1,vol_ratio_bucket,<=0.5,3,4426,-0.451536375960235,0.4952553095345685,0.46272028920018077,-0.14907625993297222,0.45454545454545453,0.09090909090909091,22
