side,hmm_state,zscore_threshold,horizon_bars,observations,mean_close_move,median_close_move,std_close_move,mean_mfe,median_mfe,mean_mae,median_mae,mfe_ge_5,mfe_ge_10,mfe_ge_20,mfe_ge_35,mfe_ge_50,mfe_ge_75,mfe_ge_100,mae_ge_5,mae_ge_10,mae_ge_20,mae_ge_35,mae_ge_50,mae_ge_75,mae_ge_100
LONG,2,1.5,60,30778,16868.902479043474,15670.125,6260.348577405486,51.26081129378127,27.0,54.32958606797063,27.25,0.8960621222951459,0.7910520501657028,0.6066995906166742,0.40743388134381703,0.2921242445902918,0.18974592241211255,0.13425173825459744,0.8774449281954643,0.7672038469036324,0.5933783871596595,0.4271232698680876,0.325069855091299,0.21645331080642016,0.15390863603872895
LONG,2,1.5,120,30778,16873.201377607384,15662.875,6265.905002842761,77.78163785821042,42.5,78.05671258691272,41.75,0.9298200012996296,0.8594125674182858,0.7349730326856846,0.5653388784196504,0.4457079732276301,0.31561504971083243,0.23165897719150041,0.9142894275131588,0.8328676327246735,0.6972837741243746,0.5535772304893105,0.4450581584248489,0.3226980310611476,0.24517512508934952
LONG,2,2.0,5,15212,16643.08812122009,15512.5,6297.441527779147,15.790313568235604,8.0,16.241141861688142,8.0,0.6664475414146727,0.4344596371285827,0.21765711280567973,0.11096502760978175,0.06508019984222982,0.02853010780962398,0.015053904811990534,0.6507362608467,0.44247962135156454,0.2500657375755982,0.1288456481724954,0.07001051801209571,0.028398632658427556,0.012292926636865632
LONG,2,2.0,10,15212,16643.031504733106,15505.625,6297.590120441556,21.9594727846437,11.5,22.65372732053642,11.25,0.754338679989482,0.5476597423087036,0.3108729950039443,0.1673678674730476,0.10603470943991586,0.05758611622403366,0.03188272416513279,0.7303444648961346,0.5391795950565343,0.3372337628188272,0.19293978438075204,0.12233762818827242,0.06251643439389955,0.03470943991585591
LONG,2,2.0,20,15212,16643.38060412832,15507.5,6298.681296781035,29.97561135945306,15.75,31.338762161451484,15.75,0.8209965816460689,0.6504733105443071,0.4169077044438601,0.24145411517223245,0.16210886142519063,0.09676571128056798,0.06146463318432816,0.800552195635025,0.6360110439127005,0.4357086510649487,0.27340257691296344,0.1851170128845648,0.10603470943991586,0.06514593741782804
LONG,2,2.0,30,15212,16643.411911648698,15502.625,6299.5006032249885,36.2242308703655,19.0,38.40121285826979,19.5,0.8533394688403891,0.7085853273731265,0.4845516697344202,0.2937154877728109,0.2020773073889035,0.12588745727057585,0.08605048645805943,0.8332895082829346,0.6878779910596897,0.4923744412306074,0.3248093610307652,0.22981856429134895,0.14297922692611095,0.09551669734420194
LONG,2,2.0,60,15212,16643.811990533788,15506.375,6300.109631948916,49.98829871154352,26.75,53.14396529056008,27.25,0.8958716802524322,0.7895082829345254,0.6059032342887194,0.4014593741782803,0.2839863265842756,0.18353931107020774,0.1293715487772811,0.879963186957665,0.7684722587430975,0.593347357349461,0.42775440441756507,0.322574283460426,0.21318695766500131,0.15172232448067316
LONG,2,2.0,120,15212,16646.312434262425,15500.875,6303.566069406068,75.32599263739154,41.0,77.13537010255062,42.0,0.9294635813831186,0.8555088088351301,0.7281751249013937,0.5558112016828819,0.4315671838022614,0.303050223507757,0.22179858006836708,0.9163818038390744,0.8348014725216935,0.6985274783066,0.5567972653168551,0.444780436497502,0.3199447804364975,0.24158559032342888
LONG,2,2.5,5,6032,16660.27196618037,15379.625,6499.865815788285,17.041445623342174,8.75,17.80702917771883,9.0,0.6904840848806366,0.46004641909814326,0.24154509283819628,0.1241710875331565,0.07194960212201591,0.031996021220159154,0.016909814323607428,0.6762267904509284,0.47579575596816975,0.27221485411140584,0.14157824933687002,0.08322281167108753,0.03464854111405836,0.017572944297082227
LONG,2,2.5,10,6032,16660.35489887268,15380.125,6500.872001676201,23.614928713527853,12.5,24.569960212201593,12.5,0.7669098143236074,0.5734416445623343,0.3385278514588859,0.18451591511936338,0.11621352785145889,0.0618368700265252,0.03498010610079576,0.7476790450928382,0.5687997347480106,0.3624005305039788,0.20722811671087532,0.133289124668435,0.07261273209549071,0.04260610079575597
LONG,2,2.5,20,6032,16660.493451591512,15375.75,6502.2820809877785,31.51085875331565,16.75,33.76334549071618,17.25,0.8249336870026526,0.6674403183023873,0.4403183023872679,0.256631299734748,0.16926392572944296,0.10162466843501326,0.06697612732095491,0.8113395225464191,0.6624668435013262,0.4578912466843501,0.2901193633952255,0.19777851458885942,0.11671087533156499,0.07609416445623342
LONG,2,2.5,30,6032,16660.851997679045,15378.0,6503.787888910855,37.8943551061008,20.25,40.65952420424403,21.0,0.855106100795756,0.7229774535809018,0.506631299734748,0.3076923076923077,0.21170424403183025,0.1322944297082228,0.09250663129973474,0.838527851458886,0.7072281167108754,0.5160809018567639,0.3421750663129973,0.24104774535809018,0.15102785145888595,0.10560344827586207
LONG,2,2.5,60,6032,16660.41143070292,15392.5,6503.182717790693,50.89004476127321,27.5,55.74958554376658,28.5,0.8953912466843501,0.7957559681697612,0.6231763925729443,0.41312997347480107,0.29094827586206895,0.1838527851458886,0.1286472148541114,0.8826259946949602,0.7819960212201591,0.6110742705570292,0.4431366047745358,0.3358753315649867,0.22496684350132626,0.16528514588859416
LONG,2,2.5,120,6032,16661.95996352785,15381.625,6505.747714574013,75.62839854111405,41.5,79.72156830238727,43.5,0.9283819628647215,0.8557692307692307,0.7369031830238727,0.5611737400530504,0.4365053050397878,0.3057029177718833,0.22115384615384615,0.916445623342175,0.8405172413793104,0.7098806366047745,0.5683023872679045,0.45540450928381965,0.3322281167108753,0.2526525198938992
LONG,2,3.0,5,2093,16816.912565695173,15322.75,6881.438914443808,20.565814620162445,11.0,21.441232680363115,11.25,0.7439082656473961,0.5332059245102724,0.30960344003822265,0.17152412804586717,0.10367892976588629,0.049689440993788817,0.024366937410415672,0.7305303392259914,0.5475394171046345,0.3349259436215958,0.18107978977544195,0.11323459149546106,0.050645007166746296,0.025322503583373148
LONG,2,3.0,10,2093,16816.661251791687,15325.25,6882.794122493962,27.531175346392736,15.5,28.495699952221692,15.0,0.8084089823220258,0.630673674151935,0.4104156712852365,0.23315814620162445,0.14906832298136646,0.0802675585284281,0.04586717630195891,0.7854753941710464,0.6244624940277114,0.42474916387959866,0.25800286669851885,0.1729574773053034,0.09555661729574773,0.051600573339703776
LONG,2,3.0,20,2093,16816.355112279027,15316.5,6884.104788297263,35.81103678929766,20.75,39.04933110367893,21.0,0.8547539417104635,0.7161968466316292,0.5164835164835165,0.3062589584328715,0.20592451027233635,0.12804586717630195,0.0817009077878643,0.8399426660296225,0.7071189679885332,0.5207835642618251,0.347348303870043,0.2436693741041567,0.1485905398948877,0.09698996655518395
