target_points,horizon_bars,window,baseline_probability,observations
5.0,5,10,0.71099116781158,4076
5.0,5,11,0.6464530892448512,3496
5.0,5,12,0.731675392670157,3820
5.0,5,13,0.7307395001288328,3881
5.0,5,14,0.7891891891891892,4070
5.0,5,15,0.7898003237992445,3706
5.0,5,16,0.8226814031715521,4162
5.0,5,17,0.7660174269605331,3902
5.0,5,18,0.7812014500258934,3862
5.0,5,19,0.8057553956834532,4031
5.0,5,20,0.833552804845931,3797
5.0,5,21,0.8813723121526938,4139
5.0,5,22,0.7953667953667953,1036
5.0,10,1,0.7038007863695938,3815
5.0,10,2,0.7137718396711202,3892
5.0,10,3,0.8414634146341463,4018
5.0,10,4,0.8472093023255814,4300
5.0,10,5,0.8311332503113324,4015
5.0,10,6,0.8154456369575361,4286
5.0,10,7,0.7784564131038312,3602
5.0,10,8,0.7702349869451697,3830
5.0,10,9,0.7577899973815135,3819
5.0,10,10,0.784838076545633,4076
5.0,10,11,0.7374141876430206,3496
5.0,10,12,0.8065445026178011,3820
5.0,10,13,0.7985055398093275,3881
5.0,10,14,0.8565110565110565,4070
5.0,10,15,0.849703184025904,3706
5.0,10,16,0.8767419509851033,4162
5.0,10,17,0.8431573552024603,3902
5.0,10,18,0.8516312791299845,3862
5.0,10,19,0.8625651203175391,4031
5.0,10,20,0.8875427969449565,3797
5.0,10,21,0.9176129499879198,4139
5.0,10,22,0.8706563706563707,1036
5.0,20,1,0.7931847968545216,3815
5.0,20,2,0.7913669064748201,3892
5.0,20,3,0.8875062220009955,4018
5.0,20,4,0.8879069767441861,4300
5.0,20,5,0.873972602739726,4015
5.0,20,6,0.8681754549696686,4286
5.0,20,7,0.8436979455857857,3602
5.0,20,8,0.8323759791122716,3830
5.0,20,9,0.8381775333857031,3819
5.0,20,10,0.8412659470068695,4076
5.0,20,11,0.8066361556064073,3496
5.0,20,12,0.8589005235602094,3820
5.0,20,13,0.8680752383406338,3881
5.0,20,14,0.9012285012285012,4070
5.0,20,15,0.8896384241770102,3706
5.0,20,16,0.9135031234983181,4162
5.0,20,17,0.8915940543311123,3902
5.0,20,18,0.9013464526152253,3862
5.0,20,19,0.8982882659389729,4031
5.0,20,20,0.9220437187253094,3797
5.0,20,21,0.9441894177337521,4139
5.0,20,22,0.9083011583011583,1036
5.0,30,1,0.8319790301441677,3815
5.0,30,2,0.8306783144912642,3892
5.0,30,3,0.9094076655052264,4018
5.0,30,4,0.9065116279069767,4300
5.0,30,5,0.8924034869240348,4015
5.0,30,6,0.8950069995333645,4286
5.0,30,7,0.8734036646307607,3602
5.0,30,8,0.8639686684073107,3830
5.0,30,9,0.874574495941346,3819
5.0,30,10,0.8731599607458292,4076
5.0,30,11,0.8466819221967964,3496
5.0,30,12,0.8798429319371728,3820
5.0,30,13,0.8946147900025767,3881
5.0,30,14,0.9250614250614251,4070
5.0,30,15,0.9112250404749056,3706
5.0,30,16,0.9305622296972609,4162
5.0,30,17,0.9149154279856484,3902
5.0,30,18,0.9267219057483169,3862
5.0,30,19,0.9163979161498388,4031
5.0,30,20,0.9407426915986304,3797
5.0,30,21,0.9555448175887895,4139
5.0,30,22,0.9276061776061776,1036
