side,hmm_state,vol_bucket,zscore,observations,windows,wr_5_before_5_h10,wr_10_before_5_h10,wr_15_before_10_h10,wr_20_before_10_h10,wr_30_before_15_h10,wr_5_before_5_h20,wr_10_before_5_h20,wr_15_before_10_h20,wr_20_before_10_h20,wr_30_before_15_h20,wr_5_before_5_h30,wr_10_before_5_h30,wr_15_before_10_h30,wr_20_before_10_h30,wr_30_before_15_h30,wr_5_before_5_h60,wr_10_before_5_h60,wr_15_before_10_h60,wr_20_before_10_h60,wr_30_before_15_h60,wr_5_before_5_h120,wr_10_before_5_h120,wr_15_before_10_h120,wr_20_before_10_h120,wr_30_before_15_h120,mean_path_wr,median_path_wr,paths_wr_ge_50,paths_wr_ge_55,paths_wr_ge_60
LONG,1,60-80,2.0,2744,21,0.4107142857142857,0.3130466472303207,0.3502186588921283,0.27077259475218657,0.19752186588921283,0.4136297376093295,0.3177842565597668,0.38411078717201164,0.3104956268221574,0.25583090379008744,0.4143586005830904,0.3177842565597668,0.3892128279883382,0.3206997084548105,0.28024781341107874,0.4143586005830904,0.3177842565597668,0.391399416909621,0.3261661807580175,0.31596209912536444,0.4143586005830904,0.31814868804664725,0.391399416909621,0.32653061224489793,0.32470845481049565,0.33948979591836737,0.32470845481049565,0,0,0
SHORT,0,20-40,2.5,784,20,0.44005102040816324,0.28188775510204084,0.3086734693877551,0.24107142857142858,0.16071428571428573,0.4528061224489796,0.3010204081632653,0.35331632653061223,0.29464285714285715,0.22704081632653061,0.45663265306122447,0.3086734693877551,0.375,0.3227040816326531,0.27168367346938777,0.4630102040816326,0.31760204081632654,0.39285714285714285,0.34183673469387754,0.3137755102040816,0.4630102040816326,0.32142857142857145,0.3979591836734694,0.3469387755102041,0.33163265306122447,0.33943877551020407,0.3227040816326531,0,0,0
LONG,0,20-40,1.5,8519,20,0.4384317408146496,0.3046132175137927,0.3205775325742458,0.22561333489846225,0.13569667801385138,0.4473529757013734,0.32233830261767815,0.3736354032163399,0.2899401338185233,0.2097664045075713,0.44981805376217865,0.3248033806784834,0.38760417889423643,0.30954337363540324,0.24768165277614743,0.45427867120554055,0.32985092146965606,0.40192510858081937,0.3318464608522127,0.30097429275736587,0.45486559455335135,0.3317290761826506,0.4075595727198028,0.33935907970419066,0.3280901514262237,0.33871581171499004,0.32985092146965606,0,0,0
LONG,1,80-100,2.0,3899,21,0.39010002564760193,0.3013593229033085,0.36496537573736854,0.287509617850731,0.22005642472428827,0.39215183380353935,0.3098230315465504,0.3880482174916645,0.3157219799948705,0.2734034367786612,0.39215183380353935,0.3113618876635035,0.3929212618620159,0.3223903565016671,0.29520389843549627,0.39215183380353935,0.3123877917414722,0.39702487817389076,0.3290587330084637,0.316491408053347,0.39240830982303154,0.3123877917414722,0.3977943062323673,0.33162349320338547,0.3254680687355732,0.33855860477045396,0.3254680687355732,0,0,0
LONG,1,60-80,1.5,6118,21,0.4194181104936254,0.3094148414514547,0.33573063092513894,0.2597254004576659,0.18715266426936908,0.42432167374959134,0.3167701863354037,0.37054593004249753,0.3025498528931023,0.2476299444262831,0.4257927427263812,0.31954887218045114,0.37839163125204317,0.3136645962732919,0.2768878718535469,0.4257927427263812,0.3211833932657731,0.38640078457012095,0.3273945733899967,0.31399150049035635,0.4257927427263812,0.32151029748283755,0.38836220987250736,0.32821183393265774,0.32265446224256294,0.3379535796011769,0.32265446224256294,0,0,0
LONG,2,60-80,3.5,101,17,0.33663366336633666,0.26732673267326734,0.39603960396039606,0.3069306930693069,0.2376237623762376,0.33663366336633666,0.26732673267326734,0.43564356435643564,0.3465346534653465,0.26732673267326734,0.33663366336633666,0.26732673267326734,0.43564356435643564,0.37623762376237624,0.297029702970297,0.33663366336633666,0.26732673267326734,0.43564356435643564,0.38613861386138615,0.31683168316831684,0.33663366336633666,0.26732673267326734,0.44554455445544555,0.39603960396039606,0.33663366336633666,0.33742574257425756,0.33663366336633666,0,0,0
LONG,0,40-60,3.0,199,20,0.37185929648241206,0.2914572864321608,0.35175879396984927,0.2964824120603015,0.20100502512562815,0.37185929648241206,0.2914572864321608,0.36180904522613067,0.3165829145728643,0.2964824120603015,0.3768844221105528,0.2914572864321608,0.39195979899497485,0.32663316582914576,0.32663316582914576,0.3768844221105528,0.2964824120603015,0.39195979899497485,0.3316582914572864,0.33668341708542715,0.3768844221105528,0.3015075376884422,0.40703517587939697,0.35175879396984927,0.35678391959798994,0.33567839195979915,0.33668341708542715,0,0,0
SHORT,0,80-100,2.5,899,21,0.42936596218020023,0.29588431590656283,0.339265850945495,0.24916573971078976,0.18798665183537264,0.43270300333704115,0.3014460511679644,0.3659621802002225,0.28476084538375973,0.2447163515016685,0.43381535038932145,0.30589543937708563,0.3804226918798665,0.3014460511679644,0.27919911012235815,0.43492769744160176,0.3092324805339266,0.38598442714126807,0.3125695216907675,0.3092324805339266,0.43492769744160176,0.3092324805339266,0.3882091212458287,0.3170189098998888,0.3259176863181313,0.33437152391546165,0.3125695216907675,0,0,0
SHORT,0,80-100,1.5,10840,21,0.456549815498155,0.29603321033210334,0.2977859778597786,0.21162361623616235,0.13062730627306274,0.4625461254612546,0.30931734317343174,0.3506457564575646,0.2754612546125461,0.20867158671586716,0.4651291512915129,0.3142066420664207,0.37075645756457565,0.29916974169741695,0.24944649446494466,0.46586715867158673,0.3169741697416974,0.38321033210332106,0.3162361623616236,0.3,0.46623616236162363,0.31771217712177124,0.38468634686346864,0.3193726937269373,0.31946494464944647,0.33150922509225095,0.3169741697416974,0,0,0
SHORT,2,80-100,2.0,2189,21,0.4472361809045226,0.2832343535861124,0.25216994061215164,0.18136135221562358,0.11009593421653723,0.4719049794426679,0.32206486980356325,0.3343992690726359,0.24668798538145273,0.16857012334399268,0.4746459570580174,0.3321151210598447,0.3691183188670626,0.2900867976244861,0.21288259479214253,0.47875742348104156,0.3412517131110096,0.40657834627683875,0.33714024668798537,0.2722704431247145,0.47875742348104156,0.3453631795340338,0.42439470077661035,0.3604385564184559,0.3334856098675194,0.3310004568296025,0.3343992690726359,0,0,0
