window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
2,short_reversion,20,0.1,1.0,-78.19999999999999,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,20,0.25,2.75,-51.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,20,0.5,9.5,-30.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,20,0.75,40.875,-14.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,20,0.9,101.25,-4.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,30,0.1,1.25,-101.44999999999999,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,30,0.25,3.375,-67.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,30,0.5,14.25,-40.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,30,0.75,63.0,-20.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,30,0.9,125.20000000000005,-7.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,60,0.1,1.5,-156.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,60,0.25,5.25,-107.125,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,60,0.5,32.5,-66.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,60,0.75,95.5,-34.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,60,0.9,178.5,-11.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
3,long_reversion,1,0.1,0.5,-21.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,1,0.25,2.0,-13.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,1,0.5,5.25,-6.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,1,0.75,10.5,-2.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,1,0.9,21.0,-0.14999999999997726,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,3,0.1,1.0,-40.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,3,0.25,3.5,-26.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,3,0.5,8.25,-15.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,3,0.75,18.75,-6.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,3,0.9,49.25,-1.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,5,0.1,1.25,-56.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,5,0.25,4.25,-37.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,5,0.5,10.25,-22.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,5,0.75,26.0,-10.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,5,0.9,76.85000000000002,-3.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,10,0.1,2.0,-89.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,10,0.25,5.5,-62.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,10,0.5,15.0,-37.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,10,0.75,50.0,-17.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,10,0.9,132.60000000000002,-6.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,20,0.1,2.5,-158.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,20,0.25,8.25,-105.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,20,0.5,25.5,-60.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,20,0.75,93.5,-25.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,20,0.9,196.45000000000005,-9.649999999999977,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,30,0.1,3.25,-220.6,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,30,0.25,9.75,-147.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,30,0.5,39.5,-78.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,30,0.75,130.25,-32.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,30,0.9,251.25,-12.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,60,0.1,4.5,-342.35,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,60,0.25,14.5,-256.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
