side,hmm_state,vol_bucket,zscore,observations,path_relationships,paths_wr_50,paths_wr_55,paths_wr_60,paths_positive_expectancy,best_wr,median_wr,mean_wr,best_expectancy,median_expectancy,best_tp,best_sl,best_rr,best_horizon,best_path_wr,best_path_expectancy,passes_wr_50,passes_wr_55,passes_positive_expectancy,candidate
LONG,1,20-40,2.0,2573,25,0,0,0,8,0.4076952973183055,0.3482316362223085,0.34924212980956076,0.06684803731053235,-0.03342401865526623,15.0,10.0,1.5,120,0.4076952973183055,0.019238243295763735,False,False,True,False
LONG,1,20-40,2.5,946,25,0,0,0,9,0.4133192389006342,0.3604651162790697,0.3458350951374207,0.11310782241014772,-0.08985200845665964,15.0,10.0,1.5,120,0.4133192389006342,0.0332980972515855,False,False,True,False
LONG,1,20-40,3.0,359,25,0,0,0,11,0.4373259052924791,0.3481894150417827,0.3526462395543175,0.1532033426183843,-0.013927576601671432,15.0,10.0,1.5,120,0.4373259052924791,0.0933147632311978,False,False,True,False
LONG,1,20-40,3.5,118,25,0,0,0,8,0.423728813559322,0.288135593220339,0.3128813559322034,0.11864406779661019,-0.13559322033898302,15.0,10.0,1.5,60,0.423728813559322,0.05932203389830504,False,False,True,False
LONG,1,40-60,1.5,5617,25,0,0,0,2,0.4178387039344846,0.3329179277194232,0.3400462880541214,0.029731173224141094,-0.07228057682036682,5.0,5.0,1.0,60,0.4178387039344846,-0.1643225921310308,False,False,True,False
LONG,1,40-60,2.0,2570,25,0,0,0,2,0.4214007782101167,0.3322957198443579,0.3430972762645914,0.02256809338521404,-0.060311284046692615,5.0,5.0,1.0,60,0.4214007782101167,-0.15719844357976664,False,False,True,False
LONG,1,40-60,2.5,990,25,0,0,0,1,0.3919191919191919,0.3323232323232323,0.3298989898989899,0.030303030303030276,-0.11515151515151534,5.0,5.0,1.0,30,0.3919191919191919,-0.21616161616161622,False,False,True,False
LONG,1,40-60,3.0,347,25,0,0,0,0,0.3832853025936599,0.3227665706051873,0.3249567723342939,-0.023054755043227737,-0.13544668587896258,15.0,10.0,1.5,60,0.3832853025936599,-0.04178674351585021,False,False,False,False
LONG,1,40-60,3.5,145,25,0,0,0,2,0.3793103448275862,0.3310344827586207,0.3177931034482758,0.013793103448275779,-0.110344827586207,15.0,10.0,1.5,20,0.3793103448275862,-0.051724137931034586,False,False,True,False
LONG,1,60-80,1.5,6118,25,0,0,0,0,0.4257927427263812,0.3226544622425629,0.33795357960117683,-0.01536449820202701,-0.07175547564563589,5.0,5.0,1.0,30,0.4257927427263812,-0.14841451454723759,False,False,False,False
LONG,1,60-80,2.0,2744,25,0,0,0,0,0.4143586005830904,0.3247084548104956,0.3394897959183673,-0.020408163265306367,-0.0521137026239068,5.0,5.0,1.0,30,0.4143586005830904,-0.17128279883381925,False,False,False,False
LONG,1,60-80,2.5,1002,25,0,0,0,0,0.3752495009980039,0.3193612774451098,0.32375249500998005,-0.014970059880239472,-0.11676646706586824,15.0,10.0,1.5,60,0.3752495009980039,-0.06187624750499021,False,False,False,False
LONG,1,60-80,3.0,342,25,0,0,0,0,0.3625730994152046,0.3187134502923976,0.31918128654970757,-0.026315789473684403,-0.09356725146198852,15.0,10.0,1.5,20,0.3625730994152046,-0.09356725146198852,False,False,False,False
LONG,1,60-80,3.5,127,25,0,0,0,0,0.3464566929133858,0.2913385826771653,0.2954330708661417,-0.12598425196850416,-0.1496062992125986,15.0,10.0,1.5,20,0.3464566929133858,-0.13385826771653542,False,False,False,False
LONG,1,80-100,1.5,8900,25,0,0,0,0,0.3895505617977528,0.3234831460674157,0.32825168539325844,-0.016741573033707935,-0.10505617977528103,15.0,10.0,1.5,120,0.3895505617977528,-0.026123595505617936,False,False,False,False
