target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,3,ar1_coefficient_30,6.925112247467041,0.01582075385810492
1.0,5,3,ar1_coefficient_60,6.080981731414795,0.013892296868333761
1.0,5,3,mean_reversion_speed_30,5.968676567077637,0.013635730288835779
1.0,5,3,mean_reversion_speed_60,5.483044624328613,0.012526280628337383
1.0,5,3,half_life_30,0.0,0.0
1.0,5,3,half_life_60,6.161725044250488,0.01407675887160724
1.0,5,3,ou_residual_30,6.793801307678223,0.015520767665385057
1.0,5,3,ou_residual_60,6.398251533508301,0.01461711507577393
1.0,5,3,normalized_ou_residual_30,0.0,0.0
1.0,5,3,normalized_ou_residual_60,0.0,0.0
1.0,5,4,past_return_1,6.213431358337402,0.016213837972569353
1.0,5,4,past_return_3,7.002665042877197,0.01827332915314727
1.0,5,4,past_return_5,7.159325122833252,0.01868213082917591
1.0,5,4,past_return_10,7.549228191375732,0.019699575911251616
1.0,5,4,past_return_15,6.191751956939697,0.016157265962462083
1.0,5,4,past_return_30,5.905489444732666,0.015410269058035444
1.0,5,4,realized_vol_5,6.479648590087891,0.0169085270762506
1.0,5,4,realized_vol_15,6.617884159088135,0.01726925032055077
1.0,5,4,realized_vol_30,8.190078735351562,0.02137186394107181
1.0,5,4,realized_vol_60,6.443137168884277,0.016813251175801604
1.0,5,4,vol_ratio_5_30,6.020466327667236,0.01571029917714036
1.0,5,4,vol_ratio_5_60,8.052695274353027,0.021013364257358058
1.0,5,4,variance_ratio_5_30,6.362048149108887,0.01660165082936365
1.0,5,4,variance_ratio_5_60,5.3458147048950195,0.013949807836895364
1.0,5,4,rolling_range_5,6.524331569671631,0.017025126512105034
1.0,5,4,rolling_range_15,6.999478340148926,0.018265013509387303
1.0,5,4,rolling_range_30,8.606654167175293,0.022458910077966833
1.0,5,4,rolling_range_60,8.315315246582031,0.021698666376672227
1.0,5,4,atr_5,15.279254913330078,0.03987094235359951
1.0,5,4,atr_15,15.941630363464355,0.041599399240964015
1.0,5,4,atr_30,8.292125701904297,0.021638153674691876
1.0,5,4,atr_60,9.69507884979248,0.02529913481556214
1.0,5,4,normalized_range_5,6.1318888664245605,0.01600105429870124
1.0,5,4,normalized_range_15,6.467156887054443,0.016875930200658824
1.0,5,4,normalized_range_30,7.075441837310791,0.018463238896259813
1.0,5,4,normalized_range_60,7.846980571746826,0.020476555421100995
1.0,5,4,vwap_distance,6.4513750076293945,0.016834747668633743
1.0,5,4,vwap_distance_pct,6.4627685546875,0.01686447892585365
1.0,5,4,normalized_vwap_distance,7.058443069458008,0.018418880915652445
1.0,5,4,mean_distance_5,9.710646629333496,0.025339758657770037
1.0,5,4,mean_distance_15,8.646157264709473,0.022561992704279964
1.0,5,4,mean_distance_30,6.810219764709473,0.017771146642575134
1.0,5,4,mean_distance_60,5.950174331665039,0.015526873471082012
1.0,5,4,zscore_5,6.8423285484313965,0.01785493393927794
1.0,5,4,zscore_15,7.257224082946777,0.018937596414199846
1.0,5,4,zscore_30,7.42838191986084,0.019384229727648507
1.0,5,4,zscore_60,5.808532238006592,0.015157260961628286
1.0,5,4,abs_zscore_5,7.479633808135986,0.019517970613216737
1.0,5,4,abs_zscore_15,6.14546537399292,0.01603648195231994
1.0,5,4,abs_zscore_30,8.032245635986328,0.02096000129187999
1.0,5,4,abs_zscore_60,5.4508843421936035,0.014223985175751765
1.0,5,4,zscore_direction_5,0.0,0.0
1.0,5,4,zscore_direction_15,0.0,0.0
1.0,5,4,zscore_direction_30,0.0,0.0
1.0,5,4,zscore_direction_60,0.0,0.0
1.0,5,4,log_zscore_5,5.227416515350342,0.013640849879397845
1.0,5,4,log_zscore_30,5.741223335266113,0.014981619584069466
1.0,5,4,log_zscore_60,5.125458240509033,0.013374791585212065
1.0,5,4,autocorrelation_30,6.553151607513428,0.01710033188526864
1.0,5,4,autocorrelation_60,5.839447498321533,0.015237933780352462
1.0,5,4,ar1_coefficient_30,6.86239767074585,0.017907303954925024
1.0,5,4,ar1_coefficient_60,6.325038909912109,0.016505075881767355
1.0,5,4,mean_reversion_speed_30,4.7446770668029785,0.012381149924523183
1.0,5,4,mean_reversion_speed_60,6.9681291580200195,0.018183208379452358
1.0,5,4,half_life_30,7.349917411804199,0.01917947799758865
1.0,5,4,half_life_60,0.0,0.0
1.0,5,4,ou_residual_30,3.7772083282470703,0.009856557559078764
1.0,5,4,ou_residual_60,5.2239670753479,0.013631848627421247
1.0,5,4,normalized_ou_residual_30,7.236287593841553,0.018882963020429255
1.0,5,4,normalized_ou_residual_60,0.0,0.0
1.0,5,5,past_return_1,6.593378067016602,0.01672172932402277
1.0,5,5,past_return_3,6.467711448669434,0.0164030211966095
1.0,5,5,past_return_5,6.953474998474121,0.01763498552699498
1.0,5,5,past_return_10,7.379720211029053,0.018716003026303833
1.0,5,5,past_return_15,6.486087799072266,0.016449626192451727
1.0,5,5,past_return_30,6.180776596069336,0.01567531426246455
1.0,5,5,realized_vol_5,5.930418968200684,0.015040372288127211
1.0,5,5,realized_vol_15,9.114914894104004,0.02311669953118238
1.0,5,5,realized_vol_30,9.421988487243652,0.02389548112915007
1.0,5,5,realized_vol_60,7.031791687011719,0.017833607607204628
1.0,5,5,vol_ratio_5_30,6.541915416717529,0.01659121284220554
