target_points,horizon_bars,window,observations,mean_realized_probability,mean_model_probability,baseline_probability,probability_lift,top_decile_lift,mean_future_mfe,median_future_mfe
20.0,30,21,1061,0.7492931196983977,0.8044065568494302,0.5444236446108431,0.25998291223858705,0.37146420585644657,71.64278982092365,47.0
20.0,60,1,1243,0.31053901850362026,0.13825243851132482,0.3542345276872964,-0.2159820891759716,0.12576547231270357,16.50824617860016,12.25
20.0,60,2,1638,0.6031746031746031,0.5959137262695756,0.3322541481181708,0.26365957815140484,0.5214043884671951,48.15659340659341,26.75
20.0,60,3,1892,0.6812896405919662,0.49713099592150706,0.4402531029447554,0.056877892976751665,0.39658900231840255,39.69727801268499,30.625
20.0,60,4,1862,0.6740064446831364,0.7661411515191981,0.5162472921179804,0.24989385940121778,0.280544151732287,42.42830290010741,34.0
20.0,60,5,1943,0.6839938239835306,0.6328092534809239,0.5536054940862266,0.07920375939469726,0.22588168540095288,42.865671641791046,30.5
20.0,60,6,1234,0.5696920583468396,0.703374737201974,0.5794411584744035,0.12393357872757049,0.26733303507398365,32.11466774716369,22.75
20.0,60,7,1320,0.6553030303030303,0.6222557636457636,0.5783514492753623,0.04390431437040132,0.1716485507246377,43.65965909090909,31.75
20.0,60,8,1884,0.7415074309978769,0.8301025879136317,0.5865695792880259,0.24353300862560578,0.2811552884368418,61.88933121019108,46.5
20.0,60,9,1357,0.7221812822402358,0.7728744557150691,0.6070626228587476,0.1658118328563215,0.23852561243537007,57.222181282240236,43.75
20.0,60,10,1376,0.6751453488372093,0.7527347726444172,0.6170758284725338,0.1356589441718834,0.12205460631007481,44.055414244186046,33.25
20.0,60,11,1154,0.6351819757365684,0.6967424168324088,0.6217824114979089,0.07496000533449987,0.024769312640022134,40.50584922010398,32.0
20.0,60,12,926,0.6565874730021598,0.6713972757721308,0.6226352655672605,0.048762010204870365,0.3020959172284384,40.57883369330454,31.25
20.0,60,13,960,0.6416666666666667,0.6139165464575247,0.6242850396179881,-0.010368493160463399,0.19863162704867854,41.213541666666664,30.25
20.0,60,14,1289,0.6586501163692785,0.5776158808112792,0.625118649148224,-0.04750276833694478,0.11906739736340388,45.29868114817688,31.0
20.0,60,15,1326,0.72473604826546,0.6465813646691417,0.6271472824556463,0.019434082213495407,0.23751437167969203,58.94607843137255,37.75
20.0,60,16,1032,0.7548449612403101,0.7370123483182848,0.6328649699540474,0.10414737836423738,0.13636579927672188,57.24103682170543,37.25
20.0,60,17,1149,0.7771975630983464,0.8225988520550873,0.638184584178499,0.18441426787658832,0.24007628538671844,79.0970409051349,56.75
20.0,60,18,841,0.7502972651605232,0.7200167801731691,0.6446217708459275,0.07539500932724152,0.30831940562466065,61.99881093935791,46.75
20.0,60,19,935,0.760427807486631,0.7618100791532089,0.6480860684493647,0.11372401070384419,0.24553095282723103,68.70347593582888,40.0
20.0,60,20,1189,0.830950378469302,0.7844564710674014,0.652036556470721,0.13241991459668034,0.23031638470574956,86.31602186711523,60.0
20.0,60,21,1061,0.8265786993402451,0.8653021105666076,0.6596947224422205,0.20560738812438706,0.2561931280250692,103.61757775683317,62.75
20.0,120,1,1243,0.4899436846339501,0.25221265580219293,0.5333876221498371,-0.2811749663476442,0.018612377850162898,23.32320997586484,19.25
20.0,120,2,1638,0.7264957264957265,0.7666105909207074,0.5115337919870497,0.25507679893365764,0.34822230557392586,69.72557997557998,39.25
20.0,120,3,1892,0.7758985200845666,0.5575756797366175,0.5972256023363349,-0.039649922599717446,0.20277439766366512,60.032373150105705,49.0
20.0,120,4,1862,0.7696025778732546,0.8878729782446371,0.6535577403766039,0.2343152378680332,0.16462407780521437,59.29470998925886,45.75
20.0,120,5,1943,0.7833247555326814,0.7527267767334039,0.6810377718428081,0.07168900489059582,0.16511607431103803,63.16996911991765,45.25
20.0,120,6,1234,0.7544570502431118,0.7874199172823028,0.7013053232714664,0.08611459401083632,0.20192048318014644,47.284238249594814,34.75
20.0,120,7,1320,0.775,0.81205363335991,0.7072463768115942,0.1048072565483158,0.08820816864295122,64.95359848484848,50.125
20.0,120,8,1884,0.8200636942675159,0.8929699982680586,0.7144822006472492,0.17848779762080935,0.19027970411465556,92.26340233545648,69.75
20.0,120,9,1357,0.8076639646278556,0.8403388922629149,0.7284470654310586,0.11189182683185628,0.12449411103952956,82.8605379513633,68.5
20.0,120,10,1376,0.78125,0.8199382468754816,0.7353374783667713,0.08460076850871023,0.09799585496656205,71.36845930232558,55.25
20.0,120,11,1154,0.7391681109185442,0.7805035332769827,0.7390587265123403,0.04144480676464246,0.07128610107386657,59.399913344887345,44.25
20.0,120,12,926,0.7570194384449244,0.7885627885053405,0.739065688599636,0.0494970999057045,0.08889130064767592,58.94546436285097,46.5
20.0,120,13,960,0.7708333333333334,0.729517248723035,0.739938080495356,-0.010420831772321004,0.16631191950464397,57.72265625,43.75
20.0,120,14,1289,0.7532971295577967,0.7099379850761015,0.7414197931758005,-0.03148180809969903,0.03377400527381191,66.20868890612878,46.25
