observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
154,94,60,0.6103896103896104,6.0,6.0,1.0,8,0.22077922077922074,0.5,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.2364004735102252
2255,1159,1096,0.5139689578713968,25.0,20.0,1.25,4,0.15643015521064285,0.4444444444444444,0.06952451342695243,S1,SHORT,2,80-100,2.0,True,1.2247241922842833
154,86,68,0.5584415584415584,6.0,5.0,1.2,5,0.22857142857142843,0.45454545454545453,0.10389610389610388,B1,LONG,2,60-80,3.5,True,1.2201533121452124
154,86,68,0.5584415584415584,6.0,5.0,1.2,15,0.22857142857142843,0.45454545454545453,0.10389610389610388,B1,LONG,2,60-80,3.5,True,1.2201533121452124
154,86,68,0.5584415584415584,9.0,7.5,1.2,6,0.22857142857142843,0.45454545454545453,0.10389610389610388,B1,LONG,2,60-80,3.5,True,1.2201533121452124
154,86,68,0.5584415584415584,9.0,7.5,1.2,7,0.22857142857142843,0.45454545454545453,0.10389610389610388,B1,LONG,2,60-80,3.5,True,1.2201533121452124
154,91,63,0.5909090909090909,8.0,7.5,1.0666666666666667,9,0.2212121212121213,0.48387096774193555,0.10703812316715539,B1,LONG,2,60-80,3.5,True,1.217091019950761
840,439,401,0.5226190476190476,25.0,20.0,1.25,10,0.17589285714285718,0.4444444444444444,0.07817460317460323,D1,LONG,1,20-40,2.5,True,1.2113603363898835
840,439,401,0.5226190476190476,25.0,20.0,1.25,12,0.17589285714285718,0.4444444444444444,0.07817460317460323,D1,LONG,1,20-40,2.5,True,1.2113603363898835
247,124,123,0.5020242914979757,25.0,17.5,1.4285714285714286,3,0.21920185078079812,0.4117647058823529,0.09025958561562275,S2,SHORT,0,20-40,3.0,True,1.2110002504598634
247,124,123,0.5020242914979757,25.0,17.5,1.4285714285714286,4,0.21920185078079812,0.4117647058823529,0.09025958561562275,S2,SHORT,0,20-40,3.0,True,1.2110002504598634
372,198,174,0.532258064516129,25.0,20.0,1.25,8,0.19758064516129026,0.4444444444444444,0.08781362007168458,D2,LONG,1,20-40,3.0,True,1.207730874349831
154,84,70,0.5454545454545454,7.5,6.0,1.25,20,0.22727272727272718,0.4444444444444444,0.101010101010101,B1,LONG,2,60-80,3.5,True,1.198334480259738
3267,1663,1604,0.5090296908478726,25.0,20.0,1.25,20,0.14531680440771344,0.4444444444444444,0.06458524640342822,A1,LONG,0,20-40,2.0,True,1.1865118697918233
247,126,121,0.5101214574898786,27.5,20.0,1.375,3,0.21153846153846168,0.42105263157894735,0.08906882591093124,S2,SHORT,0,20-40,3.0,True,1.1781069132552013
861,448,413,0.5203252032520326,25.0,20.0,1.25,15,0.17073170731707332,0.4444444444444444,0.07588075880758816,A2,LONG,0,20-40,2.5,True,1.1774748671977118
154,77,77,0.5,11.0,7.5,1.4666666666666666,5,0.23333333333333328,0.4054054054054054,0.09459459459459463,B1,LONG,2,60-80,3.5,True,1.176799193947824
372,197,175,0.5295698924731183,25.0,20.0,1.25,12,0.19153225806451601,0.4444444444444444,0.08512544802867383,D2,LONG,1,20-40,3.0,True,1.1677106681339973
2255,1152,1103,0.5108647450110865,25.0,20.0,1.25,6,0.14944567627494454,0.4444444444444444,0.06642030056664205,S1,SHORT,2,80-100,2.0,True,1.1664592352544776
