probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
1,0.3900279205310004,0.5432814197754436,22.45644693951467,2761,15.0,30
2,0.5343262069210631,0.5929011227816009,26.097700108656284,2761,15.0,30
3,0.6273341086497128,0.6457805143064107,29.923850054328142,2761,15.0,30
4,0.6947010384871881,0.6682361463237957,31.99402390438247,2761,15.0,30
5,0.7480956192942297,0.7135095979717494,35.58429916696849,2761,15.0,30
6,0.7946379002735521,0.7428467946396233,40.46296631655198,2761,15.0,30
7,0.8393469641969412,0.7598696124592539,46.62033683448026,2761,15.0,30
8,0.8839648764058327,0.7739949293734154,52.90411082940963,2761,15.0,30
9,0.9386585980642969,0.8413618254255705,66.7257334299167,2761,15.0,30
0,0.24046073596646192,0.5485155684286749,23.724475018102822,2762,15.0,60
1,0.5517363382590417,0.6877942774357118,35.62278160086925,2761,15.0,60
2,0.6814831932011569,0.7073524085476277,39.92059036580949,2761,15.0,60
3,0.7517232857765991,0.761680550525172,44.714324520101414,2761,15.0,60
4,0.8009127183739407,0.7700108656283955,48.83819268381021,2761,15.0,60
5,0.8390799365972791,0.7823252444766389,52.64876856211517,2761,15.0,60
6,0.8715770774801241,0.7902933719666787,55.5,2761,15.0,60
7,0.8994631662354958,0.8073161897863093,59.03721477725462,2761,15.0,60
8,0.9280488925841959,0.8265121332850417,69.69413256066643,2761,15.0,60
9,0.9641374525536838,0.8692502716407099,87.59145237232886,2761,15.0,60
0,0.39058582036856127,0.6926140477914554,35.09178131788559,2762,15.0,120
1,0.6969802120983147,0.7921043100325968,56.38382832307135,2761,15.0,120
2,0.7878300171967478,0.8239768199927563,61.58982252806954,2761,15.0,120
3,0.8365509622729977,0.8268743208982253,67.14550887359653,2761,15.0,120
4,0.8709319593119733,0.8178196305686346,70.82823252444767,2761,15.0,120
5,0.8979939233561609,0.8547627671133647,78.54156102861282,2761,15.0,120
6,0.9202877458607274,0.8714233973198117,81.46776530242666,2761,15.0,120
7,0.9400019657564354,0.8804780876494024,94.25688156465048,2761,15.0,120
8,0.957880772874218,0.8790293371966679,97.81492212966316,2761,15.0,120
9,0.9792696396668119,0.8978630930822166,118.97672944585295,2761,15.0,120
0,0.0007426690653337284,0.014120202751629254,5.7415821868211445,2762,20.0,5
1,0.009085647103807435,0.058312205722564285,7.861101050344078,2761,20.0,5
2,0.03803630731999874,0.09887721839913075,9.742484607026439,2761,20.0,5
3,0.08574245837596352,0.14741035856573706,11.599963781238682,2761,20.0,5
4,0.14662403576629224,0.1915972473741398,13.081492212966317,2761,20.0,5
5,0.22070861250777385,0.26077508149221296,14.917602318000725,2761,20.0,5
6,0.3111289002268438,0.30785947120608476,16.459797174936618,2761,20.0,5
