side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
LONG,1,20-40,2.5,946,15.0,10.0,1.5,120,0.4133192389006342,0.0332980972515855,0.4,0.01331923890063419,False,True,True,False,0.22031183932346718
LONG,1,20-40,3.5,118,20.0,10.0,2.0,60,0.3644067796610169,0.09322033898305071,0.3333333333333333,0.031073446327683607,False,True,True,False,0.21949152542372877
LONG,1,20-40,2.5,946,15.0,10.0,1.5,60,0.4122621564482029,0.030655391120507303,0.4,0.012262156448202888,False,True,True,False,0.21869978858350944
LONG,2,0-20,3.5,233,15.0,10.0,1.5,60,0.4120171673819742,0.030042918454935452,0.4,0.01201716738197417,False,True,True,False,0.21832618025751063
LONG,1,20-40,2.5,946,30.0,15.0,2.0,60,0.3625792811839323,0.08773784355179692,0.3333333333333333,0.029245947850598975,False,True,True,False,0.2163847780126849
LONG,0,80-100,2.5,922,20.0,10.0,2.0,120,0.3622559652928416,0.08676789587852485,0.3333333333333333,0.028922631959508283,False,True,True,False,0.21583514099783074
LONG,0,40-60,2.5,792,15.0,10.0,1.5,120,0.4103535353535353,0.02588383838383823,0.4,0.010353535353535281,False,True,True,False,0.21578914141414135
SHORT,2,80-100,2.0,2189,5.0,5.0,1.0,30,0.4746459570580174,-0.05070808588396525,0.5,-0.025354042941982624,False,False,True,False,0.21577204202832345
LONG,1,20-40,3.0,359,20.0,10.0,2.0,20,0.362116991643454,0.08635097493036203,0.3333333333333333,0.028783658310120697,False,True,True,False,0.21559888579387182
SHORT,0,80-100,2.0,3644,5.0,5.0,1.0,60,0.4728320526893523,-0.054335894621295344,0.5,-0.0271679473106477,False,False,True,False,0.21332327113062563
SHORT,0,80-100,2.0,3644,5.0,5.0,1.0,120,0.4728320526893523,-0.054335894621295344,0.5,-0.0271679473106477,False,False,True,False,0.21332327113062563
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,60,0.4086493262300219,0.021623315575054813,0.4,0.008649326230021903,False,True,True,False,0.21319022250078343
LONG,1,20-40,2.5,946,20.0,10.0,2.0,120,0.3604651162790697,0.08139534883720911,0.3333333333333333,0.02713178294573637,False,True,True,False,0.2127906976744185
SHORT,2,80-100,2.0,2189,20.0,10.0,2.0,120,0.3604385564184559,0.0813156692553677,0.3333333333333333,0.027105223085122587,False,True,True,False,0.21274554591137504
LONG,0,20-40,2.5,877,20.0,10.0,2.0,120,0.3603192702394527,0.08095781071835806,0.3333333333333333,0.02698593690611939,False,True,True,False,0.2125427594070696
LONG,0,20-40,2.5,877,15.0,10.0,1.5,120,0.4082098061573546,0.02052451539338651,0.4,0.00820980615735456,False,True,True,False,0.21251995438996574
LONG,0,20-40,3.0,236,20.0,10.0,2.0,120,0.3601694915254237,0.08050847457627108,0.3333333333333333,0.026836158192090398,False,True,True,False,0.2122881355932203
SHORT,0,80-100,2.0,3644,5.0,5.0,1.0,30,0.4720087815587266,-0.05598243688254678,0.5,-0.02799121844127339,False,False,True,False,0.21221185510428092
SHORT,2,80-100,2.0,2189,5.0,5.0,1.0,20,0.4719049794426679,-0.056190041114664135,0.5,-0.028095020557332095,False,False,True,False,0.21207172224760168
SHORT,0,40-60,3.0,179,15.0,10.0,1.5,120,0.4078212290502793,0.019553072625698165,0.4,0.007821229050279266,False,True,True,False,0.21192737430167588
LONG,1,20-40,2.0,2573,15.0,10.0,1.5,120,0.4076952973183055,0.019238243295763735,0.4,0.007695297318305483,False,True,True,False,0.2117353284104159
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,30,0.4075891396794243,0.018972849198560682,0.4,0.007589139679424262,False,True,True,False,0.21157343801112202
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,120,0.4075595727198028,0.01889893179950708,0.4,0.007559572719802787,False,True,True,False,0.2115283483976993
LONG,1,20-40,2.0,2573,15.0,10.0,1.5,60,0.407306645938593,0.01826661484648251,0.4,0.007306645938592982,False,True,True,False,0.21114263505635433
SHORT,0,80-100,2.0,3644,5.0,5.0,1.0,20,0.471185510428101,-0.057628979143798054,0.5,-0.028814489571899027,False,False,True,False,0.2111004390779363
LONG,0,80-100,3.0,256,30.0,15.0,2.0,120,0.359375,0.078125,0.3333333333333333,0.026041666666666685,False,True,True,False,0.2109375
LONG,0,40-60,3.0,199,15.0,10.0,1.5,120,0.4070351758793969,0.01758793969849226,0.4,0.007035175879396893,False,True,True,False,0.21072864321608029
LONG,1,20-40,3.5,118,15.0,10.0,1.5,30,0.4067796610169492,0.016949152542372947,0.4,0.006779661016949157,False,True,True,False,0.2103389830508475
LONG,1,20-40,3.0,359,15.0,10.0,1.5,10,0.4066852367688022,0.01671309192200543,0.4,0.006685236768802172,False,True,True,False,0.21019498607242332
SHORT,2,80-100,2.0,2189,15.0,10.0,1.5,60,0.4065783462768387,0.016445865692096717,0.4,0.006578346276838676,False,True,True,False,0.21003197807217902
LONG,1,20-40,2.5,946,20.0,10.0,2.0,60,0.3583509513742072,0.07505285412262153,0.3333333333333333,0.02501761804087388,False,True,True,False,0.2091966173361522
LONG,1,20-40,2.5,946,15.0,10.0,1.5,30,0.4059196617336152,0.014799154334038,0.4,0.005919661733615189,False,True,True,False,0.2090274841437632
SHORT,2,80-100,3.0,218,20.0,10.0,2.0,60,0.3577981651376147,0.07339449541284415,0.3333333333333333,0.024464831804281384,False,True,True,False,0.208256880733945
SHORT,2,80-100,3.0,218,20.0,10.0,2.0,120,0.3577981651376147,0.07339449541284415,0.3333333333333333,0.024464831804281384,False,True,True,False,0.208256880733945
SHORT,0,20-40,1.5,10677,5.0,5.0,1.0,120,0.4688582935281446,-0.0622834129437107,0.5,-0.03114170647185538,False,False,True,False,0.20795869626299526
SHORT,0,20-40,1.5,10677,5.0,5.0,1.0,60,0.4684836564578065,-0.06303268708438697,0.5,-0.031516343542193515,False,False,True,False,0.20745293621803879
LONG,0,60-80,2.0,3715,15.0,10.0,1.5,120,0.4048452220726783,0.012113055181695809,0.4,0.00484522207267829,False,True,True,False,0.20738896366083442
LONG,0,20-40,2.5,877,15.0,10.0,1.5,60,0.4047890535917902,0.011972633979475455,0.4,0.00478905359179016,False,True,True,False,0.20730330672748
LONG,2,60-80,2.0,2483,15.0,10.0,1.5,120,0.4043495771244462,0.010873942811115422,0.4,0.004349577124446169,False,True,True,False,0.20663310511478042
LONG,0,80-100,2.5,922,20.0,10.0,2.0,60,0.3568329718004338,0.07049891540130127,0.3333333333333333,0.02349963846710046,False,True,True,False,0.2066160520607374
LONG,0,40-60,3.0,199,30.0,15.0,2.0,120,0.3567839195979899,0.0703517587939696,0.3333333333333333,0.02345058626465657,False,True,True,False,0.20653266331658277
SHORT,2,80-100,2.5,730,15.0,10.0,1.5,120,0.4041095890410959,0.010273972602739767,0.4,0.0041095890410958735,False,True,True,False,0.20626712328767124
LONG,1,80-100,4.0,104,15.0,10.0,1.5,10,0.4038461538461538,0.00961538461538447,0.4,0.003846153846153777,False,True,True,False,0.20586538461538453
LONG,0,60-80,1.5,9666,15.0,10.0,1.5,120,0.4037864680322781,0.009466170080695169,0.4,0.0037864680322780564,False,True,True,False,0.20577436374922406
