target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,5,13,3,129,0.94464236,0.9457364341085271,12.180232558139535
1.0,5,13,4,129,0.9524608,0.937984496124031,14.87984496124031
1.0,5,13,5,128,0.95910066,0.9296875,14.458984375
1.0,5,13,6,129,0.96465033,0.9689922480620154,15.445736434108527
1.0,5,13,7,128,0.9699062,0.9921875,20.53125
1.0,5,13,8,129,0.9749519,0.9767441860465116,22.381782945736433
1.0,5,13,9,129,0.98226684,1.0,22.600775193798448
1.0,5,14,0,125,0.88586676,0.936,12.966
1.0,5,14,1,125,0.92934746,0.976,17.108
1.0,5,14,2,124,0.9435547,0.9435483870967742,14.893145161290322
1.0,5,14,3,125,0.953512,0.968,18.15
1.0,5,14,4,124,0.9620109,0.967741935483871,17.389112903225808
1.0,5,14,5,125,0.9690867,0.976,19.156
1.0,5,14,6,124,0.97439504,0.9758064516129032,22.31451612903226
1.0,5,14,7,125,0.97949654,0.976,31.156
1.0,5,14,8,124,0.9843394,0.9758064516129032,26.548387096774192
1.0,5,14,9,125,0.9896227,0.992,23.412
1.0,5,15,0,100,0.8905435,0.96,9.9425
1.0,5,15,1,100,0.92588866,1.0,11.51
1.0,5,15,2,100,0.9391464,0.97,11.455
1.0,5,15,3,100,0.9497998,0.95,12.725
1.0,5,15,4,100,0.9595722,0.97,18.055
1.0,5,15,5,100,0.96767855,0.97,20.16
1.0,5,15,6,100,0.9738258,0.95,21.5975
1.0,5,15,7,100,0.9792269,0.96,23.3225
1.0,5,15,8,100,0.9834465,0.99,23.4125
1.0,5,15,9,100,0.9878262,1.0,25.55
1.0,5,16,0,114,0.92369115,0.956140350877193,17.31798245614035
1.0,5,16,1,113,0.956333,0.9823008849557522,22.849557522123895
1.0,5,16,2,113,0.96642154,0.9734513274336283,29.63053097345133
1.0,5,16,3,113,0.97244906,0.9557522123893806,29.008849557522122
1.0,5,16,4,113,0.9765975,0.9734513274336283,36.77212389380531
1.0,5,16,5,113,0.97973484,0.9734513274336283,25.27433628318584
1.0,5,16,6,113,0.9822781,0.9646017699115044,30.48230088495575
1.0,5,16,7,113,0.9849535,0.9469026548672567,27.097345132743364
1.0,5,16,8,113,0.987478,0.9646017699115044,26.245575221238937
1.0,5,16,9,113,0.99123645,0.9646017699115044,27.736725663716815
1.0,5,17,0,100,0.9024067,0.94,18.6775
1.0,5,17,1,100,0.93679094,0.93,11.8625
1.0,5,17,2,100,0.9502547,0.96,13.9475
1.0,5,17,3,99,0.95763457,0.9393939393939394,21.042929292929294
1.0,5,17,4,100,0.9638021,0.97,15.375
1.0,5,17,5,100,0.96922517,0.96,19.685
1.0,5,17,6,99,0.97383535,0.9494949494949495,20.34090909090909
1.0,5,17,7,100,0.9779548,0.93,19.395
1.0,5,17,8,100,0.9825959,0.96,23.095
1.0,5,17,9,100,0.98809266,0.93,21.85
1.0,5,18,0,90,0.8794066,0.9111111111111111,11.511111111111111
1.0,5,18,1,89,0.93268776,0.9438202247191011,13.539325842696629
1.0,5,18,2,89,0.9471477,0.9438202247191011,13.764044943820224
1.0,5,18,3,89,0.95429796,0.9775280898876404,17.587078651685392
1.0,5,18,4,89,0.9606963,0.9550561797752809,22.373595505617978
1.0,5,18,5,89,0.9657018,0.9887640449438202,38.95224719101124
1.0,5,18,6,89,0.97005737,0.9662921348314607,24.15730337078652
1.0,5,18,7,89,0.9744208,0.9775280898876404,22.865168539325843
1.0,5,18,8,89,0.97898567,0.9325842696629213,22.064606741573034
1.0,5,18,9,89,0.98561275,0.9550561797752809,20.46067415730337
1.0,5,19,0,109,0.8895989,0.9724770642201835,15.236238532110091
1.0,5,19,1,109,0.94288987,0.9357798165137615,22.410550458715598
1.0,5,19,2,109,0.9540716,0.9724770642201835,27.59633027522936
1.0,5,19,3,109,0.9602829,0.9724770642201835,20.763761467889907
1.0,5,19,4,109,0.9651784,1.0,26.107798165137616
1.0,5,19,5,109,0.970083,0.9908256880733946,27.39908256880734
1.0,5,19,6,109,0.9743195,0.9357798165137615,23.059633027522935
1.0,5,19,7,109,0.9780731,0.9724770642201835,28.325688073394495
1.0,5,19,8,109,0.9825505,0.963302752293578,26.123853211009173
1.0,5,19,9,109,0.9889809,0.9908256880733946,32.18807339449541
1.0,5,20,0,106,0.91659373,0.9811320754716981,23.50235849056604
1.0,5,20,1,106,0.95116156,0.9433962264150944,21.327830188679247
1.0,5,20,2,106,0.96113354,0.9811320754716981,21.346698113207548
1.0,5,20,3,105,0.96655864,0.9809523809523809,20.75
1.0,5,20,4,106,0.9706432,0.9811320754716981,20.153301886792452
1.0,5,20,5,106,0.9742741,1.0,22.77122641509434
1.0,5,20,6,105,0.9775081,0.9619047619047619,23.492857142857144
1.0,5,20,7,106,0.98034173,0.9622641509433962,25.36320754716981
1.0,5,20,8,106,0.98393905,1.0,22.16509433962264
1.0,5,20,9,106,0.98888886,0.9716981132075472,26.06367924528302
1.0,5,21,0,115,0.9365156,0.9304347826086956,21.558695652173913
1.0,5,21,1,114,0.96008193,0.9385964912280702,27.524122807017545
1.0,5,21,2,114,0.9679012,0.9824561403508771,29.986842105263158
1.0,5,21,3,115,0.9728392,0.9826086956521739,36.81739130434783
1.0,5,21,4,114,0.9762818,1.0,33.81140350877193
1.0,5,21,5,114,0.979273,0.9824561403508771,28.74561403508772
1.0,5,21,6,115,0.98182696,1.0,29.16521739130435
1.0,5,21,7,114,0.98435736,0.9824561403508771,27.894736842105264
1.0,5,21,8,114,0.98705906,0.9912280701754386,38.47149122807018
1.0,5,21,9,115,0.99128544,0.991304347826087,33.11739130434783
1.0,5,22,0,24,0.9095369,0.9583333333333334,6.385416666666667
1.0,5,22,1,23,0.9453763,0.8695652173913043,2.782608695652174
1.0,5,22,2,24,0.95845133,0.9583333333333334,16.447916666666668
