tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.0833333333333335,2.4,117,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,118,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,119,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,120,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,5,372,185,185,0,2,370,0.5,0.9946236559139785,0.0,0.7,0.696236559139785,0.3612976612157903,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,4,372,184,184,0,4,368,0.5,0.989247311827957,0.0,0.7,0.6924731182795698,0.36031985790405724,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,6,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,7,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,8,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,9,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,10,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,11,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,12,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,13,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,14,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,15,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
