side,zscore_threshold,stop_points,target_points,horizon_bars,window,trades,wins,losses,timeouts,win_rate,total_points,mean_result_points,profit_factor,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_bars
LONG,1.5,5.0,35.0,10,2,4922,15,2124,2783,0.0030475416497358796,349.5,0.07100772112607956,1.0301449025357943,6.017929553985596,4.25,6.495378017425537,4.0,7.303535148313694
LONG,1.5,5.0,35.0,10,3,5211,274,3787,1150,0.05258107848781424,474.5,0.09105737507343292,1.0248406559608412,18.674821853637695,11.0,20.664363861083984,12.25,4.186336595663021
LONG,1.5,5.0,35.0,10,4,5002,267,3777,958,0.053378648540583766,1904.75,0.38079768419265747,1.1004681215797456,17.667133331298828,13.0,18.734155654907227,12.75,3.9198320671731306
LONG,1.5,5.0,35.0,10,5,5313,282,4114,917,0.05307735742518351,544.0,0.1023903638124466,1.0263387237339014,17.65062141418457,12.5,17.573545455932617,12.5,3.859966120835686
LONG,1.5,5.0,35.0,10,6,5490,347,4260,883,0.06320582877959927,619.0,0.11275045573711395,1.028964823415182,19.24171257019043,13.25,19.137203216552734,13.125,3.7395264116575593
LONG,1.5,5.0,35.0,10,7,4930,138,3119,1673,0.027991886409736308,2348.0,0.4762677550315857,1.147744970032563,11.989198684692383,8.25,11.137170791625977,7.25,5.385598377281947
LONG,1.5,5.0,35.0,10,8,5121,334,3820,967,0.06522163639914079,2825.0,0.5516500473022461,1.1470416010618225,18.850566864013672,13.5,19.648212432861328,12.75,3.8978715094708063
LONG,1.5,5.0,35.0,10,9,5751,509,4916,326,0.08850634672230917,-2969.75,-0.516388475894928,0.879305439840686,27.179750442504883,18.5,27.784168243408203,21.5,2.4590505998956704
LONG,1.5,5.0,35.0,10,10,5231,395,4178,658,0.0755113744981839,666.25,0.12736570835113525,1.0318129185517662,20.917415618896484,14.5,20.87349510192871,14.75,3.3595870770407186
LONG,1.5,5.0,35.0,10,11,5317,352,4094,871,0.06620274590934738,2357.0,0.44329509139060974,1.1146819121761342,18.622907638549805,13.75,20.01335334777832,13.75,3.706037239044574
LONG,1.5,5.0,35.0,10,12,4878,214,3651,1013,0.043870438704387046,442.25,0.0906621590256691,1.0240781826348528,16.566011428833008,12.0,17.207975387573242,11.5,4.099630996309963
LONG,1.5,5.0,35.0,10,13,5103,237,3796,1070,0.04644326866549089,579.75,0.11360964179039001,1.0302520350657483,15.427444458007812,11.5,15.71644115447998,11.5,4.179502253576327
LONG,1.5,5.0,35.0,10,14,5048,250,3638,1160,0.04952456418383518,1962.5,0.3887678384780884,1.1066793504110892,15.675267219543457,11.25,16.325326919555664,10.5,4.417987321711569
LONG,1.5,5.0,35.0,10,15,4933,274,3814,845,0.05554429353334685,194.75,0.03947901725769043,1.0101662621042466,17.319988250732422,13.0,19.30316162109375,12.75,3.7968781674437464
LONG,1.5,5.0,35.0,10,16,5114,374,4003,737,0.07313257723895189,732.25,0.14318537712097168,1.036421288236757,22.545072555541992,15.0,23.43243980407715,15.0,3.410246382479468
LONG,1.5,5.0,35.0,10,17,5131,368,4116,647,0.07172091210290392,-137.75,-0.026846619322896004,0.9933286516853933,22.76471519470215,16.0,22.623075485229492,14.5,3.3280062366010523
LONG,1.5,5.0,35.0,10,18,5490,496,4669,325,0.09034608378870675,-2553.0,-0.4650273323059082,0.8907445249227016,34.03943634033203,21.75,35.419673919677734,23.75,2.318214936247723
LONG,1.5,5.0,35.0,10,19,5091,322,4064,705,0.06324887055588294,-975.75,-0.1916617602109909,0.9521039649523249,21.837753295898438,15.25,23.548860549926758,14.5,3.389314476527205
LONG,1.5,5.0,35.0,10,20,4945,407,3910,628,0.08230535894843276,1222.75,0.24726997315883636,1.0622882758972008,28.60394287109375,18.5,28.523862838745117,16.25,3.211324570273003
LONG,1.5,5.0,35.0,10,21,5433,508,4525,400,0.09350266887539113,-179.25,-0.03299282118678093,0.992089934248268,30.8399600982666,20.0,30.235551834106445,20.0,2.6418185164734034
LONG,1.5,5.0,35.0,10,22,5382,510,4606,266,0.0947603121516165,-1979.25,-0.36775362491607666,0.914166766048332,38.880062103271484,25.0,38.30537033081055,23.75,2.222779635823114
LONG,1.5,5.0,50.0,10,1,5266,32,2843,2391,0.0060767185719711354,576.75,0.10952335596084595,1.0386769045064377,7.957842826843262,5.5,8.342906951904297,5.5,6.552601595138625
LONG,1.5,5.0,50.0,10,2,4922,6,2124,2792,0.001219016659894352,374.5,0.07608695328235626,1.0323011902708297,6.017929553985596,4.25,6.495378017425537,4.0,7.311458756603007
