side,hmm_state,zscore,volatility_regime,observations,sl_points,tp_points,horizon,wins,losses,timeouts,win_rate,loss_rate,timeout_rate,expectancy_R,profit_factor,median_win_time,median_loss_time,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,window_count
LONG,0,1.5,<20,48077,5.0,100.0,120,1781,46296,2247,0.037044740728414835,0.9629552592715852,0.04673752521995965,-0.22206044470328845,0.7693969241403145,46.0,1.0,17.000915198535683,6.5,11.017492772011565,7.75,1.543083853136186,22
LONG,0,1.5,<20,48077,5.0,125.0,10,121,47956,11280,0.002516795973126443,0.9974832040268735,0.23462362460220063,-0.9345633046987124,0.06307865543414796,5.0,1.0,11.132079788672337,6.0,8.69185889302577,7.0,1.280747872886497,22
LONG,0,1.5,<20,48077,5.0,125.0,20,239,47838,8154,0.004971192046092726,0.9950288079539072,0.16960292863531418,-0.8707490068015891,0.12490070655127723,9.0,1.0,13.04668552530316,6.25,9.3982985627223,7.25,1.3881965377277898,22
LONG,0,1.5,<20,48077,5.0,125.0,30,377,47700,6759,0.007841587453460074,0.9921584125465399,0.1405869750608399,-0.7961187262100381,0.19758909853249476,15.0,1.0,14.173497722403644,6.25,9.727754435592903,7.5,1.4570163973860402,22
LONG,0,1.5,<20,48077,5.0,125.0,60,691,47386,4561,0.014372777003556794,0.9856272229964432,0.09486864821016286,-0.6263077979075233,0.3645591524922973,27.0,1.0,15.951598477442436,6.5,10.478893233770826,7.75,1.5222598533626113,22
LONG,0,1.5,<20,48077,5.0,125.0,120,1225,46852,2667,0.025479959232065228,0.9745200407679347,0.05547351124238201,-0.337521059966304,0.6536540595919065,53.0,1.0,17.548864321817085,6.5,11.069061089502258,8.0,1.585397729755072,22
LONG,0,1.5,<20,48077,7.5,20.0,10,9559,38518,8008,0.198826881876989,0.801173118123011,0.16656613349418642,-0.27096809978437364,0.6617858317323502,3.0,1.0,10.854145433367307,7.5,9.582747467604053,8.5,1.1326757247920192,22
LONG,0,1.5,<20,48077,7.5,20.0,20,11601,36476,3680,0.24130041391933774,0.7586995860806622,0.07654387752979595,-0.11523181562909501,0.8481193113279965,4.0,1.0,11.764185577303076,7.75,10.236818021091166,8.75,1.1492033513797977,22
LONG,0,1.5,<20,48077,7.5,20.0,30,12235,35842,2396,0.2544875928198515,0.7455124071801486,0.04983672026124758,-0.0668788263272112,0.910291464390008,4.0,1.0,12.111654221353247,8.0,10.466605653430955,8.75,1.15717116153918,22
LONG,0,1.5,<20,48077,7.5,20.0,60,12769,35308,1069,0.26559477504835993,0.7344052249516401,0.022235164423736922,-0.026152491489346952,0.9643895623277066,4.0,1.0,12.497608003827194,8.25,10.94525448759282,9.0,1.1418289102363104,22
LONG,0,1.5,<20,48077,7.5,20.0,120,13112,34965,437,0.2727291636333382,0.7272708363666618,0.009089585456663269,6.933322240110229e-06,1.0000095333428665,4.0,1.0,12.635574183081307,8.25,11.032005948790482,9.0,1.1453559979694024,22
LONG,0,1.5,<20,48077,7.5,25.0,10,6785,41292,9983,0.1411277741955613,0.8588722258044387,0.20764606776629158,-0.38844631181923434,0.5477251444993381,3.0,2.0,11.456460469663249,7.5,9.795931526509557,8.75,1.1695121019027135,22
LONG,0,1.5,<20,48077,7.5,25.0,20,9063,39014,4851,0.18851009838384258,0.8114899016161574,0.10090063855897831,-0.18312290700334877,0.774337417337366,5.0,2.0,12.620478607234228,7.75,10.567449092081453,9.0,1.1942786283864077,22
LONG,0,1.5,<20,48077,7.5,25.0,30,9922,38155,3096,0.20637726979636833,0.7936227302036317,0.06439669696528486,-0.10569849754907057,0.8668151836806012,6.0,1.0,13.138137778979553,8.0,10.874727000436799,9.0,1.2081349516591857,22
LONG,0,1.5,<20,48077,7.5,25.0,60,10681,37396,1316,0.22216444453688874,0.7778355554631112,0.027372756203590073,-0.03728740700681543,0.9520626091917139,6.0,1.0,13.708550866318614,8.25,11.534470744846809,9.25,1.188485468433227,22
LONG,0,1.5,<20,48077,7.5,25.0,120,11080,36997,546,0.23046363125819,0.76953636874181,0.011356781829149074,-0.0013242645478432902,0.9982791397500699,7.0,1.0,13.931250909998544,8.25,11.686877300996318,9.25,1.1920421983732892,22
