condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_60,-1.5:-1.0,20,1.2370211598791388e-05,2.954729240509324e-05,-0.0002826395092417,0.0001894704398628,0.6363636363636364
zscore_60,-1.5:-1.0,30,5.55253993298298e-05,5.3952488720218274e-05,-0.0004816447191739,0.0003575130860461,0.5909090909090909
zscore_60,-1.5:-1.0,60,4.428023822804898e-05,8.09151356341979e-05,-0.0010520240508277,0.0008640186960117,0.5454545454545454
zscore_60,-2.0:-1.5,1,-1.2014285273875575e-06,2.0135318663344836e-06,-3.4511079098715684e-05,2.6134650029212807e-05,0.6363636363636364
zscore_60,-2.0:-1.5,3,1.0647754036911014e-06,5.480696282565072e-06,-7.003355587053616e-05,6.560374427666028e-05,0.5909090909090909
zscore_60,-2.0:-1.5,5,1.9740223736705683e-06,9.594866207337035e-06,-0.0001042225236384,0.0001077257415916,0.6818181818181818
zscore_60,-2.0:-1.5,10,8.72948218388908e-07,-1.539624020535451e-07,-0.0001994258935281,0.0001267347508416,0.5
zscore_60,-2.0:-1.5,20,1.4008299765397208e-06,-4.61136830408267e-07,-0.0002609510596255,0.0002136760524184,0.5
zscore_60,-2.0:-1.5,30,3.427091380027972e-05,-4.565606507037091e-06,-0.0003463699131434,0.0003448123237356,0.5
zscore_60,-2.0:-1.5,60,0.0001120888304970366,9.756595380197052e-05,-0.0006818081622701,0.0007444522422452,0.6363636363636364
zscore_60,-2.5:-2.0,1,2.454228177310862e-06,-9.729430338945593e-07,-2.9690659762372063e-05,2.9811462618960687e-05,0.45454545454545453
zscore_60,-2.5:-2.0,3,6.965642701193703e-06,1.4096426850651378e-05,-6.533043301133008e-05,7.58799305172099e-05,0.6818181818181818
zscore_60,-2.5:-2.0,5,1.4457278219089926e-05,1.3165426857981106e-05,-6.946647816612488e-05,0.0001191721020332,0.6363636363636364
zscore_60,-2.5:-2.0,10,2.7580218761322296e-05,3.7652137434292704e-05,-0.0001691981848133,0.0002179496883724,0.5909090909090909
zscore_60,-2.5:-2.0,20,3.730634273952031e-05,7.834196822388888e-05,-0.0003580452056283,0.0004015835100545,0.5909090909090909
zscore_60,-2.5:-2.0,30,6.05607218263311e-05,7.812595400208885e-05,-0.0004617124487826,0.0005343461788165,0.5454545454545454
zscore_60,-2.5:-2.0,60,0.00012518726494290902,2.6692784390306527e-05,-0.0006627438263673,0.0006877749897987,0.5
zscore_60,0:1.0,1,-4.2937708711108376e-08,1.3524870022041094e-06,-1.3287447968473648e-05,9.808780401364614e-06,0.5909090909090909
zscore_60,0:1.0,3,-1.4822949358600505e-06,1.5549162811643272e-06,-4.082940843712762e-05,2.30040117773793e-05,0.5454545454545454
