context,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,aggregate_wr,mean_window_wr,median_window_wr,std_window_wr,min_window_wr,max_window_wr,mean_window_expectancy,median_window_expectancy,min_window_expectancy,positive_window_ratio,wr_ge_50_window_ratio,windows
D2,LONG,1,20-40,3.0,50.0,10.0,5.0,3,260,110,0.4230769230769231,0.43427860538796814,0.4358974358974359,0.08496549948493125,0.34146341463414637,0.5555555555555556,1.6056716323278086,1.6153846153846156,1.0487804878048783,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,50.0,10.0,5.0,4,260,108,0.4153846153846154,0.42626017220824464,0.4358974358974359,0.09418931389790092,0.32,0.5555555555555556,1.5575610332494674,1.6153846153846156,0.9200000000000002,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,47.5,10.0,4.75,3,260,110,0.4230769230769231,0.43427860538796814,0.4358974358974359,0.08496549948493125,0.34146341463414637,0.5555555555555556,1.4971019809808166,1.5064102564102566,0.9634146341463417,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,50.0,12.5,4.0,3,260,122,0.46923076923076923,0.4711734644700813,0.48,0.07382223107109638,0.36,0.5925925925925926,1.3558673223504063,1.4,0.7999999999999999,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,50.0,10.0,5.0,5,260,107,0.4115384615384615,0.42241848543972854,0.38461538461538464,0.10821476133113754,0.3170731707317073,0.5609756097560976,1.5345109126383711,1.3076923076923077,0.902439024390244,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,50.0,10.0,5.0,6,260,104,0.4,0.41296701375379585,0.36,0.10903171373492367,0.2926829268292683,0.5609756097560976,1.477802082522775,1.1599999999999997,0.7560975609756098,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,47.5,10.0,4.75,4,260,108,0.4153846153846154,0.42626017220824464,0.4358974358974359,0.09418931389790092,0.32,0.5555555555555556,1.450995990197406,1.5064102564102566,0.8400000000000001,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,47.5,12.5,3.8,3,260,122,0.46923076923076923,0.4711734644700813,0.48,0.07382223107109638,0.36,0.5925925925925926,1.2616326294563902,1.3039999999999998,0.7279999999999999,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,45.0,10.0,4.5,3,260,110,0.4230769230769231,0.43427860538796814,0.4358974358974359,0.08496549948493125,0.34146341463414637,0.5555555555555556,1.3885323296338246,1.3974358974358976,0.878048780487805,1.0,0.2857142857142857,7
D2,LONG,1,20-40,3.0,47.5,10.0,4.75,5,260,107,0.4115384615384615,0.42241848543972854,0.38461538461538464,0.10821476133113754,0.3170731707317073,0.5609756097560976,1.4289062912784392,1.2115384615384617,0.8231707317073171,1.0,0.2857142857142857,7
B1,LONG,2,60-80,3.5,13.0,2.5,5.2,9,118,61,0.5169491525423728,0.5311978092150506,0.5549169859514687,0.12640701809935345,0.3611111111111111,0.6538461538461539,2.293426417133314,2.4404853128991064,1.238888888888889,1.0,0.75,4
B1,LONG,2,60-80,3.5,15.0,2.5,6.0,9,118,54,0.4576271186440678,0.471221387169663,0.493368700265252,0.12546430081648696,0.3055555555555556,0.5925925925925926,2.2985497101876415,2.453580901856764,1.138888888888889,1.0,0.5,4
B1,LONG,2,60-80,3.5,15.0,2.5,6.0,6,118,53,0.4491525423728814,0.46295682287061596,0.4846743295019157,0.1274821067410804,0.3055555555555556,0.5769230769230769,2.240697760094312,2.39272030651341,1.138888888888889,1.0,0.5,4
B1,LONG,2,60-80,3.5,15.0,2.5,6.0,10,118,55,0.4661016949152542,0.4814753413891345,0.49535809018567634,0.14898391381065318,0.3055555555555556,0.6296296296296297,2.3703273897239416,2.4675066312997345,1.138888888888889,1.0,0.5,4
B1,LONG,2,60-80,3.5,15.0,2.5,6.0,8,118,53,0.4491525423728814,0.46196212791040375,0.493368700265252,0.11440020288664147,0.3055555555555556,0.5555555555555556,2.2337348953728267,2.453580901856764,1.138888888888889,1.0,0.5,4
B1,LONG,2,60-80,3.5,13.0,2.5,5.2,6,118,58,0.4915254237288136,0.5046971706454466,0.5019157088122606,0.12732152876287903,0.3611111111111111,0.6538461538461539,2.1291224580017687,2.1118773946360156,1.238888888888889,1.0,0.5,4
B1,LONG,2,60-80,3.5,13.0,2.5,5.2,10,118,60,0.5084745762711864,0.5248919343746931,0.5561941251596424,0.14840158274292348,0.3333333333333333,0.6538461538461539,2.2543299931230965,2.448403575989783,1.0666666666666667,1.0,0.5,4
B1,LONG,2,60-80,3.5,13.0,2.5,5.2,8,118,59,0.5,0.5123231653404068,0.5363984674329503,0.108597078263072,0.3611111111111111,0.6153846153846154,2.176403625110522,2.3256704980842917,1.238888888888889,1.0,0.75,4
B1,LONG,2,60-80,3.5,15.0,3.0,5.0,6,118,55,0.4661016949152542,0.4785219569702328,0.5019157088122606,0.11196951729426537,0.3333333333333333,0.5769230769230769,1.8711317418213966,2.011494252873563,0.9999999999999998,1.0,0.5,4
B1,LONG,2,60-80,3.5,13.0,2.5,5.2,12,118,60,0.5084745762711864,0.5272804302976717,0.5363984674329503,0.17461374253843465,0.3055555555555556,0.7307692307692307,2.2691386678455645,2.3256704980842917,0.8944444444444446,1.0,0.75,4
S2,SHORT,0,20-40,3.0,50.0,10.0,5.0,3,161,62,0.38509316770186336,0.4561708918144561,0.3465346534653465,0.22437608638358703,0.3076923076923077,0.7142857142857143,1.7370253508867368,1.0792079207920788,0.8461538461538463,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,47.5,10.0,4.75,3,161,62,0.38509316770186336,0.4561708918144561,0.3465346534653465,0.22437608638358703,0.3076923076923077,0.7142857142857143,1.622982627933123,0.9925742574257425,0.7692307692307694,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,50.0,12.5,4.0,3,161,70,0.43478260869565216,0.4930668891064931,0.40594059405940597,0.19301498198267436,0.358974358974359,0.7142857142857143,1.4653344455324655,1.0297029702970297,0.7948717948717949,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,50.0,15.0,3.3333333333333335,3,161,77,0.4782608695652174,0.5371559133935372,0.46153846153846156,0.15394434448232797,0.43564356435643564,0.7142857142857143,1.3276756247053276,1.0,0.8877887788778878,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,45.0,10.0,4.5,3,161,62,0.38509316770186336,0.4561708918144561,0.3465346534653465,0.22437608638358703,0.3076923076923077,0.7142857142857143,1.508939904979509,0.9059405940594057,0.6923076923076923,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,47.5,12.5,3.8,3,161,70,0.43478260869565216,0.4930668891064931,0.40594059405940597,0.19301498198267436,0.358974358974359,0.7142857142857143,1.3667210677111667,0.9485148514851486,0.7230769230769232,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,50.0,12.5,4.0,4,161,70,0.43478260869565216,0.4375294672324375,0.45544554455445546,0.09649370007693195,0.3333333333333333,0.5238095238095238,1.1876473361621878,1.2772277227722773,0.6666666666666665,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,50.0,15.0,3.3333333333333335,4,161,77,0.4782608695652174,0.4763718130054764,0.49504950495049505,0.05903574791341547,0.41025641025641024,0.5238095238095238,1.0642778563570643,1.1452145214521452,0.7777777777777778,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,47.5,15.0,3.1666666666666665,3,161,77,0.4782608695652174,0.5371559133935372,0.46153846153846156,0.15394434448232797,0.43564356435643564,0.7142857142857143,1.2381496391397382,0.923076923076923,0.8151815181518152,1.0,0.3333333333333333,3
S2,SHORT,0,20-40,3.0,50.0,10.0,5.0,5,161,57,0.35403726708074534,0.3788851412613789,0.3564356435643564,0.1351057993261307,0.2564102564102564,0.5238095238095238,1.273310847568273,1.1386138613861383,0.5384615384615383,1.0,0.3333333333333333,3
S1,SHORT,2,80-100,2.0,50.0,10.0,5.0,3,2255,802,0.3556541019955654,0.36172876296551676,0.30689655172413793,0.13089463360380624,0.23018867924528302,0.5432098765432098,1.1703725777931007,0.8413793103448277,0.38113207547169803,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,50.0,12.5,4.0,3,2255,909,0.4031042128603104,0.40562601510616353,0.3482758620689655,0.10554599981035609,0.3018867924528302,0.5555555555555556,1.0281300755308176,0.7413793103448274,0.5094339622641508,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,47.5,10.0,4.75,3,2255,810,0.35920177383592017,0.36472327185546505,0.32068965517241377,0.1290702429374489,0.23018867924528302,0.5432098765432098,1.0971588131689238,0.8439655172413792,0.32358490566037723,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,47.5,12.5,3.8,3,2255,918,0.40709534368070954,0.4091131348335502,0.36551724137931035,0.10322715589318104,0.3018867924528302,0.5555555555555556,0.963743047201041,0.7544827586206897,0.4490566037735848,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,50.0,10.0,5.0,4,2255,758,0.33614190687361417,0.3451558521865685,0.2793103448275862,0.13208291896336613,0.22641509433962265,0.5185185185185185,1.0709351131194111,0.6758620689655173,0.35849056603773577,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,45.0,10.0,4.5,3,2255,812,0.3600886917960089,0.36551837179846514,0.32068965517241377,0.12818568380139797,0.2339622641509434,0.5432098765432098,1.0103510448915582,0.7637931034482758,0.2867924528301886,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,50.0,12.5,4.0,4,2255,872,0.38669623059866964,0.38995584107962733,0.3275862068965517,0.11537943434849682,0.2792452830188679,0.5432098765432098,0.9497792053981369,0.6379310344827586,0.39622641509433953,1.0,0.2857142857142857,7
S1,SHORT,2,80-100,2.0,50.0,15.0,3.3333333333333335,3,2255,981,0.43503325942350335,0.4366916667593527,0.4,0.09103733171203092,0.3433962264150943,0.5740740740740741,0.8923305559571951,0.7333333333333335,0.4880503144654087,1.0,0.2857142857142857,7
S1,SHORT,2,80-100,2.0,47.5,10.0,4.75,4,2255,767,0.3401330376940133,0.34864297191395527,0.296551724137931,0.129798399177801,0.22641509433962265,0.5185185185185185,1.0046970885052426,0.7051724137931032,0.3018867924528301,1.0,0.14285714285714285,7
S1,SHORT,2,80-100,2.0,45.0,12.5,3.6,3,2255,920,0.4079822616407982,0.40990823477655036,0.36551724137931035,0.1023510188087873,0.30566037735849055,0.5555555555555556,0.8855778799721316,0.6813793103448278,0.40603773584905656,1.0,0.14285714285714285,7
S3,SHORT,1,20-40,3.5,50.0,12.5,4.0,3,138,47,0.34057971014492755,0.3393361496260046,0.33217391304347826,0.05755225540522189,0.2727272727272727,0.42857142857142855,0.6966807481300235,0.6608695652173913,0.36363636363636354,1.0,0.0,6
S3,SHORT,1,20-40,3.5,50.0,12.5,4.0,4,138,47,0.34057971014492755,0.3371756557988442,0.33217391304347826,0.07298971482477362,0.25,0.42857142857142855,0.6858782789942209,0.6608695652173913,0.25,1.0,0.0,6
S3,SHORT,1,20-40,3.5,50.0,10.0,5.0,3,138,39,0.2826086956521739,0.27855511638120334,0.2803030303030303,0.07095967420638347,0.2,0.36,0.6713306982872199,0.6818181818181817,0.19999999999999996,1.0,0.0,6
S3,SHORT,1,20-40,3.5,50.0,12.5,4.0,6,138,50,0.36231884057971014,0.35313685509337683,0.33217391304347826,0.1457897656934966,0.15,0.5555555555555556,0.7656842754668842,0.6608695652173913,-0.25,0.8333333333333334,0.16666666666666666,6
S3,SHORT,1,20-40,3.5,47.5,12.5,3.8,3,138,47,0.34057971014492755,0.3393361496260046,0.33217391304347826,0.05755225540522189,0.2727272727272727,0.42857142857142855,0.6288135182048223,0.5944347826086955,0.30909090909090886,1.0,0.0,6
S3,SHORT,1,20-40,3.5,47.5,12.5,3.8,4,138,47,0.34057971014492755,0.3371756557988442,0.33217391304347826,0.07298971482477362,0.25,0.42857142857142855,0.618443147834452,0.5944347826086955,0.19999999999999996,1.0,0.0,6
S3,SHORT,1,20-40,3.5,50.0,17.5,2.857142857142857,4,138,60,0.43478260869565216,0.4328333368188441,0.44466403162055335,0.05032114650092079,0.35,0.48148148148148145,0.6695000134441128,0.7151326933935629,0.35,1.0,0.0,6
S3,SHORT,1,20-40,3.5,47.5,10.0,4.75,3,138,39,0.2826086956521739,0.27855511638120334,0.2803030303030303,0.07095967420638347,0.2,0.36,0.6016919191919191,0.6117424242424242,0.15000000000000002,1.0,0.0,6
S3,SHORT,1,20-40,3.5,50.0,10.0,5.0,4,138,38,0.2753623188405797,0.2697279558873762,0.2736363636363636,0.08435422100207549,0.15,0.37037037037037035,0.618367735324257,0.6418181818181818,-0.09999999999999998,0.8333333333333334,0.0,6
S3,SHORT,1,20-40,3.5,50.0,12.5,4.0,5,138,47,0.34057971014492755,0.33135474831127004,0.3121739130434783,0.1278056088731782,0.2,0.5555555555555556,0.6567737415563503,0.5608695652173914,0.0,0.8333333333333334,0.16666666666666666,6
