target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
1.0,5,19,1090,0.9568345323741008,0.9606029,0.9706422018348624,0.013807669460761618,0.9908256880733946,0.033991155699293785,24.921100917431193
1.0,5,20,1058,0.9665525414801159,0.96709496,0.9763705103969754,0.009817968916859487,0.9716981132075472,0.005145571727431242,22.69470699432892
1.0,5,21,1144,0.9768059917854555,0.9737312,0.9781468531468531,0.0013408613613976605,0.991304347826087,0.014498356040631544,30.707386363636363
1.0,5,22,235,0.9662162162162162,0.96636945,0.9617021276595744,-0.004514088556641815,1.0,0.03378378378378377,18.895744680851063
1.0,10,1,1239,0.944954128440367,0.95069796,0.9475383373688459,0.0025842089284788816,0.9838709677419355,0.03891683930156853,14.510694108151736
1.0,10,2,990,0.9506680369989723,0.948186,0.9515151515151515,0.0008471145161792482,0.9797979797979798,0.02912994279900749,13.273232323232323
1.0,10,3,1468,0.9701343952215032,0.9727754,0.9720708446866485,0.0019364494651452624,0.9795918367346939,0.009457441513190612,24.233310626703
1.0,10,4,1739,0.9611627906976744,0.9769739,0.9631972397929844,0.0020344490953100314,0.9482758620689655,-0.012886928628708882,23.688614146060953
1.0,10,5,1352,0.9596513075965131,0.9711905,0.9652366863905325,0.0055853787940194355,0.9852941176470589,0.025642810050545806,25.545673076923077
1.0,10,6,1369,0.9629024731684555,0.968595,0.9576333089846604,-0.005269164183795083,0.948905109489051,-0.013997363679404407,20.95617238860482
1.0,10,7,1207,0.9505830094392005,0.957313,0.9536039768019884,0.0030209673627878963,0.9669421487603306,0.01635913932113009,16.964581607290803
1.0,10,8,1306,0.9443864229765013,0.960055,0.9509954058192955,0.006608982842794209,0.9694656488549618,0.025079225878460454,15.921133231240429
1.0,10,9,1008,0.9468447237496727,0.95417154,0.9503968253968254,0.0035521016471526945,0.9900990099009901,0.043254286151317434,15.951140873015873
1.0,10,10,897,0.9587831207065751,0.95119077,0.9542920847268673,-0.0044910359797077914,0.9333333333333333,-0.025449787373241772,16.947045707915272
1.0,10,11,1085,0.9402173913043478,0.9465664,0.9428571428571428,0.0026397515527950555,0.926605504587156,-0.013611886717191823,15.821889400921659
1.0,10,12,1208,0.9594240837696335,0.94923127,0.9528145695364238,-0.006609514233209657,0.9834710743801653,0.024046990610531838,17.98323675496689
1.0,10,13,1287,0.9649574851842309,0.9534802,0.9696969696969697,0.004739484512738867,0.9922480620155039,0.027290576831273006,20.553418803418804
1.0,10,14,1246,0.9737100737100737,0.96720463,0.9799357945425361,0.0062257208324624225,0.984,0.01028992628992631,28.76304173354735
1.0,10,15,1000,0.9762547220723151,0.9674458,0.976,-0.0002547220723151389,1.0,0.023745277927684882,24.3945
1.0,10,16,1131,0.9754925516578568,0.97873527,0.9734748010610079,-0.002017750596848833,1.0,0.024507448342143245,37.70092838196287
1.0,10,17,998,0.9659149154279857,0.9712018,0.966933867735471,0.0010189523074852769,0.95,-0.015914915427985732,25.330410821643287
1.0,10,18,891,0.972035214914552,0.96982384,0.9719416386083053,-9.35763062467343e-05,0.9662921348314607,-0.005743080083091323,32.02861952861953
1.0,10,19,1090,0.969238402381543,0.9748241,0.9798165137614679,0.010578111379924926,1.0,0.03076159761845698,32.93188073394495
1.0,10,20,1058,0.977350539899921,0.97896755,0.9839319470699432,0.006581407170022202,0.9811320754716981,0.0037815355717770727,34.69588846880907
1.0,10,21,1144,0.9852621406136748,0.9832152,0.9842657342657343,-0.000996406347940515,0.991304347826087,0.006042207212412221,41.56184440559441
1.0,10,22,235,0.9777992277992278,0.9783899,0.9787234042553191,0.0009241764560913301,1.0,0.022200772200772212,28.118085106382978
1.0,20,1,1239,0.9617300131061599,0.96703273,0.9677158999192897,0.005985886813129837,1.0,0.03826998689384009,21.51452784503632
1.0,20,2,990,0.9630010277492291,0.9642647,0.9696969696969697,0.006695941947740591,0.98989898989899,0.026897962149760812,18.06338383838384
1.0,20,3,1468,0.9778496764559482,0.9809233,0.9795640326975477,0.0017143562415994351,0.9795918367346939,0.0017421602787456303,32.86733651226158
1.0,20,4,1739,0.9709302325581395,0.983773,0.972972972972973,0.0020427404148335437,0.9597701149425287,-0.011160117615610754,34.646492236917766
1.0,20,5,1352,0.9676214196762142,0.9803557,0.974112426035503,0.006491006359288787,0.9926470588235294,0.02502563914731526,37.612426035502956
