side,window,hmm_state,zscore_threshold,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,mfe_ge_20,mfe_ge_50,mfe_ge_100,mae_ge_10,mae_ge_20,mae_ge_35
LONG,14,0,2.0,736,35.80808423913044,24.25,38.16915760869565,27.375,0.5706521739130435,0.23369565217391305,0.05298913043478261,0.7635869565217391,0.6114130434782609,0.3953804347826087
LONG,15,0,2.0,1616,31.83756188118812,24.75,34.10798267326733,23.75,0.5878712871287128,0.19306930693069307,0.03032178217821782,0.7592821782178217,0.5612623762376238,0.34344059405940597
LONG,16,0,2.0,662,35.83761329305136,27.25,42.02681268882175,30.875,0.6132930513595166,0.2280966767371601,0.03474320241691843,0.8021148036253777,0.6555891238670695,0.44410876132930516
LONG,17,0,2.0,720,34.798611111111114,25.5,34.88993055555556,23.75,0.5916666666666667,0.2361111111111111,0.034722222222222224,0.7722222222222223,0.5597222222222222,0.3680555555555556
LONG,18,0,2.0,630,44.44761904761905,33.0,48.73452380952381,30.125,0.6682539682539682,0.3492063492063492,0.0873015873015873,0.8063492063492064,0.6126984126984127,0.45714285714285713
LONG,19,0,2.0,639,36.5547730829421,29.5,44.41549295774648,27.75,0.651017214397496,0.26134585289514867,0.04381846635367762,0.7965571205007824,0.6009389671361502,0.42566510172143973
LONG,20,0,2.0,643,27.133748055987557,21.5,27.857309486780714,16.0,0.5443234836702955,0.08864696734059098,0.02177293934681182,0.6640746500777605,0.43390357698289267,0.25038880248833595
LONG,21,0,2.0,766,53.93113577023499,39.25,43.190600522193215,31.25,0.7663185378590078,0.38511749347258484,0.12140992167101827,0.8302872062663186,0.6631853785900783,0.4490861618798956
LONG,22,0,2.0,793,50.90983606557377,38.75,54.36286254728878,40.5,0.7452711223203027,0.3871374527112232,0.09709962168978563,0.8562421185372006,0.7288776796973518,0.5472887767969735
LONG,1,0,2.5,20,23.775,16.25,28.3375,17.75,0.45,0.15,0.0,0.6,0.45,0.4
LONG,2,0,2.5,359,8.32033426183844,6.5,9.268105849582172,6.0,0.0584958217270195,0.008356545961002786,0.0,0.28969359331476324,0.13370473537604458,0.03899721448467967
LONG,3,0,2.5,515,36.873300970873785,23.0,41.71941747572816,28.5,0.5592233009708738,0.24271844660194175,0.06601941747572816,0.7961165048543689,0.6174757281553398,0.41359223300970877
LONG,4,0,2.5,182,23.925824175824175,17.875,28.11401098901099,15.75,0.44505494505494503,0.13186813186813187,0.01098901098901099,0.6593406593406593,0.4065934065934066,0.26373626373626374
LONG,5,0,2.5,139,33.25359712230216,32.25,25.178057553956833,17.5,0.6618705035971223,0.22302158273381295,0.014388489208633094,0.6762589928057554,0.4748201438848921,0.2733812949640288
LONG,6,0,2.5,144,31.94965277777778,22.25,36.760416666666664,24.25,0.5555555555555556,0.1527777777777778,0.05555555555555555,0.7777777777777778,0.5486111111111112,0.3958333333333333
LONG,7,0,2.5,94,29.55851063829787,22.875,24.52127659574468,18.375,0.5638297872340425,0.1595744680851064,0.031914893617021274,0.7127659574468085,0.4574468085106383,0.20212765957446807
LONG,8,0,2.5,150,32.22666666666667,26.625,29.773333333333333,19.75,0.6066666666666667,0.16666666666666666,0.04,0.6466666666666666,0.49333333333333335,0.31333333333333335
LONG,9,0,2.5,99,33.87626262626262,30.25,41.207070707070706,29.5,0.6464646464646465,0.2727272727272727,0.0,0.7777777777777778,0.5757575757575758,0.47474747474747475
LONG,10,0,2.5,535,46.779906542056075,33.75,48.57663551401869,36.25,0.6598130841121496,0.34205607476635513,0.11962616822429907,0.811214953271028,0.680373831775701,0.514018691588785
LONG,11,0,2.5,171,27.077485380116958,16.25,35.67690058479532,24.0,0.42105263157894735,0.18128654970760233,0.04093567251461988,0.7719298245614035,0.5672514619883041,0.34502923976608185
LONG,12,0,2.5,170,26.95,19.0,26.54264705882353,20.75,0.48823529411764705,0.13529411764705881,0.03529411764705882,0.7647058823529411,0.5235294117647059,0.2411764705882353
LONG,13,0,2.5,148,32.2652027027027,25.125,24.06081081081081,20.0,0.6081081081081081,0.23648648648648649,0.013513513513513514,0.7364864864864865,0.5,0.24324324324324326
LONG,14,0,2.5,350,37.11857142857143,25.625,37.17285714285714,26.5,0.5885714285714285,0.25142857142857145,0.05714285714285714,0.7828571428571428,0.62,0.3914285714285714
