window,hmm_state,side,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,prob_mfe_ge_20,prob_mae_ge_20
18,2,SHORT,18489,76.31747255124668,51.5,73.82035264211153,49.0,0.7582346259938342,0.7658066958732219
19,0,LONG,21642,31.034851215229647,21.75,33.167613898900285,21.25,0.5343313926624157,0.5255983735329453
19,0,SHORT,21642,33.167613898900285,21.25,31.034851215229647,21.75,0.5255983735329453,0.5343313926624157
19,1,LONG,6600,52.410075757575754,37.125,44.2848106060606,28.5,0.7081818181818181,0.6218181818181818
19,1,SHORT,6600,44.2848106060606,28.5,52.410075757575754,37.125,0.6218181818181818,0.7081818181818181
19,2,LONG,9292,22.876210718897976,15.0,25.19949956952217,17.25,0.3826947912182523,0.4368273783900129
19,2,SHORT,9292,25.19949956952217,17.25,22.876210718897976,15.0,0.4368273783900129,0.3826947912182523
20,0,LONG,9588,24.100333750521486,16.0,23.0941802252816,14.0,0.4027951606174385,0.3551314142678348
20,0,SHORT,9588,23.0941802252816,14.0,24.100333750521486,16.0,0.3551314142678348,0.4027951606174385
20,1,LONG,19743,36.64743200121562,24.5,38.56896115078762,23.5,0.5764574786000102,0.5564503874791065
20,1,SHORT,19743,38.56896115078762,23.5,36.64743200121562,24.5,0.5564503874791065,0.5764574786000102
20,2,LONG,8203,65.41186151408021,44.75,67.6140436425698,47.5,0.7517981226380592,0.7420455930757041
20,2,SHORT,8203,67.6140436425698,47.5,65.41186151408021,44.75,0.7420455930757041,0.7517981226380592
21,0,LONG,20508,42.023783401599374,27.5,42.66289984396333,28.75,0.616978740003901,0.6259508484493856
21,0,SHORT,20508,42.66289984396333,28.75,42.023783401599374,27.5,0.6259508484493856,0.616978740003901
21,1,LONG,5404,28.151369356032568,19.0,35.01841228719467,19.5,0.48075499629903773,0.48982235381199113
21,1,SHORT,5404,35.01841228719467,19.5,28.151369356032568,19.0,0.48982235381199113,0.48075499629903773
21,2,LONG,11621,64.69770243524654,47.5,65.238232510111,47.25,0.7630152310472421,0.7646502022201187
21,2,SHORT,11621,65.238232510111,47.25,64.69770243524654,47.5,0.7646502022201187,0.7630152310472421
22,0,LONG,19867,48.733198146002316,31.5,51.45831024232959,33.5,0.6566668344490865,0.677002063723763
22,0,SHORT,19867,51.45831024232959,33.5,48.733198146002316,31.5,0.677002063723763,0.6566668344490865
22,1,LONG,5629,35.00177651447859,23.0,39.256883993604546,25.75,0.5604903179960916,0.6038372712737609
22,1,SHORT,5629,39.256883993604546,25.75,35.00177651447859,23.0,0.6038372712737609,0.5604903179960916
22,2,LONG,12037,89.0664449064449,62.75,90.76474012474013,60.75,0.8187255960787572,0.8057655562017114
22,2,SHORT,12037,90.76474012474013,60.75,89.0664449064449,62.75,0.8057655562017114,0.8187255960787572
