window,direction,horizon_bars,observations,mean_future_points,median_future_points,mean_future_points_after_cost,mean_mfe_points,median_mfe_points,mean_mae_points,median_mae_points,positive_probability,cost_covered_probability,validation_start,validation_end
12,short_reversion,5,4091,-0.35724761671962846,-8.75,-1.4672476167196282,20.902503052503054,5.5,-17.668009768009767,-13.75,0.25788315815204105,0.24810559765338547,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,10,4086,-0.8053108174253548,-15.75,-1.9153108174253548,33.887789987789986,8.5,-31.151282051282053,-23.75,0.3308859520313265,0.32476749877630934,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,20,4076,-1.8059985279685966,-19.75,-2.9159985279685965,53.53028083028083,18.5,-52.435164835164834,-40.25,0.3783120706575074,0.37315996074582924,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,30,4066,-2.7330914904082637,-24.125,-3.8430914904082636,69.50647130647131,28.75,-70.13595848595848,-54.25,0.3999016232169208,0.3954746679783571,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,60,4036,-4.818942021803766,-27.625,-5.928942021803765,109.20970695970696,49.75,-112.06819291819292,-88.75,0.4145193260654113,0.41129831516352827,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
13,long_reversion,1,3880,-0.04188144329896907,-1.75,-1.151881443298969,9.231701030927836,4.25,-4.700386597938144,-5.5,0.3422680412371134,0.28170103092783505,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,3,3878,-0.13402527075812273,-5.5,-1.2440252707581225,18.702319587628867,7.0,-14.291365979381442,-12.25,0.2815884476534296,0.2545126353790614,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,5,3876,-0.214718782249742,-9.75,-1.324718782249742,26.210180412371134,9.25,-22.00283505154639,-18.125,0.28457172342621256,0.27657378740970073,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,10,3871,-0.42857142857142855,-14.5,-1.5385714285714285,41.389819587628864,15.0,-38.3222293814433,-30.25,0.38543012141565486,0.3784551795401705,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,20,3861,-0.6596736596736597,-9.5,-1.7696736596736595,63.763079896907215,26.0,-64.02474226804124,-47.0,0.4340844340844341,0.4252784252784253,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,30,3851,-0.7847961568423786,-8.5,-1.8947961568423786,82.36443298969073,40.75,-85.47351804123711,-60.75,0.46507400675149313,0.46065956894313165,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,long_reversion,60,3821,-1.3751635697461397,3.25,-2.4851635697461396,128.0193943298969,79.5,-138.3846649484536,-84.5,0.5079822036116199,0.5056267992672075,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,1,4449,-0.01983591818386154,-1.5,-1.1298359181838613,7.3266464374016635,3.0,-3.364463924477411,-4.25,0.3171499213306361,0.24409979770734996,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,3,4447,-0.05818529345626265,-5.25,-1.1681852934562624,15.338165879973028,5.0,-10.881153068105192,-9.25,0.2255453114459186,0.20440746570721835,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,5,4445,-0.08295838020247469,-8.75,-1.1929583802024746,21.831591368846933,5.75,-16.93549112160036,-13.25,0.23914510686164228,0.22992125984251968,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,10,4440,-0.1428490990990991,-15.25,-1.252849099099099,35.475331535176444,8.5,-29.58383906495842,-22.75,0.30157657657657655,0.2936936936936937,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,20,4430,-0.06145598194130925,-20.75,-1.171455981941309,56.61598111935266,14.25,-49.84636997077995,-37.75,0.354176072234763,0.3489841986455982,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,30,4420,0.16555429864253393,-25.0,-0.944445701357466,73.98016408181614,21.5,-66.80074173971678,-51.0,0.35226244343891405,0.34909502262443437,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
13,short_reversion,60,4390,-0.1856492027334852,-44.25,-1.2956492027334852,114.77736570015733,34.5,-106.60406832996179,-89.0,0.3389521640091116,0.3362186788154897,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
14,long_reversion,1,4069,0.5625460801179651,-2.0,-0.5474539198820347,11.066355369869747,5.0,-5.418776112066847,-7.0,0.3514376996805112,0.2909805849102974,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,3,4067,1.69928694369314,-6.5,0.58928694369314,22.54786188252642,7.75,-16.014192676333252,-15.25,0.28276370789279565,0.2635849520531104,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,5,4065,2.858610086100861,-11.0,1.7486100861008613,31.675964610469403,9.75,-24.072560825755716,-21.75,0.2937269372693727,0.2856088560885609,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,10,4060,5.682266009852217,-15.5,4.572266009852218,50.29773900221185,16.0,-40.528385352666504,-34.75,0.3879310344827586,0.38448275862068965,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,20,4050,10.810432098765432,-9.0,9.700432098765432,78.31746129270091,36.5,-65.61415581223888,-54.75,0.45901234567901233,0.4533333333333333,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,30,4040,15.634405940594059,4.375,14.52440594059406,100.83245269107888,61.25,-85.09824281150159,-69.25,0.5146039603960396,0.5106435643564357,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,long_reversion,60,4010,30.588778054862843,29.5,29.478778054862843,152.43591791594986,112.0,-126.51357827476038,-104.25,0.5680798004987531,0.5665835411471322,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
14,short_reversion,1,4199,-0.5297094546320552,-2.0,-1.639709454632055,8.172183853298405,4.0,-4.8078709216480116,-5.25,0.3284115265539414,0.2579185520361991,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
