quantile,rr,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.825,0.75,5,4,1266,0.5663706245796643,0.5622550797316925,0.027863900778760393,0.02785636899403136,1.0784789778156947,1.0805975688419571,36.2625,-15.999999999999998,6
0.825,0.67,15,4,1243,0.6036036036036037,0.6026685406967097,0.027673906048906058,0.027000233992311464,1.0755720627235275,1.0766694539451638,32.61500000000001,-16.1575,6
0.8,1.5,5,4,1284,0.4630808080808081,0.4634569632594131,0.02691053447534844,0.03303134046999745,1.0721443732654667,1.0814993479942507,37.375,-22.787499999999998,9
0.825,0.5,15,4,1357,0.6741192630898514,0.669456265353029,0.026449108489549664,0.01860899202751322,1.0920092736231368,1.0714339888802646,21.7125,-16.1125,6
0.8,0.75,5,4,1511,0.5678914163852853,0.5612545885015229,0.026307368491203124,0.02772622285564017,1.0763648835292168,1.0818299984209654,41.275,-14.625,8
0.9,1.75,5,4,536,0.4244570897689003,0.4232564730993806,0.025748646065625998,0.0500999646539952,1.0684389860292944,1.1140375812022734,22.95,-19.775,11
0.825,0.5,10,4,1363,0.6674742048718221,0.6623567793815792,0.023958156047229017,0.01564739667266003,1.0853700871688763,1.0624467544111302,19.075,-16.95,6
0.85,0.5,5,4,1149,0.6595645382505334,0.6442290263441318,0.021073149087221098,0.015015235395955716,1.074007156464023,1.0551938042320486,18.5625,-15.0625,7
0.8,1.75,5,4,1254,0.4437875454776208,0.44850367367789246,0.020546284249442853,0.021192993106191934,1.0616504567372211,1.051820423457232,20.29999999999999,-21.25,11
0.8,0.67,10,4,1484,0.5928317129946598,0.5939378773538653,0.020259025971062123,0.02059225681800381,1.0583847732719303,1.062333266905716,26.537500000000005,-17.13499999999996,8
0.8,2.0,5,4,1228,0.44285871237090746,0.4462973387712483,0.019794004125124297,0.03418767993555709,1.0566003599797549,1.0819108945756621,31.3375,-18.837500000000006,11
0.8,2.0,10,4,1050,0.4239241803278688,0.4132173062091626,0.014977681576062926,0.03594923397450686,1.0307679297441565,1.0731067168007868,31.625,-21.6,12
0.8,0.5,10,4,1627,0.661402748195201,0.6618155231064864,0.014386368348632498,0.01589409839167784,1.0596672228212787,1.064741098490964,12.525,-21.875,5
0.8,0.67,5,4,1560,0.5838929472270449,0.5778780325488837,0.013435688079405124,0.01646400448106542,1.0384153731655676,1.0485781236545348,25.90500000000001,-15.054999999999936,8
