trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
299,0.48494983277591974,0.08478260869565218,25.35,1.1657539844707805,-11.0,6,3.3043478260869565,25,19,2.447984540868422,1,12.5,1.25,15,0.0,baseline,0.48425585359289497
106,0.42452830188679247,-0.04481132075471698,-4.75,0.9221311475409836,-10.0,6,3.0283018867924527,15,19,-0.7317041168830064,1,12.5,1.25,15,0.5,xgboost,0.48425585359289497
93,0.43010752688172044,-0.03225806451612903,-3.0,0.9433962264150944,-8.75,4,2.956989247311828,16,16,-0.4753740666961509,1,12.5,1.25,15,0.52,xgboost,0.48425585359289497
80,0.4125,-0.071875,-5.75,0.8776595744680851,-10.0,4,2.9875,14,16,-0.9825854195328669,1,12.5,1.25,15,0.54,xgboost,0.48425585359289497
64,0.40625,-0.0859375,-5.5,0.8552631578947368,-11.25,5,3.09375,13,14,-0.9905317822987447,1,12.5,1.25,15,0.56,xgboost,0.48425585359289497
54,0.3888888888888889,-0.125,-6.75,0.7954545454545454,-13.0,6,3.2777777777777777,10,16,-1.1662549042880361,1,12.5,1.25,15,0.58,xgboost,0.48425585359289497
45,0.4222222222222222,-0.05,-2.25,0.9134615384615384,-8.25,4,3.3333333333333335,9,15,-0.4247881607993606,1,12.5,1.25,15,0.6,xgboost,0.48425585359289497
299,0.4682274247491639,0.08269230769230768,24.724999999999994,1.1610749185667752,-11.325,6,3.2040133779264215,22,22,2.4472847418686396,1,12.5,1.3,10,0.0,baseline,0.4907407407407407
84,0.35714285714285715,-0.1785714285714286,-15.000000000000004,0.722222222222222,-17.599999999999998,6,2.6904761904761907,10,21,-2.5670612103883035,1,12.5,1.3,10,0.5,xgboost,0.4907407407407407
72,0.3333333333333333,-0.23333333333333334,-16.8,0.65,-19.39999999999999,8,2.7083333333333335,10,19,-2.9522490489157076,1,12.5,1.3,10,0.52,xgboost,0.4907407407407407
63,0.3333333333333333,-0.2333333333333333,-14.7,0.6500000000000001,-14.99999999999999,7,2.761904761904762,10,18,-2.8363961169795577,1,12.5,1.3,10,0.54,xgboost,0.4907407407407407
51,0.3137254901960784,-0.2784313725490196,-14.2,0.5942857142857143,-14.499999999999991,10,2.784313725490196,11,17,-2.9876234836498656,1,12.5,1.3,10,0.56,xgboost,0.4907407407407407
44,0.3181818181818182,-0.26818181818181813,-11.799999999999999,0.6066666666666668,-12.09999999999999,9,2.772727272727273,11,15,-2.547762670801553,1,12.5,1.3,10,0.58,xgboost,0.4907407407407407
39,0.3333333333333333,-0.23333333333333328,-9.099999999999998,0.6500000000000001,-11.2,8,2.923076923076923,10,14,-2.06547313102947,1,12.5,1.3,10,0.6,xgboost,0.4907407407407407
297,0.48148148148148145,0.09617003367003364,28.562499999999993,1.187233693870862,-9.775,6,3.2996632996632997,23,21,2.76995832157431,1,12.5,1.3,12,0.0,baseline,0.49310376324442823
82,0.4268292682926829,-0.018292682926829278,-1.5000000000000007,0.9680851063829786,-9.500000000000002,4,3.073170731707317,17,15,-0.2674990359264093,1,12.5,1.3,12,0.5,xgboost,0.49310376324442823
71,0.4225352112676056,-0.028169014084507053,-2.000000000000001,0.9512195121951216,-10.100000000000001,4,3.0985915492957745,15,17,-0.36239100120442497,1,12.5,1.3,12,0.52,xgboost,0.49310376324442823
59,0.4067796610169492,-0.06440677966101695,-3.8,0.8914285714285715,-10.200000000000001,6,3.3220338983050848,13,16,-0.6899186210261637,1,12.5,1.3,12,0.54,xgboost,0.49310376324442823
51,0.4117647058823529,-0.05294117647058822,-2.6999999999999993,0.9100000000000001,-8.300000000000002,5,3.392156862745098,12,16,-0.49599795086619486,1,12.5,1.3,12,0.56,xgboost,0.49310376324442823
36,0.3888888888888889,-0.10555555555555556,-3.8,0.8272727272727274,-9.0,9,3.2222222222222223,9,12,-0.9421917838017706,1,12.5,1.3,12,0.58,xgboost,0.49310376324442823
25,0.36,-0.172,-4.3,0.7312500000000001,-7.100000000000001,7,3.0,6,12,-1.1153490242733524,1,12.5,1.3,12,0.6,xgboost,0.49310376324442823
