trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
611,0.602291325695581,0.012234042553191488,7.475,1.047362585141771,-11.362499999999997,5,0.9926983172028924,4,0.7,0.50R,5
554,0.6335740072202166,0.004760830324909746,2.6374999999999993,1.0159101191373852,-12.3375,5,0.31570734614669266,4,0.7,0.50R,10
536,0.6511194029850746,0.011707089552238805,6.2749999999999995,1.0381082517270175,-12.0625,5,0.7379080060102529,4,0.7,0.50R,15
549,0.5482695810564663,0.024708561020036445,13.565000000000008,1.0872066859530698,-10.104999999999883,6,1.773609031086698,4,0.7,0.67R,5
491,0.5743380855397149,0.012866598778004086,6.317500000000006,1.0373540280857356,-13.034999999999961,5,0.7524902371679771,4,0.7,0.67R,10
471,0.5817409766454352,0.007181528662420391,3.382500000000004,1.0196044338187353,-15.102500000000003,5,0.38546466280902797,4,0.7,0.67R,15
534,0.5280898876404494,0.028955992509363294,15.462499999999999,1.0997661101701748,-11.350000000000001,6,1.9715206974754882,4,0.7,0.75R,5
472,0.5466101694915254,0.01046080508474576,4.937499999999999,1.0286024619840695,-12.6875,5,0.5756483378797984,4,0.7,0.75R,10
452,0.5597345132743363,0.008517699115044249,3.8500000000000005,1.0218889915428897,-17.3625,5,0.4168102640397698,4,0.7,0.75R,15
505,0.48118811881188117,0.020792079207920793,10.5,1.0675566993726877,-10.837499999999999,6,1.1815276625208926,4,0.7,1.00R,5
429,0.49184149184149184,0.020512820512820506,8.799999999999997,1.0509406657018814,-12.937500000000004,6,0.9423673841412036,4,0.7,1.00R,10
414,0.5024154589371981,0.013013285024154594,5.387500000000002,1.0299014846676842,-16.200000000000003,6,0.5335561975128635,4,0.7,1.00R,15
489,0.6175869120654397,0.02310838445807771,11.3,1.0906902086677366,-9.637499999999998,6,1.6932574728173202,4,0.75,0.50R,5
456,0.6403508771929824,0.010882675438596489,4.962499999999999,1.0365629029287162,-11.387500000000001,5,0.6047826562101032,4,0.75,0.50R,10
